# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s]
0,0,25,625,6.42698e-06,300,320,0.000122853
0.00025,3.07133e-08,24.9264,621.325,6.37612e-06,298.97,320,0.000122853
0.0005,6.14266e-08,24.8552,617.78,6.32822e-06,298.088,320,0.000122853
0.00075,9.214e-08,24.7882,614.452,6.28276e-06,297.33,320,0.000122853
0.001,1.22853e-07,24.7246,611.304,6.2393e-06,296.679,320,0.000122853
0.00125,1.53567e-07,24.6638,608.305,6.19751e-06,296.118,320,0.000122853
0.0015,1.8428e-07,24.6055,605.432,6.15714e-06,295.635,320,0.000122853
0.00175,2.14993e-07,24.5492,602.664,6.11795e-06,295.217,320,0.000122853
0.002,2.45707e-07,24.4946,599.986,6.07978e-06,294.856,320,0.000122853
0.00225,2.7642e-07,24.4414,597.384,6.04247e-06,294.544,320,0.000122853
0.0025,3.07133e-07,24.3895,594.847,6.0059e-06,294.274,320,0.000122853
0.00275,3.37846e-07,24.3386,592.365,5.96997e-06,294.04,320,0.000122853
0.003,3.6856e-07,24.2885,589.931,5.9346e-06,293.838,320,0.000122853
0.00325,3.99273e-07,24.2392,587.537,5.89971e-06,293.663,320,0.000122853
0.0035,4.29986e-07,24.1904,585.178,5.86525e-06,293.511,320,0.000122853
0.00375,4.607e-07,24.1423,582.848,5.83115e-06,293.38,320,0.000122853
0.004,4.91413e-07,24.0945,580.545,5.79738e-06,293.266,320,0.000122853
0.00425,5.22126e-07,24.0471,578.264,5.76389e-06,293.168,320,0.000122853
0.0045,5.5284e-07,24,576.001,5.73067e-06,293.083,320,0.000122853
0.00475,5.83553e-07,23.9532,573.756,5.69767e-06,293.01,320,0.000122853
0.005,6.14266e-07,23.9066,571.524,5.66487e-06,292.946,320,0.000122853
0.00525,6.4498e-07,23.8601,569.304,5.63226e-06,292.892,320,0.000122853
0.0055,6.75693e-07,23.8138,567.095,5.59982e-06,292.844,320,0.000122853
0.00575,7.06406e-07,23.7675,564.896,5.56753e-06,292.803,320,0.000122853
0.006,7.3712e-07,23.7214,562.703,5.53538e-06,292.768,320,0.000122853
0.00625,7.67833e-07,23.6753,560.518,5.50336e-06,292.738,320,0.000122853
0.0065,7.98546e-07,23.6292,558.338,5.47145e-06,292.711,320,0.000122853
0.00675,8.2926e-07,23.5831,556.164,5.43966e-06,292.689,320,0.000122853
0.007,8.59973e-07,23.5371,553.993,5.40797e-06,292.669,320,0.000122853
0.00725,8.90686e-07,23.491,551.826,5.37638e-06,292.653,320,0.000122853
0.0075,9.214e-07,23.4449,549.663,5.34488e-06,292.638,320,0.000122853
0.00775,9.52113e-07,23.3988,547.502,5.31347e-06,292.626,320,0.000122853
0.008,9.82826e-07,23.3526,545.344,5.28214e-06,292.615,320,0.000122853
0.00825,1.01354e-06,23.3064,543.187,5.2509e-06,292.606,320,0.000122853
0.0085,1.04425e-06,23.2601,541.032,5.21973e-06,292.598,320,0.000122853
0.00875,1.07497e-06,23.2138,538.879,5.18864e-06,292.591,320,0.000122853
0.009,1.10568e-06,23.1674,536.727,5.15763e-06,292.586,320,0.000122853
0.00925,1.13639e-06,23.1209,534.576,5.12668e-06,292.581,320,0.000122853
0.0095,1.16711e-06,23.0744,532.426,5.09581e-06,292.576,320,0.000122853
0.00975,1.19782e-06,23.0277,530.277,5.06501e-06,292.573,320,0.000122853
0.01,1.22853e-06,22.981,528.128,5.03427e-06,292.57,320,0.000122853
0.01025,1.25925e-06,22.9343,525.98,5.00361e-06,292.567,320,0.000122853
0.0105,1.28996e-06,22.8874,523.833,4.97301e-06,292.565,320,0.000122853
0.01075,1.32067e-06,22.8404,521.686,4.94248e-06,292.563,320,0.000122853
0.011,1.35139e-06,22.7934,519.539,4.91201e-06,292.561,320,0.000122853
0.01125,1.3821e-06,22.7463,517.393,4.88161e-06,292.56,320,0.000122853
0.0115,1.41281e-06,22.6991,515.247,4.85128e-06,292.559,320,0.000122853
0.01175,1.44353e-06,22.6517,513.101,4.82101e-06,292.557,320,0.000122853
0.012,1.47424e-06,22.6043,510.955,4.7908e-06,292.557,320,0.000122853
0.01225,1.50495e-06,22.5568,508.81,4.76066e-06,292.556,320,0.000122853
0.0125,1.53567e-06,22.5092,506.664,4.73059e-06,292.555,320,0.000122853
0.01275,1.56638e-06,22.4615,504.519,4.70058e-06,292.555,320,0.000122853
0.013,1.59709e-06,22.4137,502.374,4.67063e-06,292.554,320,0.000122853
0.01325,1.62781e-06,22.3658,500.229,4.64075e-06,292.554,320,0.000122853
0.0135,1.65852e-06,22.3178,498.084,4.61093e-06,292.554,320,0.000122853
0.01375,1.68923e-06,22.2697,495.939,4.58118e-06,292.553,320,0.000122853
0.014,1.71995e-06,22.2215,493.794,4.5515e-06,292.553,320,0.000122853
0.01425,1.75066e-06,22.1732,491.649,4.52187e-06,292.553,320,0.000122853
0.0145,1.78137e-06,22.1247,489.504,4.49232e-06,292.553,320,0.000122853
0.01475,1.81209e-06,22.0762,487.36,4.46282e-06,292.553,320,0.000122853
0.015,1.8428e-06,22.0276,485.215,4.4334e-06,292.552,320,0.000122853
0.01525,1.87351e-06,21.9789,483.07,4.40403e-06,292.552,320,0.000122853
0.0155,1.90423e-06,21.93,480.925,4.37474e-06,292.552,320,0.000122853
0.01575,1.93494e-06,21.8811,478.781,4.34551e-06,292.552,320,0.000122853
