# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s]
0,0,75,5625,0.000173528,300,300,0.346342
5e-05,1.73171e-05,75.0057,5625.86,0.000173521,299.989,300,0.346342
0.0001,3.46342e-05,75.0043,5625.65,0.000173513,299.978,300,0.346342
0.00015,5.19513e-05,75.0029,5625.44,0.000173506,299.967,300,0.346342
0.0002,6.92684e-05,75.0015,5625.23,0.000173498,299.957,300,0.346342
0.00025,8.65856e-05,75.0001,5625.02,0.000173491,299.946,300,0.346342
0.0003,0.000103903,74.9987,5624.81,0.000173484,299.935,300,0.346342
0.00035,0.00012122,74.9973,5624.6,0.000173476,299.925,300,0.346342
0.0004,0.000138537,74.996,5624.4,0.000173469,299.914,300,0.346342
0.00045,0.000155854,74.9946,5624.19,0.000173461,299.903,300,0.346342
0.0005,0.000173171,74.9932,5623.98,0.000173454,299.893,300,0.346342
0.00055,0.000190488,74.9918,5623.78,0.000173447,299.882,300,0.346342
0.0006,0.000207805,74.9905,5623.57,0.000173439,299.872,300,0.346342
0.00065,0.000225122,74.9891,5623.37,0.000173432,299.861,300,0.346342
0.0007,0.00024244,74.9878,5623.16,0.000173425,299.851,300,0.346342
0.00075,0.000259757,74.9864,5622.96,0.000173417,299.84,300,0.346342
0.0008,0.000277074,74.9851,5622.76,0.00017341,299.83,300,0.346342
0.00085,0.000294391,74.9837,5622.56,0.000173403,299.82,300,0.346342
0.0009,0.000311708,74.9824,5622.35,0.000173396,299.809,300,0.346342
0.00095,0.000329025,74.981,5622.15,0.000173389,299.799,300,0.346342
0.001,0.000346342,74.9797,5621.95,0.000173381,299.789,300,0.346342
0.00105,0.000363659,74.9784,5621.75,0.000173374,299.779,300,0.346342
0.0011,0.000380976,74.977,5621.55,0.000173367,299.769,300,0.346342
0.00115,0.000398294,74.9757,5621.35,0.00017336,299.759,300,0.346342
0.0012,0.000415611,74.9744,5621.16,0.000173353,299.748,300,0.346342
0.00125,0.000432928,74.9731,5620.96,0.000173346,299.738,300,0.346342
0.0013,0.000450245,74.9717,5620.76,0.000173339,299.728,300,0.346342
0.00135,0.000467562,74.9704,5620.56,0.000173332,299.718,300,0.346342
0.0014,0.000484879,74.9691,5620.37,0.000173325,299.708,300,0.346342
0.00145,0.000502196,74.9678,5620.17,0.000173318,299.699,300,0.346342
0.0015,0.000519513,74.9665,5619.98,0.000173311,299.689,300,0.346342
0.00155,0.00053683,74.9652,5619.78,0.000173304,299.679,300,0.346342
0.0016,0.000554148,74.9639,5619.59,0.000173297,299.669,300,0.346342
0.00165,0.000571465,74.9626,5619.4,0.00017329,299.659,300,0.346342
0.0017,0.000588782,74.9613,5619.2,0.000173283,299.649,300,0.346342
0.00175,0.000606099,74.9601,5619.01,0.000173276,299.64,300,0.346342
0.0018,0.000623416,74.9588,5618.82,0.000173269,299.63,300,0.346342
0.00185,0.000640733,74.9575,5618.63,0.000173262,299.62,300,0.346342
0.0019,0.00065805,74.9562,5618.43,0.000173255,299.611,300,0.346342
0.00195,0.000675367,74.9549,5618.24,0.000173248,299.601,300,0.346342
0.002,0.000692684,74.9537,5618.05,0.000173242,299.592,300,0.346342
0.00205,0.000710002,74.9524,5617.86,0.000173235,299.582,300,0.346342
0.0021,0.000727319,74.9512,5617.68,0.000173228,299.573,300,0.346342
0.00215,0.000744636,74.9499,5617.49,0.000173221,299.563,300,0.346342
0.0022,0.000761953,74.9486,5617.3,0.000173214,299.554,300,0.346342
0.00225,0.00077927,74.9474,5617.11,0.000173208,299.544,300,0.346342
0.0023,0.000796587,74.9461,5616.92,0.000173201,299.535,300,0.346342
0.00235,0.000813904,74.9449,5616.74,0.000173194,299.526,300,0.346342
0.0024,0.000831221,74.9437,5616.55,0.000173188,299.516,300,0.346342
0.00245,0.000848538,74.9424,5616.37,0.000173181,299.507,300,0.346342
0.0025,0.000865856,74.9412,5616.18,0.000173174,299.498,300,0.346342
0.00255,0.000883173,74.94,5616,0.000173168,299.489,300,0.346342
0.0026,0.00090049,74.9387,5615.81,0.000173161,299.48,300,0.346342
0.00265,0.000917807,74.9375,5615.63,0.000173154,299.47,300,0.346342
0.0027,0.000935124,74.9363,5615.45,0.000173148,299.461,300,0.346342
0.00275,0.000952441,74.9351,5615.26,0.000173141,299.452,300,0.346342
0.0028,0.000969758,74.9338,5615.08,0.000173135,299.443,300,0.346342
0.00285,0.000987075,74.9326,5614.9,0.000173128,299.434,300,0.346342
0.0029,0.00100439,74.9314,5614.72,0.000173121,299.425,300,0.346342
0.00295,0.00102171,74.9302,5614.54,0.000173115,299.416,300,0.346342
0.003,0.00103903,74.929,5614.36,0.000173108,299.407,300,0.346342
0.00305,0.00105634,74.9278,5614.18,0.000173102,299.398,300,0.346342
0.0031,0.00107366,74.9266,5614,0.000173095,299.389,300,0.346342
0.00315,0.00109098,74.9254,5613.82,0.000173089,299.381,300,0.346342
0.0032,0.0011083,74.9242,5613.64,0.000173083,299.372,300,0.346342
0.00325,0.00112561,74.923,5613.46,0.000173076,299.363,300,0.346342
0.0033,0.00114293,74.9219,5613.28,0.00017307,299.354,300,0.346342
0.00335,0.00116025,74.9207,5613.11,0.000173063,299.346,300,0.346342
0.0034,0.00117756,74.9195,5612.93,0.000173057,299.337,300,0.346342
0.00345,0.00119488,74.9183,5612.75,0.000173051,299.328,300,0.346342
