# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s]
0,0,50,2500,5.14158e-05,300,300,0.346342
5e-05,1.73171e-05,50.0028,2500.28,5.14108e-05,299.976,300,0.346342
0.0001,3.46342e-05,50.0007,2500.07,5.14058e-05,299.951,300,0.346342
0.00015,5.19513e-05,49.9987,2499.87,5.14009e-05,299.927,300,0.346342
0.0002,6.92684e-05,49.9966,2499.66,5.1396e-05,299.903,300,0.346342
0.00025,8.65856e-05,49.9945,2499.45,5.13911e-05,299.879,300,0.346342
0.0003,0.000103903,49.9925,2499.25,5.13862e-05,299.856,300,0.346342
0.00035,0.00012122,49.9905,2499.05,5.13813e-05,299.833,300,0.346342
0.0004,0.000138537,49.9884,2498.84,5.13765e-05,299.809,300,0.346342
0.00045,0.000155854,49.9864,2498.64,5.13717e-05,299.786,300,0.346342
0.0005,0.000173171,49.9844,2498.44,5.1367e-05,299.763,300,0.346342
0.00055,0.000190488,49.9824,2498.25,5.13622e-05,299.741,300,0.346342
0.0006,0.000207805,49.9805,2498.05,5.13575e-05,299.718,300,0.346342
0.00065,0.000225122,49.9785,2497.85,5.13528e-05,299.696,300,0.346342
0.0007,0.00024244,49.9766,2497.66,5.13482e-05,299.674,300,0.346342
0.00075,0.000259757,49.9746,2497.46,5.13436e-05,299.652,300,0.346342
0.0008,0.000277074,49.9727,2497.27,5.1339e-05,299.63,300,0.346342
0.00085,0.000294391,49.9708,2497.08,5.13344e-05,299.608,300,0.346342
0.0009,0.000311708,49.9689,2496.89,5.13298e-05,299.587,300,0.346342
0.00095,0.000329025,49.967,2496.7,5.13253e-05,299.565,300,0.346342
0.001,0.000346342,49.9651,2496.51,5.13208e-05,299.544,300,0.346342
0.00105,0.000363659,49.9632,2496.33,5.13163e-05,299.523,300,0.346342
0.0011,0.000380976,49.9614,2496.14,5.13118e-05,299.502,300,0.346342
0.00115,0.000398294,49.9595,2495.96,5.13074e-05,299.482,300,0.346342
0.0012,0.000415611,49.9577,2495.77,5.1303e-05,299.461,300,0.346342
0.00125,0.000432928,49.9559,2495.59,5.12986e-05,299.441,300,0.346342
0.0013,0.000450245,49.9541,2495.41,5.12942e-05,299.42,300,0.346342
0.00135,0.000467562,49.9523,2495.23,5.12899e-05,299.4,300,0.346342
0.0014,0.000484879,49.9505,2495.05,5.12856e-05,299.38,300,0.346342
0.00145,0.000502196,49.9487,2494.87,5.12813e-05,299.361,300,0.346342
0.0015,0.000519513,49.9469,2494.69,5.1277e-05,299.341,300,0.346342
0.00155,0.00053683,49.9451,2494.52,5.12728e-05,299.321,300,0.346342
0.0016,0.000554148,49.9434,2494.34,5.12686e-05,299.302,300,0.346342
0.00165,0.000571465,49.9416,2494.17,5.12643e-05,299.283,300,0.346342
0.0017,0.000588782,49.9399,2493.99,5.12602e-05,299.264,300,0.346342
0.00175,0.000606099,49.9382,2493.82,5.1256e-05,299.245,300,0.346342
0.0018,0.000623416,49.9365,2493.65,5.12519e-05,299.226,300,0.346342
0.00185,0.000640733,49.9348,2493.48,5.12477e-05,299.207,300,0.346342
0.0019,0.00065805,49.9331,2493.31,5.12436e-05,299.189,300,0.346342
0.00195,0.000675367,49.9314,2493.14,5.12396e-05,299.171,300,0.346342
0.002,0.000692684,49.9297,2492.98,5.12355e-05,299.152,300,0.346342
0.00205,0.000710002,49.928,2492.81,5.12315e-05,299.134,300,0.346342
0.0021,0.000727319,49.9264,2492.64,5.12275e-05,299.116,300,0.346342
0.00215,0.000744636,49.9247,2492.48,5.12235e-05,299.098,300,0.346342
0.0022,0.000761953,49.9231,2492.32,5.12195e-05,299.081,300,0.346342
0.00225,0.00077927,49.9215,2492.15,5.12155e-05,299.063,300,0.346342
0.0023,0.000796587,49.9198,2491.99,5.12116e-05,299.046,300,0.346342
0.00235,0.000813904,49.9182,2491.83,5.12077e-05,299.028,300,0.346342
0.0024,0.000831221,49.9166,2491.67,5.12038e-05,299.011,300,0.346342
0.00245,0.000848538,49.915,2491.51,5.11999e-05,298.994,300,0.346342
0.0025,0.000865856,49.9134,2491.35,5.11961e-05,298.977,300,0.346342
0.00255,0.000883173,49.9119,2491.19,5.11922e-05,298.961,300,0.346342
0.0026,0.00090049,49.9103,2491.04,5.11884e-05,298.944,300,0.346342
0.00265,0.000917807,49.9087,2490.88,5.11846e-05,298.927,300,0.346342
0.0027,0.000935124,49.9072,2490.73,5.11808e-05,298.911,300,0.346342
0.00275,0.000952441,49.9056,2490.57,5.1177e-05,298.895,300,0.346342
0.0028,0.000969758,49.9041,2490.42,5.11733e-05,298.878,300,0.346342
0.00285,0.000987075,49.9026,2490.27,5.11696e-05,298.862,300,0.346342
0.0029,0.00100439,49.9011,2490.12,5.11659e-05,298.846,300,0.346342
0.00295,0.00102171,49.8995,2489.96,5.11622e-05,298.831,300,0.346342
0.003,0.00103903,49.898,2489.81,5.11585e-05,298.815,300,0.346342
0.00305,0.00105634,49.8965,2489.67,5.11548e-05,298.799,300,0.346342
0.0031,0.00107366,49.8951,2489.52,5.11512e-05,298.784,300,0.346342
0.00315,0.00109098,49.8936,2489.37,5.11476e-05,298.768,300,0.346342
0.0032,0.0011083,49.8921,2489.22,5.1144e-05,298.753,300,0.346342
0.00325,0.00112561,49.8906,2489.08,5.11404e-05,298.738,300,0.346342
0.0033,0.00114293,49.8892,2488.93,5.11368e-05,298.723,300,0.346342
0.00335,0.00116025,49.8877,2488.79,5.11332e-05,298.708,300,0.346342
0.0034,0.00117756,49.8863,2488.64,5.11297e-05,298.693,300,0.346342
0.00345,0.00119488,49.8849,2488.5,5.11262e-05,298.679,300,0.346342
0.0035,0.0012122,49.8834,2488.36,5.11227e-05,298.664,300,0.346342
0.00355,0.00122951,49.882,2488.21,5.11192e-05,298.65,300,0.346342
0.0036,0.00124683,49.8806,2488.07,5.11157e-05,298.635,300,0.346342
0.00365,0.00126415,49.8792,2487.93,5.11122e-05,298.621,300,0.346342
0.0037,0.00128147,49.8778,2487.79,5.11088e-05,298.607,300,0.346342
