# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s], mtfd, htfd, Sm [kg/m3s], Sh [J/m3s], rho[kg/m3s]
0,0.009,20,400,3.29061e-06,300,300.109,0.243595,0,0,0,0,785.576
1.40981e-06,0.00900034,20.0019,400.077,3.29052e-06,299.993,300.11,0.243595,-6.3564e-11,-4821.85,-8.22518e-08,0.000493893,785.582
2.81962e-06,0.00900069,20.0017,400.068,3.29043e-06,299.986,300.11,0.243596,-6.34981e-11,-4815.27,-8.21666e-08,0.000524356,785.589
4.22943e-06,0.00900103,20.0015,400.058,3.29034e-06,299.98,300.11,0.243596,-6.34324e-11,-4808.7,-8.20816e-08,0.00055478,785.595
5.63924e-06,0.00900137,20.0012,400.049,3.29025e-06,299.973,300.111,0.243596,-6.33668e-11,-4802.14,-8.19967e-08,0.000585163,785.601
7.04905e-06,0.00900172,20.001,400.04,3.29017e-06,299.966,300.111,0.243596,-6.33013e-11,-4795.59,-8.19119e-08,0.000615507,785.608
8.45886e-06,0.00900206,20.0008,400.03,3.29008e-06,299.959,300.112,0.243597,-6.32359e-11,-4789.05,-8.18273e-08,0.00064581,785.614
9.86867e-06,0.0090024,20.0005,400.021,3.28999e-06,299.953,300.112,0.243597,-6.31706e-11,-4782.52,-8.17428e-08,0.000676073,785.62
1.12785e-05,0.00900275,20.0003,400.011,3.2899e-06,299.946,300.112,0.243597,-6.31055e-11,-4776,-8.16585e-08,0.000706297,785.627
1.26883e-05,0.00900309,20.0001,400.002,3.28981e-06,299.939,300.113,0.243597,-6.30404e-11,-4769.48,-8.15743e-08,0.000736481,785.633
1.40981e-05,0.00900343,19.9998,399.993,3.28972e-06,299.932,300.113,0.243598,-6.29755e-11,-4762.98,-8.14903e-08,0.000766625,785.639
1.55079e-05,0.00900378,19.9996,399.983,3.28963e-06,299.926,300.113,0.243598,-6.29107e-11,-4756.49,-8.14064e-08,0.00079673,785.645
1.69177e-05,0.00900412,19.9994,399.974,3.28954e-06,299.919,300.114,0.243598,-6.28459e-11,-4750,-8.13226e-08,0.000826795,785.652
1.83275e-05,0.00900446,19.9991,399.965,3.28945e-06,299.912,300.114,0.243598,-6.27813e-11,-4743.53,-8.1239e-08,0.00085682,785.658
1.97373e-05,0.00900481,19.9989,399.956,3.28937e-06,299.906,300.115,0.243599,-6.27168e-11,-4737.07,-8.11556e-08,0.000886806,785.664
2.11471e-05,0.00900515,19.9987,399.946,3.28928e-06,299.899,300.115,0.243599,-6.26524e-11,-4730.61,-8.10722e-08,0.000916753,785.67
2.25569e-05,0.00900549,19.9984,399.937,3.28919e-06,299.892,300.115,0.243599,-6.25881e-11,-4724.16,-8.09891e-08,0.00094666,785.676
2.39668e-05,0.00900584,19.9982,399.928,3.2891e-06,299.886,300.116,0.2436,-6.2524e-11,-4717.73,-8.0906e-08,0.000976528,785.683
2.53766e-05,0.00900618,19.998,399.919,3.28901e-06,299.879,300.116,0.2436,-6.24599e-11,-4711.3,-8.08231e-08,0.00100636,785.689
2.67864e-05,0.00900652,19.9977,399.909,3.28892e-06,299.872,300.116,0.2436,-6.23959e-11,-4704.88,-8.07404e-08,0.00103615,785.695
2.81962e-05,0.00900687,19.9975,399.9,3.28884e-06,299.866,300.117,0.2436,-6.23321e-11,-4698.48,-8.06577e-08,0.0010659,785.701
2.9606e-05,0.00900721,19.9973,399.891,3.28875e-06,299.859,300.117,0.243601,-6.22684e-11,-4692.08,-8.05753e-08,0.00109561,785.707
3.10158e-05,0.00900755,19.997,399.882,3.28866e-06,299.852,300.118,0.243601,-6.22047e-11,-4685.69,-8.04929e-08,0.00112528,785.714
3.24256e-05,0.0090079,19.9968,399.872,3.28857e-06,299.846,300.118,0.243601,-6.21412e-11,-4679.31,-8.04107e-08,0.00115491,785.72
3.38354e-05,0.00900824,19.9966,399.863,3.28849e-06,299.839,300.118,0.243601,-6.20778e-11,-4672.94,-8.03287e-08,0.00118451,785.726
3.52452e-05,0.00900858,19.9964,399.854,3.2884e-06,299.833,300.119,0.243602,-6.20145e-11,-4666.58,-8.02467e-08,0.00121406,785.732
3.6655e-05,0.00900893,19.9961,399.845,3.28831e-06,299.826,300.119,0.243602,-6.19513e-11,-4660.23,-8.0165e-08,0.00124358,785.738
