# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s], mtfd, htfd, Sm [kg/m3s], Sh [J/m3s], rho[kg/m3s], Mliquid
0,0.009,40,1600,2.63249e-05,300,300.265,0.270874,0,0,0,0,785.576,6.37387e+08
3.57083e-06,0.00900097,40.0038,1600.3,2.63244e-05,299.996,300.268,0.270877,-1.27584e-10,-1199.53,-2.90381e-07,0.00407532,785.58,6.37387e+08
7.14166e-06,0.00900193,40.0035,1600.28,2.6324e-05,299.991,300.271,0.27088,-1.27501e-10,-1198.28,-2.90193e-07,0.00419066,785.584,6.37387e+08
1.07125e-05,0.0090029,40.0032,1600.25,2.63235e-05,299.987,300.275,0.270884,-1.27419e-10,-1197.04,-2.90005e-07,0.00430594,785.588,6.37387e+08
1.42833e-05,0.00900387,40.0029,1600.23,2.63231e-05,299.983,300.278,0.270887,-1.27336e-10,-1195.8,-2.89817e-07,0.00442115,785.592,6.37387e+08
1.78542e-05,0.00900483,40.0026,1600.2,2.63226e-05,299.979,300.282,0.27089,-1.27254e-10,-1194.56,-2.8963e-07,0.00453631,785.596,6.37387e+08
2.1425e-05,0.0090058,40.0023,1600.18,2.63222e-05,299.974,300.285,0.270893,-1.27172e-10,-1193.32,-2.89443e-07,0.00465141,785.6,6.37387e+08
2.49958e-05,0.00900676,40.002,1600.16,2.63217e-05,299.97,300.288,0.270896,-1.27089e-10,-1192.08,-2.89256e-07,0.00476645,785.604,6.37387e+08
2.85667e-05,0.00900773,40.0017,1600.13,2.63213e-05,299.966,300.292,0.2709,-1.27007e-10,-1190.85,-2.89069e-07,0.00488142,785.608,6.37387e+08
3.21375e-05,0.0090087,40.0014,1600.11,2.63208e-05,299.962,300.295,0.270903,-1.26925e-10,-1189.61,-2.88882e-07,0.00499634,785.612,6.37387e+08
3.57083e-05,0.00900966,40.0011,1600.09,2.63204e-05,299.957,300.299,0.270906,-1.26844e-10,-1188.38,-2.88696e-07,0.00511119,785.616,6.37387e+08
3.92791e-05,0.00901063,40.0008,1600.06,2.63199e-05,299.953,300.302,0.270909,-1.26762e-10,-1187.14,-2.8851e-07,0.00522599,785.62,6.37387e+08
4.285e-05,0.0090116,40.0005,1600.04,2.63195e-05,299.949,300.305,0.270912,-1.2668e-10,-1185.91,-2.88324e-07,0.00534072,785.624,6.37387e+08
