# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s], Sm [kg/m3s], Sh [J/m3s], rho[kg/m3s]
0,0,20,400,3.29061e-06,300,300,0.0788737,0,0,785.576
2.44185e-05,1.92597e-06,19.9957,399.829,3.28816e-06,299.813,300,0.0788737,-2.91759e-06,0.018493,785.75
4.88369e-05,3.85195e-06,19.9894,399.576,3.28576e-06,299.63,300,0.0788737,-2.86599e-06,0.0365553,785.92
7.32554e-05,5.77792e-06,19.9832,399.328,3.2834e-06,299.452,300,0.0788737,-2.81604e-06,0.0541973,786.087
9.76738e-05,7.7039e-06,19.9771,399.085,3.28108e-06,299.277,300,0.0788737,-2.76767e-06,0.0714309,786.249
0.000122092,9.62987e-06,19.9711,398.847,3.2788e-06,299.107,300,0.0788737,-2.72082e-06,0.0882676,786.408
0.000146511,1.15558e-05,19.9653,398.612,3.27655e-06,298.94,300,0.0788737,-2.67542e-06,0.104718,786.563
0.000170929,1.34818e-05,19.9595,398.382,3.27435e-06,298.776,300,0.0788737,-2.63143e-06,0.120794,786.715
0.000195348,1.54078e-05,19.9539,398.156,3.27218e-06,298.617,300,0.0788737,-2.58878e-06,0.136505,786.863
0.000219766,1.73338e-05,19.9483,397.934,3.27005e-06,298.461,300,0.0788737,-2.54742e-06,0.15186,787.008
0.000244185,1.92597e-05,19.9428,397.716,3.26795e-06,298.308,300,0.0788737,-2.50731e-06,0.16687,787.15
0.000268603,2.11857e-05,19.9374,397.502,3.26588e-06,298.159,300,0.0788737,-2.46839e-06,0.181544,787.289
0.000293022,2.31117e-05,19.9322,397.291,3.26384e-06,298.013,300,0.0788737,-2.43063e-06,0.19589,787.424
0.00031744,2.50377e-05,19.927,397.084,3.26184e-06,297.87,300,0.0788737,-2.39397e-06,0.209917,787.557
0.000341858,2.69636e-05,19.9218,396.88,3.25987e-06,297.73,300,0.0788737,-2.35838e-06,0.223634,787.687
0.000366277,2.88896e-05,19.9168,396.68,3.25792e-06,297.593,300,0.0788737,-2.32382e-06,0.237048,787.814
0.000390695,3.08156e-05,19.9119,396.483,3.25601e-06,297.459,300,0.0788737,-2.29025e-06,0.250167,787.938
0.000415114,3.27416e-05,19.907,396.289,3.25412e-06,297.328,300,0.0788737,-2.25763e-06,0.262998,788.059
0.000439532,3.46675e-05,19.9022,396.098,3.25226e-06,297.2,300,0.0788737,-2.22594e-06,0.27555,788.178
0.000463951,3.65935e-05,19.8975,395.91,3.25043e-06,297.074,300,0.0788737,-2.19514e-06,0.287829,788.294
0.000488369,3.85195e-05,19.8928,395.725,3.24862e-06,296.951,300,0.0788737,-2.16519e-06,0.299841,788.408
0.000512788,4.04455e-05,19.8883,395.543,3.24683e-06,296.831,300,0.0788737,-2.13607e-06,0.311594,788.519
0.000537206,4.23714e-05,19.8837,395.363,3.24507e-06,296.713,300,0.0788737,-2.10776e-06,0.323093,788.628
0.000561625,4.42974e-05,19.8793,395.186,3.24333e-06,296.598,300,0.0788737,-2.08022e-06,0.334345,788.735
0.000586043,4.62234e-05,19.8749,395.012,3.24162e-06,296.485,300,0.0788737,-2.05342e-06,0.345356,788.839
0.000610461,4.81494e-05,19.8706,394.841,3.23993e-06,296.375,300,0.0788737,-2.02734e-06,0.356132,788.941
0.00063488,5.00753e-05,19.8663,394.672,3.23826e-06,296.266,300,0.0788737,-2.00197e-06,0.366678,789.041
0.000659298,5.20013e-05,19.8621,394.505,3.23661e-06,296.16,300,0.0788737,-1.97727e-06,0.377,789.139
0.000683717,5.39273e-05,19.858,394.341,3.23498e-06,296.057,300,0.0788737,-1.95322e-06,0.387103,789.235
0.000708135,5.58533e-05,19.8539,394.179,3.23337e-06,295.955,300,0.0788737,-1.9298e-06,0.396993,789.329
0.000732554,5.77792e-05,19.8499,394.019,3.23178e-06,295.856,300,0.0788737,-1.907e-06,0.406673,789.421
0.000756972,5.97052e-05,19.8459,393.861,3.2302e-06,295.758,300,0.0788737,-1.88479e-06,0.41615,789.511
0.000781391,6.16312e-05,19.842,393.705,3.22865e-06,295.663,300,0.0788737,-1.86315e-06,0.425428,789.599
0.000805809,6.35572e-05,19.8381,393.552,3.22711e-06,295.569,300,0.0788737,-1.84207e-06,0.434512,789.685
0.000830228,6.54831e-05,19.8343,393.4,3.2256e-06,295.478,300,0.0788737,-1.82152e-06,0.443405,789.769
0.000854646,6.74091e-05,19.8306,393.251,3.22409e-06,295.388,300,0.0788737,-1.8015e-06,0.452113,789.852
0.000879065,6.93351e-05,19.8268,393.103,3.22261e-06,295.3,300,0.0788737,-1.78198e-06,0.46064,789.933
0.000903483,7.12611e-05,19.8232,392.958,3.22114e-06,295.214,300,0.0788737,-1.76295e-06,0.468989,790.012
0.000927901,7.3187e-05,19.8195,392.814,3.21969e-06,295.13,300,0.0788737,-1.7444e-06,0.477165,790.09
0.00095232,7.5113e-05,19.8159,392.671,3.21825e-06,295.047,300,0.0788737,-1.72631e-06,0.485172,790.166
0.000976738,7.7039e-05,19.8124,392.531,3.21683e-06,294.967,300,0.0788737,-1.70867e-06,0.493013,790.241
0.00100116,7.8965e-05,19.8089,392.392,3.21542e-06,294.887,300,0.0788737,-1.69146e-06,0.500692,790.314
0.00102558,8.08909e-05,19.8054,392.255,3.21403e-06,294.81,300,0.0788737,-1.67467e-06,0.508213,790.385
0.00104999,8.28169e-05,19.802,392.12,3.21264e-06,294.734,300,0.0788737,-1.6583e-06,0.515579,790.455
0.00107441,8.47429e-05,19.7986,391.986,3.21128e-06,294.659,300,0.0788737,-1.64232e-06,0.522794,790.524
0.00109883,8.66688e-05,19.7953,391.853,3.20992e-06,294.586,300,0.0788737,-1.62672e-06,0.529861,790.591
0.00112325,8.85948e-05,19.792,391.722,3.20858e-06,294.514,300,0.0788737,-1.6115e-06,0.536784,790.657
0.00114767,9.05208e-05,19.7887,391.593,3.20726e-06,294.444,300,0.0788737,-1.59665e-06,0.543564,790.721
0.00117209,9.24468e-05,19.7855,391.465,3.20594e-06,294.376,300,0.0788737,-1.58214e-06,0.550207,790.785
0.0011965,9.43727e-05,19.7823,391.338,3.20464e-06,294.308,300,0.0788737,-1.56799e-06,0.556713,790.847
0.00122092,9.62987e-05,19.7791,391.213,3.20334e-06,294.242,300,0.0788737,-1.55416e-06,0.563087,790.907
0.00124534,9.82247e-05,19.776,391.089,3.20206e-06,294.178,300,0.0788737,-1.54066e-06,0.569332,790.967
0.00126976,0.000100151,19.7729,390.967,3.20079e-06,294.114,300,0.0788737,-1.52748e-06,0.575449,791.025
0.00129418,0.000102077,19.7698,390.845,3.19953e-06,294.052,300,0.0788737,-1.51461e-06,0.581443,791.082
0.0013186,0.000104003,19.7668,390.725,3.19828e-06,293.991,300,0.0788737,-1.50203e-06,0.587315,791.138
0.00134302,0.000105929,19.7638,390.606,3.19705e-06,293.931,300,0.0788737,-1.48974e-06,0.593068,791.193
0.00136743,0.000107855,19.7608,390.489,3.19582e-06,293.873,300,0.0788737,-1.47774e-06,0.598704,791.247
0.00139185,0.000109781,19.7578,390.372,3.1946e-06,293.816,300,0.0788737,-1.46602e-06,0.604227,791.3
0.00141627,0.000111707,19.7549,390.257,3.19339e-06,293.759,300,0.0788737,-1.45456e-06,0.609638,791.351
0.00144069,0.000113632,19.752,390.142,3.19219e-06,293.704,300,0.0788737,-1.44336e-06,0.61494,791.402
0.00146511,0.000115558,19.7492,390.029,3.191e-06,293.65,300,0.0788737,-1.43242e-06,0.620135,791.452
0.00148953,0.000117484,19.7463,389.917,3.18982e-06,293.597,300,0.0788737,-1.42172e-06,0.625225,791.5
0.00151394,0.00011941,19.7435,389.806,3.18865e-06,293.545,300,0.0788737,-1.41127e-06,0.630213,791.548
0.00153836,0.000121336,19.7407,389.696,3.18749e-06,293.494,300,0.0788737,-1.40105e-06,0.635101,791.595
0.00156278,0.000123262,19.7379,389.586,3.18633e-06,293.445,300,0.0788737,-1.39106e-06,0.63989,791.64
0.0015872,0.000125188,19.7352,389.478,3.18519e-06,293.396,300,0.0788737,-1.38129e-06,0.644584,791.685
0.00161162,0.000127114,19.7325,389.371,3.18405e-06,293.348,300,0.0788737,-1.37174e-06,0.649183,791.729
0.00163604,0.00012904,19.7298,389.265,3.18292e-06,293.301,300,0.0788737,-1.3624e-06,0.65369,791.772
0.00166046,0.000130966,19.7271,389.159,3.1818e-06,293.255,300,0.0788737,-1.35327e-06,0.658106,791.815
0.00168487,0.000132892,19.7245,389.055,3.18068e-06,293.21,300,0.0788737,-1.34434e-06,0.662434,791.856
0.00170929,0.000134818,19.7218,388.951,3.17957e-06,293.165,300,0.0788737,-1.3356e-06,0.666676,791.897
0.00173371,0.000136744,19.7192,388.848,3.17847e-06,293.122,300,0.0788737,-1.32706e-06,0.670832,791.937
0.00175813,0.00013867,19.7167,388.746,3.17738e-06,293.079,300,0.0788737,-1.3187e-06,0.674906,791.976
0.00178255,0.000140596,19.7141,388.645,3.17629e-06,293.038,300,0.0788737,-1.31053e-06,0.678898,792.014
0.00180697,0.000142522,19.7115,388.545,3.17521e-06,292.997,300,0.0788737,-1.30253e-06,0.682811,792.052
0.00183138,0.000144448,19.709,388.445,3.17414e-06,292.956,300,0.0788737,-1.2947e-06,0.686645,792.088
0.0018558,0.000146374,19.7065,388.346,3.17307e-06,292.917,300,0.0788737,-1.28705e-06,0.690402,792.124
0.00188022,0.0001483,19.704,388.248,3.17201e-06,292.879,300,0.0788737,-1.27955e-06,0.694085,792.16
0.00190464,0.000150226,19.7015,388.151,3.17095e-06,292.841,300,0.0788737,-1.27222e-06,0.697694,792.194
0.00192906,0.000152152,19.6991,388.054,3.16991e-06,292.804,300,0.0788737,-1.26505e-06,0.701232,792.228
0.00195348,0.000154078,19.6967,387.958,3.16886e-06,292.767,300,0.0788737,-1.25803e-06,0.704699,792.262
0.0019779,0.000156004,19.6942,387.863,3.16783e-06,292.732,300,0.0788737,-1.25116e-06,0.708096,792.295
0.00200231,0.00015793,19.6918,387.768,3.16679e-06,292.697,300,0.0788737,-1.24443e-06,0.711426,792.327
0.00202673,0.000159856,19.6894,387.674,3.16577e-06,292.662,300,0.0788737,-1.23785e-06,0.71469,792.358
0.00205115,0.000161782,19.6871,387.581,3.16475e-06,292.629,300,0.0788737,-1.2314e-06,0.717889,792.389
0.00207557,0.000163708,19.6847,387.488,3.16373e-06,292.596,300,0.0788737,-1.2251e-06,0.721024,792.419
0.00209999,0.000165634,19.6824,387.396,3.16272e-06,292.563,300,0.0788737,-1.21892e-06,0.724096,792.449
0.00212441,0.00016756,19.6801,387.304,3.16172e-06,292.532,300,0.0788737,-1.21287e-06,0.727107,792.478
