# grid [m], ug [m/s], rhog, Tg [K], Yf, YO2, YOH, YCO, YCO2, phi_g, Sm, Sh, Syf
0,0.291555,1.21364,300,0.0817691,0.212991,2.05175e-21,9.65137e-15,1.33242e-14,0.800096,-1.05885,8026.2,0.40246
2.51256e-05,0.291546,1.21368,299.996,0.0818141,0.21298,2.77064e-21,1.31342e-14,1.81324e-14,0.800576,-2.26577,47391.3,0.861131
5.02513e-05,0.291553,1.21372,299.992,0.0818568,0.21297,3.7045e-23,1.78736e-14,2.46758e-14,0.801031,-2.13751,91441.4,0.812316
7.53769e-05,0.291559,1.21376,299.987,0.0818974,0.212961,-9.93114e-24,2.43238e-14,3.35812e-14,0.801464,-2.02116,132138,0.768048
0.000100503,0.291564,1.2138,299.981,0.0819361,0.212952,-9.15025e-24,3.31027e-14,4.57017e-14,0.801875,-1.91539,169748,0.727821
0.000125628,0.291567,1.21384,299.974,0.0819729,0.212943,-7.74112e-24,4.50512e-14,6.21984e-14,0.802268,-1.81907,204512,0.691199
0.000150754,0.291569,1.21389,299.967,0.0820081,0.212935,-6.299e-24,6.13142e-14,8.46518e-14,0.802644,-1.73119,236657,0.657801
0.000175879,0.29157,1.21394,299.959,0.0820419,0.212927,-4.77836e-24,8.345e-14,1.15213e-13,0.803004,-1.6509,266389,0.627293
0.000201005,0.29157,1.21399,299.95,0.0820743,0.21292,-3.10975e-24,1.1358e-13,1.56812e-13,0.803349,-1.57741,293895,0.599384
0.000226131,0.291569,1.21404,299.941,0.0821054,0.212912,-1.20161e-24,1.54592e-13,2.13436e-13,0.803682,-1.51007,319346,0.573818
0.000251256,0.291568,1.21409,299.932,0.0821354,0.212906,1.06769e-24,2.10419e-13,2.90512e-13,0.804001,-1.44828,342897,0.550369
0.000276382,0.291565,1.21414,299.922,0.0821644,0.212899,3.86067e-24,2.86411e-13,3.95431e-13,0.80431,-1.39151,364691,0.528834
0.000301508,0.291562,1.2142,299.912,0.0821923,0.212892,7.39566e-24,3.89857e-13,5.38254e-13,0.804608,-1.3393,384859,0.509037
0.000326633,0.291558,1.21425,299.901,0.0822194,0.212886,1.1967e-23,5.30677e-13,7.32677e-13,0.804897,-1.29124,403569,0.490818
0.000351759,0.291554,1.21431,299.89,0.0822457,0.21288,1.79728e-23,7.22379e-13,9.97349e-13,0.805177,-1.24694,420905,0.474036
