# grid [m], ug [m/s], rhog, Tg [K], Yf, YO2, YOH, YCO, YCO2, phi_g, Sm, Sh, Syf
0,0.270636,1.21358,300,0.0816443,0.213019,-2.74343e-22,-3.07416e-19,-1.39342e-18,0.798766,0,0,0
6.66667e-05,0.270636,1.21358,300,0.0816443,0.213019,-3.56857e-22,-5.84304e-19,-1.58315e-18,0.798766,0,0,0
0.000133333,0.270636,1.21358,300,0.0816443,0.213019,3.13563e-23,-5.84584e-19,-1.58342e-18,0.798766,0,0,0
0.0002,0.270636,1.21358,300,0.0816443,0.213019,2.4667e-23,-5.84567e-19,-1.58342e-18,0.798766,0,0,0
0.000266667,0.270636,1.21358,300,0.0816443,0.213019,1.85564e-23,-5.8455e-19,-1.58342e-18,0.798766,0,0,0
0.000333333,0.270636,1.21358,300,0.0816443,0.213019,1.39562e-23,-5.84532e-19,-1.58342e-18,0.798766,0,0,0
0.0004,0.270636,1.21358,300,0.0816443,0.213019,1.04955e-23,-5.84515e-19,-1.58342e-18,0.798766,0,0,0
0.000466667,0.270636,1.21358,300,0.0816443,0.213019,7.89196e-24,-5.84497e-19,-1.58342e-18,0.798766,0,0,0
0.000533333,0.270636,1.21358,300,0.0816443,0.213019,5.93339e-24,-5.8448e-19,-1.58342e-18,0.798766,0,0,0
0.0006,0.270636,1.21358,300,0.0816443,0.213019,4.46004e-24,-5.84463e-19,-1.58342e-18,0.798766,0,0,0
0.000666667,0.270636,1.21358,300,0.0816443,0.213019,3.35171e-24,-5.84445e-19,-1.58342e-18,0.798766,0,0,0
0.000733333,0.270636,1.21358,300,0.0816443,0.213019,2.518e-24,-5.84428e-19,-1.58342e-18,0.798766,0,0,0
0.0008,0.270636,1.21358,300,0.0816443,0.213019,1.89087e-24,-5.84411e-19,-1.58342e-18,0.798766,0,0,0
0.000866667,0.270636,1.21358,300,0.0816443,0.213019,1.41915e-24,-5.84393e-19,-1.58342e-18,0.798766,0,0,0
0.000933333,0.270636,1.21358,300,0.0816443,0.213019,1.06433e-24,-5.84376e-19,-1.58342e-18,0.798766,0,0,0
0.001,0.270636,1.21358,300,0.0816443,0.213019,7.97449e-25,-5.84359e-19,-1.58342e-18,0.798766,0,0,0
0.00106667,0.270636,1.21358,300,0.0816443,0.213019,5.96715e-25,-5.84341e-19,-1.58342e-18,0.798766,0,0,0
0.00113333,0.270636,1.21358,300,0.0816443,0.213019,4.45738e-25,-5.84324e-19,-1.58342e-18,0.798766,0,0,0
0.0012,0.270636,1.21358,300,0.0816443,0.213019,3.32186e-25,-5.84307e-19,-1.58342e-18,0.798766,0,0,0
0.00126667,0.270636,1.21358,300,0.0816443,0.213019,2.46785e-25,-5.84289e-19,-1.58342e-18,0.798766,0,0,0
0.00133333,0.270636,1.21358,300,0.0816443,0.213019,1.82557e-25,-5.84272e-19,-1.58342e-18,0.798766,0,0,0
0.0014,0.270636,1.21358,300,0.0816443,0.213019,1.34254e-25,-5.84255e-19,-1.58342e-18,0.798766,0,0,0
0.00146667,0.270636,1.21358,300,0.0816443,0.213019,9.7929e-26,-5.84238e-19,-1.58342e-18,0.798766,0,0,0
0.00153333,0.270636,1.21358,300,0.0816443,0.213019,7.0612e-26,-5.8422e-19,-1.58342e-18,0.798766,0,0,0
0.0016,0.270636,1.21358,300,0.0816443,0.213019,5.007e-26,-5.84203e-19,-1.58342e-18,0.798766,0,0,0
0.00166667,0.270636,1.21358,300,0.0816443,0.213019,3.46239e-26,-5.84186e-19,-1.58342e-18,0.798766,0,0,0
0.00173333,0.270636,1.21358,300,0.0816443,0.213019,2.3009e-26,-5.84169e-19,-1.58342e-18,0.798766,0,0,0
0.0018,0.270636,1.21358,300,0.0816443,0.213019,1.42761e-26,-5.84152e-19,-1.58342e-18,0.798766,0,0,0
0.00186667,0.270636,1.21358,300,0.0816443,0.213019,7.71031e-27,-5.84134e-19,-1.58342e-18,0.798766,0,0,0
0.00193333,0.270636,1.21358,300,0.0816443,0.213019,2.77435e-27,-5.84117e-19,-1.58342e-18,0.798766,0,0,0
0.002,0.270636,1.21358,300,0.0816443,0.213019,-9.36004e-28,-5.841e-19,-1.58342e-18,0.798766,0,0,0
0.00206667,0.270636,1.21358,300,0.0816443,0.213019,-3.72473e-27,-5.84083e-19,-1.58342e-18,0.798766,0,0,0
0.00213333,0.270636,1.21358,300,0.0816443,0.213019,-5.82041e-27,-5.84066e-19,-1.58342e-18,0.798766,0,0,0
0.0022,0.270636,1.21358,300,0.0816443,0.213019,-7.39496e-27,-5.84048e-19,-1.58342e-18,0.798766,0,0,0
0.00226667,0.270636,1.21358,300,0.0816443,0.213019,-8.57765e-27,-5.84031e-19,-1.58342e-18,0.798766,0,0,0
0.00233333,0.270636,1.21358,300,0.0816443,0.213019,-9.46568e-27,-5.84014e-19,-1.58342e-18,0.798766,0,0,0
0.0024,0.270636,1.21358,300,0.0816443,0.213019,-1.01322e-26,-5.83997e-19,-1.58342e-18,0.798766,0,0,0
0.00246667,0.270636,1.21358,300,0.0816443,0.213019,-1.06321e-26,-5.8398e-19,-1.58342e-18,0.798766,0,0,0
0.00253333,0.270636,1.21358,300,0.0816443,0.213019,-1.10067e-26,-5.83963e-19,-1.58342e-18,0.798766,0,0,0
0.0026,0.270636,1.21358,300,0.0816443,0.213019,-1.12872e-26,-5.83945e-19,-1.58342e-18,0.798766,0,0,0
0.00266667,0.270636,1.21358,300,0.0816443,0.213019,-1.14968e-26,-5.83928e-19,-1.58342e-18,0.798766,0,0,0
0.00273333,0.270636,1.21358,300,0.0816443,0.213019,-1.16532e-26,-5.83911e-19,-1.58342e-18,0.798766,0,0,0
0.0028,0.270636,1.21358,300,0.0816443,0.213019,-1.17696e-26,-5.83894e-19,-1.58342e-18,0.798766,0,0,0
0.00286667,0.270636,1.21358,300,0.0816443,0.213019,-1.18559e-26,-5.83877e-19,-1.58342e-18,0.798766,0,0,0
0.00293333,0.270636,1.21358,300,0.0816443,0.213019,-1.19196e-26,-5.8386e-19,-1.58342e-18,0.798766,0,0,0
0.003,0.270636,1.21358,300,0.0816443,0.213019,-1.19663e-26,-5.83843e-19,-1.58342e-18,0.798766,0,0,0
0.00306667,0.270636,1.21358,300,0.0816443,0.213019,-1.20002e-26,-5.83826e-19,-1.58342e-18,0.798766,0,0,0
0.00313333,0.270636,1.21358,300,0.0816443,0.213019,-1.20245e-26,-5.83809e-19,-1.58342e-18,0.798766,0,0,0
0.0032,0.270636,1.21358,300,0.0816443,0.213019,-1.20416e-26,-5.83792e-19,-1.58342e-18,0.798766,0,0,0
0.00326667,0.270636,1.21358,300,0.0816443,0.213019,-1.20532e-26,-5.83775e-19,-1.58342e-18,0.798766,0,0,0
0.00333333,0.270636,1.21358,300,0.0816443,0.213019,-1.20607e-26,-5.83757e-19,-1.58342e-18,0.798766,0,0,0
0.0034,0.270636,1.21358,300,0.0816443,0.213019,-1.20652e-26,-5.8374e-19,-1.58342e-18,0.798766,0,0,0
0.00346667,0.270636,1.21358,300,0.0816443,0.213019,-1.20674e-26,-5.83723e-19,-1.58342e-18,0.798766,0,0,0
0.00353333,0.270636,1.21358,300,0.0816443,0.213019,-1.20679e-26,-5.83706e-19,-1.58342e-18,0.798766,0,0,0
0.0036,0.270636,1.21358,300,0.0816443,0.213019,-1.2067e-26,-5.83689e-19,-1.58342e-18,0.798766,0,0,0
0.00366667,0.270636,1.21358,300,0.0816443,0.213019,-1.20652e-26,-5.83672e-19,-1.58342e-18,0.798766,0,0,0
0.00373333,0.270636,1.21358,300,0.0816443,0.213019,-1.20626e-26,-5.83655e-19,-1.58342e-18,0.798766,0,0,0
0.0038,0.270636,1.21358,300,0.0816443,0.213019,-1.20595e-26,-5.83638e-19,-1.58342e-18,0.798766,0,0,0
0.00386667,0.270636,1.21358,300,0.0816443,0.213019,-1.20559e-26,-5.83621e-19,-1.58342e-18,0.798766,0,0,0
0.00393333,0.270636,1.21358,300,0.0816443,0.213019,-1.20521e-26,-5.83604e-19,-1.58342e-18,0.798766,0,0,0
0.004,0.270636,1.21358,300,0.0816443,0.213019,-1.2048e-26,-5.83587e-19,-1.58342e-18,0.798766,0,0,0
0.00406667,0.270636,1.21358,300,0.0816443,0.213019,-1.20437e-26,-5.8357e-19,-1.58342e-18,0.798766,0,0,0
0.00413333,0.270636,1.21358,300,0.0816443,0.213019,-1.20394e-26,-5.83553e-19,-1.58342e-18,0.798766,0,0,0
0.0042,0.270636,1.21358,300,0.0816443,0.213019,-1.20349e-26,-5.83536e-19,-1.58342e-18,0.798766,0,0,0
0.00426667,0.270636,1.21358,300,0.0816443,0.213019,-1.20303e-26,-5.83519e-19,-1.58341e-18,0.798766,0,0,0
0.00433333,0.270636,1.21358,300,0.0816443,0.213019,-1.20257e-26,-5.83502e-19,-1.58341e-18,0.798766,0,0,0
0.0044,0.270636,1.21358,300,0.0816443,0.213019,-1.20211e-26,-5.83485e-19,-1.58341e-18,0.798766,0,0,0
0.00446667,0.270636,1.21358,300,0.0816443,0.213019,-1.20164e-26,-5.83467e-19,-1.58341e-18,0.798766,0,0,0
0.00453333,0.270636,1.21358,300,0.0816443,0.213019,-1.20117e-26,-5.83448e-19,-1.58341e-18,0.798766,0,0,0
0.0046,0.270636,1.21358,300,0.0816443,0.213019,-1.2007e-26,-5.83428e-19,-1.5834e-18,0.798766,0,0,0
0.00466667,0.270636,1.21358,300,0.0816443,0.213019,-1.20022e-26,-5.83404e-19,-1.58339e-18,0.798766,0,0,0
0.00473333,0.270636,1.21358,300,0.0816443,0.213019,-1.19975e-26,-5.83375e-19,-1.58337e-18,0.798766,0,0,0
0.0048,0.270636,1.21358,300,0.0816443,0.213019,-1.19927e-26,-5.83334e-19,-1.58333e-18,0.798766,0,0,0
0.00486667,0.270636,1.21358,300,0.0816443,0.213019,-1.1988e-26,-5.83273e-19,-1.58325e-18,0.798766,0,0,0
0.00493333,0.270636,1.21358,300,0.0816443,0.213019,-1.19832e-26,-5.83171e-19,-1.58311e-18,0.798766,0,0,0
0.005,0.270636,1.21358,300,0.0816443,0.213019,-1.19785e-26,-5.82995e-19,-1.58284e-18,0.798766,0,0,0
0.00506667,0.270636,1.21358,300,0.0816443,0.213019,-1.19737e-26,-5.82678e-19,-1.58233e-18,0.798766,0,0,0
0.00513333,0.270636,1.21358,300,0.0816443,0.213019,-1.1969e-26,-5.82093e-19,-1.58138e-18,0.798766,0,0,0
