# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s], Sm [kg/m3s], Sh [J/m3s]
0,0,20,400,2.84829e-06,300,300,0.145219,0,0
9.36438e-05,1.35989e-05,19.9522,398.089,2.83097e-06,299.013,299.968,0.145195,-6.30695e-06,0.120469
0.000187288,2.71978e-05,19.9059,396.245,2.81479e-06,298.129,299.937,0.145171,-5.92126e-06,0.227127
0.000280931,4.07964e-05,19.8628,394.533,2.7996e-06,297.335,299.905,0.145146,-5.58788e-06,0.321717
0.000374575,5.43946e-05,19.8226,392.935,2.78527e-06,296.623,299.873,0.145122,-5.29813e-06,0.405732
0.000468219,6.79921e-05,19.7847,391.435,2.77168e-06,295.982,299.841,0.145097,-5.04508e-06,0.480438
0.000561863,8.15887e-05,19.749,390.022,2.75874e-06,295.405,299.81,0.145073,-4.82308e-06,0.546921
0.000655507,9.51843e-05,19.7151,388.684,2.74637e-06,294.885,299.778,0.145049,-4.62753e-06,0.606119
0.00074915,0.000108779,19.6828,387.413,2.7345e-06,294.416,299.746,0.145024,-4.45462e-06,0.658842
0.000842794,0.000122372,19.652,386.2,2.72308e-06,293.992,299.714,0.145,-4.30121e-06,0.705802
0.000936438,0.000135963,19.6224,385.038,2.71205e-06,293.609,299.683,0.144975,-4.16466e-06,0.747618
0.00103008,0.000149554,19.5939,383.922,2.70136e-06,293.263,299.651,0.144951,-4.04274e-06,0.784838
0.00112373,0.000163142,19.5665,382.847,2.691e-06,292.95,299.619,0.144927,-3.93357e-06,0.817946
0.00121737,0.000176729,19.5399,381.808,2.68091e-06,292.667,299.587,0.144902,-3.83555e-06,0.847369
0.00131101,0.000190314,19.5141,380.801,2.67107e-06,292.41,299.556,0.144878,-3.74732e-06,0.873488
0.00140466,0.000203898,19.489,379.823,2.66146e-06,292.177,299.524,0.144854,-3.66769e-06,0.89664
0.0014983,0.000217479,19.4646,378.871,2.65205e-06,291.966,299.492,0.144829,-3.59564e-06,0.917127
0.00159194,0.000231059,19.4407,377.942,2.64283e-06,291.774,299.461,0.144805,-3.5303e-06,0.93522
0.00168559,0.000244636,19.4173,377.033,2.63377e-06,291.6,299.429,0.14478,-3.47089e-06,0.951159
0.00177923,0.000258212,19.3944,376.144,2.62487e-06,291.441,299.397,0.144756,-3.41676e-06,0.96516
0.00187288,0.000271785,19.3719,375.271,2.61611e-06,291.297,299.365,0.144732,-3.36731e-06,0.977417
0.00196652,0.000285356,19.3498,374.414,2.60747e-06,291.166,299.334,0.144707,-3.32202e-06,0.988105
0.00206016,0.000298926,19.328,373.57,2.59895e-06,291.046,299.302,0.144683,-3.28046e-06,0.997379
0.00215381,0.000312493,19.3065,372.739,2.59054e-06,290.937,299.27,0.144659,-3.24221e-06,1.00538
0.00224745,0.000326058,19.2852,371.92,2.58222e-06,290.837,299.239,0.144634,-3.20692e-06,1.01224
0.00234109,0.000339621,19.2642,371.11,2.574e-06,290.746,299.207,0.14461,-3.17429e-06,1.01806
0.00243474,0.000353181,19.2435,370.31,2.56586e-06,290.663,299.175,0.144586,-3.14403e-06,1.02295
0.00252838,0.00036674,19.2229,369.519,2.55779e-06,290.586,299.144,0.144561,-3.11589e-06,1.027
0.00262203,0.000380296,19.2025,368.736,2.5498e-06,290.516,299.112,0.144537,-3.08967e-06,1.0303
0.00271567,0.00039385,19.1823,367.96,2.54188e-06,290.452,299.08,0.144513,-3.06515e-06,1.03292
0.00280931,0.000407401,19.1622,367.19,2.53401e-06,290.393,299.049,0.144488,-3.04217e-06,1.03493
0.00290296,0.000420951,19.1423,366.427,2.52621e-06,290.338,299.017,0.144464,-3.02057e-06,1.03639
0.0029966,0.000434498,19.1225,365.669,2.51846e-06,290.287,298.986,0.14444,-3.00021e-06,1.03735
0.00309025,0.000448043,19.1028,364.917,2.51077e-06,290.241,298.954,0.144416,-2.98097e-06,1.03787
0.00318389,0.000461586,19.0832,364.169,2.50312e-06,290.197,298.922,0.144391,-2.96274e-06,1.03798
0.00327753,0.000475126,19.0637,363.426,2.49553e-06,290.157,298.891,0.144367,-2.9454e-06,1.03773
0.00337118,0.000488664,19.0444,362.688,2.48797e-06,290.12,298.859,0.144343,-2.92888e-06,1.03716
0.00346482,0.0005022,19.0251,361.953,2.48046e-06,290.085,298.828,0.144318,-2.9131e-06,1.03629
0.00355846,0.000515734,19.0058,361.222,2.47299e-06,290.052,298.796,0.144294,-2.89798e-06,1.03516
0.00365211,0.000529265,18.9867,360.494,2.46555e-06,290.021,298.764,0.14427,-2.88345e-06,1.0338
0.00374575,0.000542794,18.9676,359.77,2.45816e-06,289.993,298.733,0.144246,-2.86946e-06,1.03223
0.0038394,0.000556321,18.9486,359.049,2.4508e-06,289.965,298.701,0.144221,-2.85596e-06,1.03046
