# grid [m], ug [m/s], rhog, Tg [K], Yf, phi_g, Sm, Sh, Syf
0,0.0788737,1.20026,300,0.0526393,0.222087,-0.0585259,6430.84,0.0554451
0.000100503,0.0788737,1.20026,300,0.0526393,0.222087,-0.0831231,28404.5,0.0787476
0.000201005,0.0788737,1.20026,300,0.0526393,0.222087,-0.0595053,39502.9,0.0563729
0.000301508,0.0788737,1.20026,300,0.0526393,0.222087,-0.0517602,43342.6,0.0490356
0.00040201,0.0788737,1.20026,300,0.0526393,0.222087,-0.0489156,44614.3,0.0463407
0.000502513,0.0788737,1.20026,300,0.0526393,0.222087,-0.0477663,44953.6,0.0452519
0.000603015,0.0788737,1.20026,300,0.0526393,0.222087,-0.0472208,44950.1,0.0447351
0.000703518,0.0788737,1.20026,300,0.0526393,0.222087,-0.0468919,44820.9,0.0444235
0.00080402,0.0788737,1.20026,300,0.0526393,0.222087,-0.0466422,44647.8,0.0441869
0.000904523,0.0788737,1.20026,300,0.0526393,0.222087,-0.0464196,44457.8,0.0439761
0.00100503,0.0788737,1.20026,300,0.0526393,0.222087,-0.0462062,44261.5,0.043774
0.00110553,0.0788737,1.20026,300,0.0526393,0.222087,-0.045998,44064.9,0.0435767
0.00120603,0.0788737,1.20026,300,0.0526393,0.222087,-0.0457843,43861.1,0.0433742
0.00130653,0.0788737,1.20026,300,0.0526393,0.222087,-0.045573,43659,0.0431741
0.00140704,0.0788737,1.20026,300,0.0526393,0.222087,-0.0453609,43455.9,0.0429731
0.00150754,0.0788737,1.20026,300,0.0526393,0.222087,-0.0451478,43251.8,0.0427712
0.00160804,0.0788737,1.20026,300,0.0526393,0.222087,-0.0449355,43048.4,0.0425701
0.00170854,0.0788737,1.20026,300,0.0526393,0.222087,-0.0447199,42841.9,0.0423658
0.00180905,0.0788737,1.20026,300,0.0526393,0.222087,-0.0445025,42633.6,0.0421599
0.00190955,0.0788737,1.20026,300,0.0526393,0.222087,-0.0442853,42425.5,0.0419541
0.00201005,0.0788737,1.20026,300,0.0526393,0.222087,-0.044067,42216.4,0.0417474
0.00211055,0.0788737,1.20026,300,0.0526393,0.222087,-0.043848,42006.6,0.0415398
0.00221106,0.0788737,1.20026,300,0.0526393,0.222087,-0.0436298,41797.6,0.0413332
0.00231156,0.0788737,1.20026,300,0.0526393,0.222087,-0.0434056,41582.8,0.0411208
0.00241206,0.0788737,1.20026,300,0.0526393,0.222087,-0.0431829,41369.5,0.0409098
0.00251256,0.0788737,1.20026,300,0.0526393,0.222087,-0.0429591,41155,0.0406977
0.00261307,0.0788737,1.20026,300,0.0526393,0.222087,-0.042734,40939.4,0.0404845
0.00271357,0.0788737,1.20026,300,0.0526393,0.222087,-0.0425096,40724.4,0.0402719
0.00281407,0.0788737,1.20026,300,0.0526393,0.222087,-0.0422814,40505.8,0.0400557
0.00291457,0.0788737,1.20026,300,0.0526393,0.222087,-0.0420517,40285.7,0.0398381
0.00301508,0.0788737,1.20026,300,0.0526393,0.222087,-0.0418218,40065.5,0.0396203
0.00311558,0.0788737,1.20026,300,0.0526393,0.222087,-0.0415906,39844,0.0394013
0.00321608,0.0788737,1.20026,300,0.0526393,0.222087,-0.0413585,39621.7,0.0391814
0.00331658,0.0788737,1.20026,300,0.0526393,0.222087,-0.0411266,39399.5,0.0389617
0.00341709,0.0788737,1.20026,300,0.0526393,0.222087,-0.0408892,39172,0.0387368
0.00351759,0.0788737,1.20026,300,0.0526393,0.222087,-0.0406527,38945.5,0.0385127
0.00361809,0.0788737,1.20026,300,0.0526393,0.222087,-0.0404148,38717.6,0.0382874
0.00371859,0.0788737,1.20026,300,0.0526393,0.222087,-0.0401755,38488.4,0.0380607
0.0038191,0.0788737,1.20026,300,0.0526393,0.222087,-0.0399366,38259.5,0.0378344
0.0039196,0.0788737,1.20026,300,0.0526393,0.222087,-0.0396935,38026.6,0.037604
0.0040201,0.0788737,1.20026,300,0.0526393,0.222087,-0.039449,37792.3,0.0373724
0.0041206,0.0788737,1.20026,300,0.0526393,0.222087,-0.0392038,37557.5,0.0371401
0.00422111,0.0788737,1.20026,300,0.0526393,0.222087,-0.0389571,37321.1,0.0369064
0.00432161,0.0788737,1.20026,300,0.0526393,0.222087,-0.0387094,37083.8,0.0366717
0.00442211,0.0788737,1.20026,300,0.0526393,0.222087,-0.038461,36845.9,0.0364364
0.00452261,0.0788737,1.20026,300,0.0526393,0.222087,-0.0382074,36603,0.0361962
0.00462312,0.0788737,1.20026,300,0.0526393,0.222087,-0.0379543,36360.5,0.0359564
0.00472362,0.0788737,1.20026,300,0.0526393,0.222087,-0.0376995,36116.4,0.035715
0.00482412,0.0788737,1.20026,300,0.0526393,0.222087,-0.0374429,35870.7,0.035472
0.00492462,0.0788738,1.20026,300,0.0526393,0.222087,-0.0371865,35625,0.035229
0.00502513,0.0788738,1.20026,300,0.0526393,0.222087,-0.0369253,35374.8,0.0349816
0.00512563,0.0788738,1.20026,300,0.0526393,0.222087,-0.0366628,35123.4,0.0347329
0.00522613,0.0788738,1.20026,300.001,0.0526393,0.222087,-0.0363992,34871,0.0344831
0.00532663,0.0788739,1.20026,300.001,0.0526393,0.222087,-0.0361337,34616.8,0.0342317
0.00542714,0.078874,1.20026,300.001,0.0526393,0.222087,-0.0358671,34361.5,0.0339791
0.00552764,0.0788741,1.20025,300.001,0.0526392,0.222087,-0.0355992,34105.1,0.0337253
0.00562814,0.0788742,1.20025,300.002,0.0526392,0.222087,-0.0353266,33844.2,0.033467
0.00572864,0.0788744,1.20025,300.003,0.0526392,0.222087,-0.035054,33583.5,0.0332088
0.00582915,0.0788746,1.20025,300.003,0.0526391,0.222087,-0.0347799,33321.3,0.0329491
0.00592965,0.078875,1.20024,300.005,0.052639,0.222087,-0.0345042,33058,0.0326879
0.00603015,0.0788755,1.20023,300.007,0.0526389,0.222087,-0.034229,32795.3,0.0324272
0.00613065,0.0788761,1.20022,300.009,0.0526388,0.222087,-0.0339499,32529.1,0.0321628
0.00623116,0.0788771,1.20021,300.013,0.0526386,0.222087,-0.033671,32263.6,0.0318986
0.00633166,0.0788783,1.20019,300.017,0.0526383,0.222087,-0.0333926,31999.2,0.0316349
0.00643216,0.0788801,1.20016,300.024,0.052638,0.222087,-0.0331153,31736.6,0.0313722
0.00653266,0.0788825,1.20013,300.033,0.0526375,0.222087,-0.0328405,31477.4,0.0311118
0.00663317,0.0788858,1.20008,300.045,0.0526368,0.222087,-0.0325703,31224.1,0.0308559
0.00673367,0.0788904,1.20001,300.063,0.0526358,0.222087,-0.0323033,30975.6,0.030603
0.00683417,0.0788967,1.19991,300.086,0.0526345,0.222087,-0.0320472,30740.1,0.0303604
0.00693467,0.0789054,1.19978,300.119,0.0526327,0.222087,-0.0318046,30520.9,0.0301306
0.00703518,0.0789173,1.1996,300.164,0.0526302,0.222087,-0.0315814,30324.7,0.0299193
0.00713568,0.0789338,1.19935,300.225,0.0526267,0.222087,-0.0313858,30160.8,0.029734
0.00723618,0.0789564,1.199,300.31,0.052622,0.222087,-0.03123,30043.1,0.0295866
0.00733668,0.0789876,1.19853,300.428,0.0526155,0.222087,-0.0311248,29984.2,0.0294871
0.00743719,0.0790306,1.19788,300.589,0.0526065,0.222087,-0.0310952,30011.6,0.0294594
0.00753769,0.0790898,1.19698,300.811,0.0525941,0.222087,-0.0311677,30155.1,0.0295285
0.00763819,0.0791713,1.19575,301.117,0.052577,0.222087,-0.0313805,30456.9,0.0297307
0.00773869,0.0792833,1.19406,301.537,0.0525536,0.222087,-0.0317856,30974.2,0.0301151
0.0078392,0.0794373,1.19174,302.115,0.0525213,0.222087,-0.032454,31784,0.0307495
0.0079397,0.079649,1.18858,302.91,0.0524771,0.222087,-0.0334842,32992,0.031727
0.0080402,0.0799395,1.18426,304,0.0524164,0.222087,-0.0349972,34726.7,0.0331628
0.0081407,0.0803376,1.17839,305.493,0.0523333,0.222087,-0.0371865,37187.9,0.0352404
0.00824121,0.0808821,1.17046,307.536,0.0522197,0.222087,-0.0402684,40595.6,0.0381656
0.00834171,0.081625,1.1598,310.322,0.052065,0.222087,-0.0445671,45269.6,0.0422467
0.00844221,0.0826349,1.14563,314.109,0.0518552,0.222087,-0.0504696,51578.4,0.0478525
0.00854271,0.0840015,1.12699,319.232,0.0515721,0.222087,-0.058446,59949.7,0.0554318
0.00864322,0.0858392,1.10286,326.117,0.0511927,0.222087,-0.0689586,70772.9,0.0654284
0.00874372,0.0882908,1.07224,335.296,0.0506888,0.222087,-0.082215,84155.9,0.0780477
0.00884422,0.0915281,1.03432,347.408,0.050027,0.222087,-0.0973647,99158.2,0.0924939
0.00894472,0.0957499,0.988712,363.184,0.0491694,0.222087,-0.110215,111594,0.104795
0.00904523,0.101174,0.935709,383.423,0.0480752,0.222087,-0.100814,101661,0.0959676
0.00914573,0.108023,0.876375,408.936,0.0467035,0.222087,-0.0207036,20860.1,0.0197367
0.00924623,0.116514,0.812513,440.488,0.0450155,0.222087,0,0,0
0.00934673,0.126835,0.746395,478.734,0.0429767,0.222087,0,0,0
0.00944724,0.139141,0.680384,524.178,0.0405585,0.222087,0,0,0
0.00954774,0.153543,0.616561,577.151,0.037738,0.222087,0,0,0
0.00964824,0.170117,0.556493,637.82,0.0344971,0.222087,0,0,0
0.00974874,0.188901,0.501155,706.207,0.0308224,0.222087,0,0,0
0.00984925,0.209912,0.450994,782.227,0.0267053,0.222087,0,0,0
0.00994975,0.233139,0.406061,865.693,0.0221467,0.222087,0,0,0
0.01,0.24561,0.385445,910.216,0.0196442,0.222087,0,0,0
0.0100503,0.258633,0.366035,956.528,0.0170361,0.222087,0,0,0
0.0101508,0.286176,0.330806,1053.97,0.0117082,0.222087,0,0,0
0.0102513,0.315139,0.300404,1155.77,0.00647239,0.222087,0,0,0
0.0103518,0.343094,0.275927,1253.96,0.00241951,0.222087,0,0,0
0.0104523,0.364599,0.259652,1330.68,0.000575107,0.222087,0,0,0
0.0105528,0.377995,0.25045,1380.23,0.000104102,0.222087,0,0,0
0.0106533,0.386348,0.245035,1412.38,1.68997e-05,0.222087,0,0,0
0.0107538,0.39201,0.241496,1434.78,2.69046e-06,0.222087,0,0,0
0.0108543,0.396104,0.239,1451.23,4.38922e-07,0.222087,0,0,0
0.0109548,0.399168,0.237165,1463.63,7.49391e-08,0.222087,0,0,0
0.0110553,0.401504,0.235786,1473.13,1.35197e-08,0.222087,0,0,0
0.0111558,0.403308,0.234731,1480.48,2.58666e-09,0.222087,0,0,0
0.0112563,0.404717,0.233914,1486.23,5.25022e-10,0.222087,0,0,0
0.0113568,0.405828,0.233274,1490.76,1.12887e-10,0.222087,0,0,0
0.0114573,0.406713,0.232766,1494.38,2.56483e-11,0.222087,0,0,0
0.0115578,0.407425,0.232359,1497.29,6.13946e-12,0.222087,0,0,0
0.0116583,0.408003,0.23203,1499.66,1.54338e-12,0.222087,0,0,0
0.0117588,0.408477,0.231761,1501.59,4.06159e-13,0.222087,0,0,0
0.0118593,0.408869,0.231538,1503.2,1.11544e-13,0.222087,0,0,0
0.0119598,0.409196,0.231354,1504.53,3.18746e-14,0.222087,0,0,0
0.0120603,0.409471,0.231198,1505.66,9.45129e-15,0.222087,0,0,0
0.0121608,0.409703,0.231067,1506.61,2.90058e-15,0.222087,0,0,0
0.0122613,0.409901,0.230955,1507.42,9.19218e-16,0.222087,0,0,0
0.0123618,0.410072,0.230859,1508.12,3.00185e-16,0.222087,0,0,0
0.0124623,0.410219,0.230777,1508.72,1.00831e-16,0.222087,0,0,0
0.0125628,0.410346,0.230705,1509.24,3.4781e-17,0.222087,0,0,0
0.0126633,0.410458,0.230642,1509.69,1.2304e-17,0.222087,0,0,0
0.0127638,0.410556,0.230587,1510.09,4.45916e-18,0.222087,0,0,0
0.0128643,0.410642,0.230539,1510.45,1.65437e-18,0.222087,0,0,0
0.0129648,0.410719,0.230496,1510.76,6.28076e-19,0.222087,0,0,0
0.0130653,0.410787,0.230457,1511.04,2.43999e-19,0.222087,0,0,0
0.0131658,0.410848,0.230423,1511.29,9.70386e-20,0.222087,0,0,0
0.0132663,0.410903,0.230392,1511.51,3.95426e-20,0.222087,0,0,0
0.0133668,0.410952,0.230365,1511.71,1.65324e-20,0.222087,0,0,0
0.0134673,0.410997,0.23034,1511.89,7.1042e-21,0.222087,0,0,0
0.0135678,0.411037,0.230317,1512.06,3.14389e-21,0.222087,0,0,0
0.0136683,0.411074,0.230296,1512.21,1.4357e-21,0.222087,0,0,0
0.0137688,0.411108,0.230278,1512.35,6.77682e-22,0.222087,0,0,0
0.0138693,0.411138,0.23026,1512.47,3.30969e-22,0.222087,0,0,0
0.0139698,0.411166,0.230245,1512.59,1.67246e-22,0.222087,0,0,0
0.0140704,0.411192,0.23023,1512.69,8.73505e-23,0.222087,0,0,0
0.0141709,0.411216,0.230217,1512.79,4.70565e-23,0.222087,0,0,0
0.0142714,0.411238,0.230204,1512.88,2.60731e-23,0.222087,0,0,0
0.0143719,0.411259,0.230193,1512.96,1.48111e-23,0.222087,0,0,0
0.0144724,0.411278,0.230182,1513.04,8.59761e-24,0.222087,0,0,0
0.0145729,0.411296,0.230172,1513.11,5.08409e-24,0.222087,0,0,0
0.0146734,0.411312,0.230163,1513.18,3.05418e-24,0.222087,0,0,0
0.0147739,0.411327,0.230155,1513.24,1.85951e-24,0.222087,0,0,0
0.0148744,0.411342,0.230147,1513.3,1.14519e-24,0.222087,0,0,0
0.0149749,0.411355,0.230139,1513.36,7.12258e-25,0.222087,0,0,0
0.0150754,0.411368,0.230132,1513.41,4.46818e-25,0.222087,0,0,0
0.0151759,0.41138,0.230125,1513.46,2.82434e-25,0.222087,0,0,0
0.0152764,0.411391,0.230119,1513.5,1.79741e-25,0.222087,0,0,0
0.0153769,0.411401,0.230113,1513.54,1.15091e-25,0.222087,0,0,0
0.0154774,0.411411,0.230108,1513.58,7.41105e-26,0.222087,0,0,0
