# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s]
0,0,25,625,6.42698e-06,300,320,0.000122853
0.00025,3.07133e-08,24.9456,622.282,6.38753e-06,299.411,320,0.000122853
0.0005,6.14266e-08,24.8909,619.556,6.34947e-06,298.895,320,0.000122853
0.00075,9.214e-08,24.8382,616.934,6.31258e-06,298.444,320,0.000122853
0.001,1.22853e-07,24.7872,614.404,6.2767e-06,298.049,320,0.000122853
0.00125,1.53567e-07,24.7376,611.95,6.24169e-06,297.702,320,0.000122853
0.0015,1.8428e-07,24.6894,609.564,6.20744e-06,297.398,320,0.000122853
0.00175,2.14993e-07,24.6422,607.236,6.17384e-06,297.131,320,0.000122853
0.002,2.45707e-07,24.5959,604.957,6.14082e-06,296.897,320,0.000122853
0.00225,2.7642e-07,24.5504,602.723,6.1083e-06,296.691,320,0.000122853
0.0025,3.07133e-07,24.5056,600.526,6.07622e-06,296.51,320,0.000122853
0.00275,3.37846e-07,24.4614,598.362,6.04452e-06,296.352,320,0.000122853
0.003,3.6856e-07,24.4177,596.226,6.01318e-06,296.212,320,0.000122853
0.00325,3.99273e-07,24.3745,594.116,5.98214e-06,296.09,320,0.000122853
0.0035,4.29986e-07,24.3316,592.027,5.95137e-06,295.982,320,0.000122853
0.00375,4.607e-07,24.2891,589.958,5.92085e-06,295.888,320,0.000122853
0.004,4.91413e-07,24.2468,587.905,5.89055e-06,295.805,320,0.000122853
0.00425,5.22126e-07,24.2047,585.867,5.86044e-06,295.732,320,0.000122853
0.0045,5.5284e-07,24.1628,583.842,5.83051e-06,295.668,320,0.000122853
0.00475,5.83553e-07,24.1211,581.828,5.80074e-06,295.612,320,0.000122853
0.005,6.14266e-07,24.0795,579.823,5.77112e-06,295.563,320,0.000122853
0.00525,6.4498e-07,24.038,577.827,5.74164e-06,295.52,320,0.000122853
0.0055,6.75693e-07,23.9966,575.839,5.71228e-06,295.483,320,0.000122853
0.00575,7.06406e-07,23.9553,573.857,5.68303e-06,295.45,320,0.000122853
0.006,7.3712e-07,23.914,571.881,5.65389e-06,295.421,320,0.000122853
0.00625,7.67833e-07,23.8728,569.909,5.62485e-06,295.395,320,0.000122853
0.0065,7.98546e-07,23.8315,567.942,5.5959e-06,295.373,320,0.000122853
0.00675,8.2926e-07,23.7903,565.979,5.56704e-06,295.354,320,0.000122853
0.007,8.59973e-07,23.7491,564.02,5.53826e-06,295.337,320,0.000122853
0.00725,8.90686e-07,23.7079,562.063,5.50955e-06,295.322,320,0.000122853
0.0075,9.214e-07,23.6666,560.109,5.48093e-06,295.309,320,0.000122853
0.00775,9.52113e-07,23.6253,558.156,5.45237e-06,295.298,320,0.000122853
0.008,9.82826e-07,23.584,556.206,5.42388e-06,295.288,320,0.000122853
0.00825,1.01354e-06,23.5427,554.258,5.39546e-06,295.279,320,0.000122853
0.0085,1.04425e-06,23.5013,552.311,5.3671e-06,295.272,320,0.000122853
