# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s]
0,0,25,625,6.42698e-06,300,300,0.164806
5e-05,8.24028e-06,24.9985,624.923,6.42449e-06,299.903,300,0.164806
0.0001,1.64806e-05,24.9944,624.719,6.42206e-06,299.809,300,0.164806
0.00015,2.47208e-05,24.9904,624.52,6.41968e-06,299.718,300,0.164806
0.0002,3.29611e-05,24.9865,624.325,6.41735e-06,299.629,300,0.164806
0.00025,4.12014e-05,24.9827,624.135,6.41508e-06,299.543,300,0.164806
0.0003,4.94417e-05,24.979,623.95,6.41285e-06,299.46,300,0.164806
0.00035,5.7682e-05,24.9754,623.769,6.41067e-06,299.379,300,0.164806
0.0004,6.59223e-05,24.9718,623.592,6.40854e-06,299.301,300,0.164806
0.00045,7.41625e-05,24.9684,623.419,6.40645e-06,299.225,300,0.164806
0.0005,8.24028e-05,24.965,623.25,6.40441e-06,299.151,300,0.164806
0.00055,9.06431e-05,24.9617,623.085,6.4024e-06,299.079,300,0.164806
0.0006,9.88834e-05,24.9584,622.923,6.40044e-06,299.009,300,0.164806
0.00065,0.000107124,24.9553,622.765,6.39851e-06,298.942,300,0.164806
0.0007,0.000115364,24.9522,622.61,6.39662e-06,298.876,300,0.164806
0.00075,0.000123604,24.9491,622.459,6.39477e-06,298.813,300,0.164806
0.0008,0.000131845,24.9461,622.31,6.39295e-06,298.751,300,0.164806
0.00085,0.000140085,24.9432,622.165,6.39117e-06,298.691,300,0.164806
0.0009,0.000148325,24.9404,622.023,6.38942e-06,298.633,300,0.164806
0.00095,0.000156565,24.9376,621.884,6.3877e-06,298.576,300,0.164806
0.001,0.000164806,24.9349,621.747,6.38601e-06,298.522,300,0.164806
0.00105,0.000173046,24.9322,621.614,6.38435e-06,298.468,300,0.164806
0.0011,0.000181286,24.9295,621.482,6.38272e-06,298.417,300,0.164806
0.00115,0.000189526,24.927,621.354,6.38111e-06,298.367,300,0.164806
0.0012,0.000197767,24.9244,621.228,6.37954e-06,298.318,300,0.164806
0.00125,0.000206007,24.922,621.104,6.37799e-06,298.27,300,0.164806
0.0013,0.000214247,24.9195,620.982,6.37646e-06,298.225,300,0.164806
0.00135,0.000222488,24.9171,620.863,6.37496e-06,298.18,300,0.164806
0.0014,0.000230728,24.9148,620.746,6.37348e-06,298.137,300,0.164806
0.00145,0.000238968,24.9125,620.631,6.37203e-06,298.095,300,0.164806
0.0015,0.000247208,24.9102,620.518,6.3706e-06,298.054,300,0.164806
0.00155,0.000255449,24.908,620.407,6.36918e-06,298.014,300,0.164806
0.0016,0.000263689,24.9058,620.298,6.36779e-06,297.975,300,0.164806
0.00165,0.000271929,24.9036,620.191,6.36642e-06,297.938,300,0.164806
0.0017,0.00028017,24.9015,620.086,6.36507e-06,297.902,300,0.164806
0.00175,0.00028841,24.8994,619.982,6.36374e-06,297.866,300,0.164806
0.0018,0.00029665,24.8974,619.88,6.36243e-06,297.832,300,0.164806
0.00185,0.00030489,24.8954,619.78,6.36113e-06,297.799,300,0.164806
0.0019,0.000313131,24.8934,619.681,6.35986e-06,297.767,300,0.164806
0.00195,0.000321371,24.8914,619.584,6.3586e-06,297.735,300,0.164806
0.002,0.000329611,24.8895,619.488,6.35735e-06,297.705,300,0.164806
0.00205,0.000337852,24.8876,619.394,6.35612e-06,297.675,300,0.164806
0.0021,0.000346092,24.8858,619.301,6.35491e-06,297.646,300,0.164806
0.00215,0.000354332,24.8839,619.209,6.35371e-06,297.618,300,0.164806
0.0022,0.000362572,24.8821,619.119,6.35252e-06,297.591,300,0.164806
0.00225,0.000370813,24.8803,619.03,6.35135e-06,297.565,300,0.164806
0.0023,0.000379053,24.8786,618.943,6.35019e-06,297.539,300,0.164806
0.00235,0.000387293,24.8768,618.856,6.34905e-06,297.514,300,0.164806
0.0024,0.000395534,24.8751,618.771,6.34792e-06,297.49,300,0.164806
0.00245,0.000403774,24.8734,618.687,6.3468e-06,297.466,300,0.164806
0.0025,0.000412014,24.8717,618.604,6.34569e-06,297.444,300,0.164806
0.00255,0.000420254,24.8701,618.522,6.3446e-06,297.421,300,0.164806
0.0026,0.000428495,24.8685,618.441,6.34351e-06,297.4,300,0.164806
0.00265,0.000436735,24.8669,618.361,6.34244e-06,297.379,300,0.164806
0.0027,0.000444975,24.8653,618.282,6.34137e-06,297.359,300,0.164806
0.00275,0.000453215,24.8637,618.204,6.34032e-06,297.339,300,0.164806
0.0028,0.000461456,24.8622,618.127,6.33928e-06,297.32,300,0.164806
0.00285,0.000469696,24.8606,618.051,6.33825e-06,297.301,300,0.164806
0.0029,0.000477936,24.8591,617.975,6.33722e-06,297.283,300,0.164806
0.00295,0.000486177,24.8576,617.901,6.33621e-06,297.265,300,0.164806
0.003,0.000494417,24.8561,617.827,6.3352e-06,297.248,300,0.164806
