  Grid,   Temperature,   Uvec,  C2H5OH, O2, N2, AR,   CO,    CO2
   0.000e+00,   3.000e+02,   1.873e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   3.684e-18,  -3.920e-19
   5.263e-03,   3.000e+02,   1.875e-01,   1.015e-01,   2.087e-01,   6.786e-01,   1.241e-02,   3.034e-16,   1.632e-16
   1.053e-02,   3.000e+02,   1.880e-01,   1.060e-01,   2.087e-01,   6.786e-01,   1.241e-02,   1.726e-14,   9.572e-15
   1.579e-02,   3.000e+02,   1.885e-01,   1.100e-01,   2.087e-01,   6.786e-01,   1.241e-02,   8.879e-13,   4.926e-13
   2.105e-02,   3.000e+02,   1.890e-01,   1.135e-01,   2.087e-01,   6.786e-01,   1.241e-02,   4.585e-11,   2.543e-11
   2.632e-02,   3.000e+02,   1.893e-01,   1.166e-01,   2.087e-01,   6.786e-01,   1.241e-02,   2.380e-09,   1.320e-09
   3.158e-02,   3.000e+02,   1.897e-01,   1.192e-01,   2.087e-01,   6.786e-01,   1.241e-02,   1.241e-07,   6.883e-08
   3.684e-02,   3.000e+02,   1.902e-01,   1.230e-01,   2.087e-01,   6.787e-01,   1.241e-02,   6.503e-06,   3.608e-06
   4.211e-02,   3.024e+02,   1.918e-01,   1.225e-01,   2.082e-01,   6.787e-01,   1.241e-02,   3.394e-04,   1.883e-04
   4.737e-02,   4.101e+02,   2.656e-01,   1.036e-01,   1.867e-01,   6.790e-01,   1.241e-02,   1.370e-02,   7.600e-03
   5.000e-02,   1.272e+03,   9.046e-01,   1.223e-02,   8.260e-02,   6.788e-01,   1.241e-02,   7.809e-02,   4.333e-02
   5.263e-02,   1.987e+03,   1.420e+00,   7.009e-06,   1.874e-03,   6.788e-01,   1.241e-02,   5.805e-02,   1.421e-01
   5.789e-02,   2.036e+03,   1.451e+00,   1.714e-09,   1.138e-04,   6.788e-01,   1.241e-02,   5.716e-02,   1.449e-01
   6.316e-02,   2.043e+03,   1.455e+00,   4.273e-13,   2.419e-05,   6.788e-01,   1.241e-02,   5.723e-02,   1.450e-01
   6.842e-02,   2.045e+03,   1.456e+00,   7.271e-16,   1.332e-05,   6.788e-01,   1.241e-02,   5.728e-02,   1.450e-01
   7.368e-02,   2.045e+03,   1.456e+00,   2.815e-17,   1.142e-05,   6.788e-01,   1.241e-02,   5.731e-02,   1.449e-01
   7.895e-02,   2.045e+03,   1.457e+00,   1.294e-18,   1.115e-05,   6.788e-01,   1.241e-02,   5.733e-02,   1.449e-01
   8.421e-02,   2.045e+03,   1.457e+00,   5.997e-20,   1.121e-05,   6.788e-01,   1.241e-02,   5.734e-02,   1.449e-01
   8.947e-02,   2.045e+03,   1.457e+00,   2.844e-21,   1.130e-05,   6.787e-01,   1.241e-02,   5.735e-02,   1.449e-01
   9.474e-02,   2.045e+03,   1.457e+00,   1.549e-22,   1.137e-05,   6.781e-01,   1.243e-02,   5.745e-02,   1.452e-01
   1.000e-01,   2.045e+03,   1.425e+00,   1.549e-22,   1.137e-05,   6.552e-01,   1.243e-02,   5.745e-02,   1.452e-01
