  Grid,   Temperature,   Uvec,  C2H5OH, O2, N2, AR,   CO,    CO2
   0.000e+00,   3.000e+02,   2.912e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   7.603e-16,   4.775e-16
   8.347e-05,   3.000e+02,   2.912e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   1.669e-15,   1.048e-15
   1.669e-04,   3.000e+02,   2.912e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   1.669e-15,   1.048e-15
   2.504e-04,   3.000e+02,   2.912e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   1.669e-15,   1.048e-15
   3.339e-04,   3.000e+02,   2.912e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   1.669e-15,   1.048e-15
   4.174e-04,   3.000e+02,   2.912e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   1.669e-15,   1.048e-15
   5.008e-04,   3.000e+02,   2.912e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   1.669e-15,   1.048e-15
   5.843e-04,   3.000e+02,   2.912e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   1.669e-15,   1.048e-15
   6.678e-04,   3.000e+02,   2.912e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   1.669e-15,   1.048e-15
   7.513e-04,   3.000e+02,   2.912e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   1.669e-15,   1.048e-15
   8.347e-04,   3.000e+02,   2.912e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   1.669e-15,   1.048e-15
   9.182e-04,   3.000e+02,   2.912e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   1.669e-15,   1.048e-15
   1.002e-03,   3.000e+02,   2.912e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   1.669e-15,   1.048e-15
   1.085e-03,   3.000e+02,   2.912e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   1.669e-15,   1.048e-15
   1.169e-03,   3.000e+02,   2.912e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   1.669e-15,   1.048e-15
   1.252e-03,   3.000e+02,   2.912e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   1.669e-15,   1.048e-15
