  Grid,   Temperature,   Uvec,  C2H5OH, O2, N2, AR,   CO,    CO2
   0.000e+00,   3.000e+02,   3.329e-01,   9.092e-02,   2.109e-01,   6.857e-01,   1.254e-02,   5.353e-17,   1.274e-18
   8.347e-05,   3.000e+02,   3.329e-01,   9.092e-02,   2.109e-01,   6.857e-01,   1.254e-02,   7.558e-17,   1.434e-17
   1.669e-04,   3.000e+02,   3.329e-01,   9.092e-02,   2.109e-01,   6.857e-01,   1.254e-02,   7.552e-17,   1.434e-17
   2.504e-04,   3.000e+02,   3.329e-01,   9.092e-02,   2.109e-01,   6.857e-01,   1.254e-02,   7.551e-17,   1.434e-17
   3.339e-04,   3.000e+02,   3.329e-01,   9.092e-02,   2.109e-01,   6.857e-01,   1.254e-02,   7.550e-17,   1.434e-17
   4.174e-04,   3.000e+02,   3.329e-01,   9.092e-02,   2.109e-01,   6.857e-01,   1.254e-02,   7.549e-17,   1.434e-17
   5.008e-04,   3.000e+02,   3.329e-01,   9.092e-02,   2.109e-01,   6.857e-01,   1.254e-02,   7.548e-17,   1.434e-17
   5.843e-04,   3.000e+02,   3.329e-01,   9.092e-02,   2.109e-01,   6.857e-01,   1.254e-02,   7.547e-17,   1.434e-17
   6.678e-04,   3.000e+02,   3.329e-01,   9.092e-02,   2.109e-01,   6.857e-01,   1.254e-02,   7.547e-17,   1.434e-17
   7.513e-04,   3.000e+02,   3.329e-01,   9.092e-02,   2.109e-01,   6.857e-01,   1.254e-02,   7.546e-17,   1.434e-17
   8.347e-04,   3.000e+02,   3.329e-01,   9.092e-02,   2.109e-01,   6.857e-01,   1.254e-02,   7.545e-17,   1.434e-17
   9.182e-04,   3.000e+02,   3.329e-01,   9.092e-02,   2.109e-01,   6.857e-01,   1.254e-02,   7.544e-17,   1.434e-17
   1.002e-03,   3.000e+02,   3.329e-01,   9.092e-02,   2.109e-01,   6.857e-01,   1.254e-02,   7.543e-17,   1.433e-17
   1.085e-03,   3.000e+02,   3.329e-01,   9.092e-02,   2.109e-01,   6.857e-01,   1.254e-02,   7.542e-17,   1.433e-17
   1.169e-03,   3.000e+02,   3.329e-01,   9.092e-02,   2.109e-01,   6.857e-01,   1.254e-02,   7.541e-17,   1.433e-17
   1.252e-03,   3.000e+02,   3.329e-01,   9.093e-02,   2.109e-01,   6.857e-01,   1.254e-02,   7.540e-17,   1.433e-17
