  Grid,   Temperature,   Uvec,  C2H5OH, O2, N2, AR,   CO,    CO2
   0.000e+00,   3.000e+02,   3.004e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   1.617e-21,   1.017e-21
   1.252e-04,   3.000e+02,   3.004e-01,   1.003e-01,   2.087e-01,   6.786e-01,   1.241e-02,   4.688e-21,   2.945e-21
   2.503e-04,   3.000e+02,   3.005e-01,   1.003e-01,   2.087e-01,   6.786e-01,   1.241e-02,   4.690e-21,   2.946e-21
   3.755e-04,   3.000e+02,   3.005e-01,   1.004e-01,   2.087e-01,   6.785e-01,   1.241e-02,   4.689e-21,   2.946e-21
   5.006e-04,   3.001e+02,   3.005e-01,   1.005e-01,   2.087e-01,   6.785e-01,   1.240e-02,   4.689e-21,   2.946e-21
   6.258e-04,   3.001e+02,   3.006e-01,   1.005e-01,   2.086e-01,   6.784e-01,   1.240e-02,   4.689e-21,   2.946e-21
   7.509e-04,   3.001e+02,   3.006e-01,   1.006e-01,   2.086e-01,   6.784e-01,   1.240e-02,   4.688e-21,   2.946e-21
   8.761e-04,   3.001e+02,   3.006e-01,   1.006e-01,   2.086e-01,   6.784e-01,   1.240e-02,   4.688e-21,   2.945e-21
   1.001e-03,   3.001e+02,   3.006e-01,   1.007e-01,   2.086e-01,   6.783e-01,   1.240e-02,   4.688e-21,   2.945e-21
   1.126e-03,   3.001e+02,   3.006e-01,   1.007e-01,   2.086e-01,   6.783e-01,   1.240e-02,   4.688e-21,   2.945e-21
   1.252e-03,   3.001e+02,   3.007e-01,   1.007e-01,   2.086e-01,   6.783e-01,   1.240e-02,   4.688e-21,   2.945e-21
   1.377e-03,   3.001e+02,   3.007e-01,   1.008e-01,   2.086e-01,   6.782e-01,   1.240e-02,   4.687e-21,   2.945e-21
   1.502e-03,   3.001e+02,   3.007e-01,   1.008e-01,   2.086e-01,   6.782e-01,   1.240e-02,   4.687e-21,   2.945e-21
   1.627e-03,   3.002e+02,   3.007e-01,   1.009e-01,   2.086e-01,   6.782e-01,   1.240e-02,   4.687e-21,   2.945e-21
   1.752e-03,   3.002e+02,   3.007e-01,   1.009e-01,   2.086e-01,   6.781e-01,   1.240e-02,   4.687e-21,   2.944e-21
   1.877e-03,   3.002e+02,   3.008e-01,   1.009e-01,   2.085e-01,   6.781e-01,   1.240e-02,   4.686e-21,   2.944e-21
   2.003e-03,   3.002e+02,   3.008e-01,   1.010e-01,   2.085e-01,   6.781e-01,   1.240e-02,   4.686e-21,   2.944e-21
   2.128e-03,   3.002e+02,   3.008e-01,   1.010e-01,   2.085e-01,   6.781e-01,   1.240e-02,   4.686e-21,   2.944e-21
   2.253e-03,   3.002e+02,   3.008e-01,   1.011e-01,   2.085e-01,   6.780e-01,   1.240e-02,   4.686e-21,   2.944e-21
   2.378e-03,   3.002e+02,   3.008e-01,   1.011e-01,   2.085e-01,   6.780e-01,   1.240e-02,   4.686e-21,   2.944e-21
   2.503e-03,   3.002e+02,   3.008e-01,   1.011e-01,   2.085e-01,   6.780e-01,   1.240e-02,   4.686e-21,   2.944e-21
   2.628e-03,   3.002e+02,   3.009e-01,   1.012e-01,   2.085e-01,   6.780e-01,   1.239e-02,   4.685e-21,   2.944e-21
   2.753e-03,   3.002e+02,   3.009e-01,   1.012e-01,   2.085e-01,   6.779e-01,   1.239e-02,   4.685e-21,   2.943e-21
   2.879e-03,   3.002e+02,   3.009e-01,   1.012e-01,   2.085e-01,   6.779e-01,   1.239e-02,   4.685e-21,   2.943e-21
   3.004e-03,   3.002e+02,   3.009e-01,   1.012e-01,   2.085e-01,   6.779e-01,   1.239e-02,   4.685e-21,   2.943e-21
   3.129e-03,   3.002e+02,   3.009e-01,   1.013e-01,   2.085e-01,   6.779e-01,   1.239e-02,   4.685e-21,   2.943e-21
   3.254e-03,   3.002e+02,   3.009e-01,   1.013e-01,   2.085e-01,   6.778e-01,   1.239e-02,   4.685e-21,   2.943e-21
   3.379e-03,   3.002e+02,   3.009e-01,   1.013e-01,   2.085e-01,   6.778e-01,   1.239e-02,   4.684e-21,   2.943e-21
   3.504e-03,   3.003e+02,   3.009e-01,   1.014e-01,   2.084e-01,   6.778e-01,   1.239e-02,   4.684e-21,   2.943e-21
   3.630e-03,   3.003e+02,   3.009e-01,   1.014e-01,   2.084e-01,   6.778e-01,   1.239e-02,   4.684e-21,   2.943e-21
   3.755e-03,   3.003e+02,   3.010e-01,   1.014e-01,   2.084e-01,   6.778e-01,   1.239e-02,   4.684e-21,   2.943e-21
   3.880e-03,   3.003e+02,   3.010e-01,   1.014e-01,   2.084e-01,   6.777e-01,   1.239e-02,   4.684e-21,   2.943e-21
