# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s]
0,0,25,625,6.42698e-06,300,300,-5.76605e-06
5e-05,1.19999e-05,24.9859,624.295,6.41702e-06,299.612,300,-5.76605e-06
0.0001,2.69999e-05,24.968,623.4,6.40637e-06,299.198,300,-5.76605e-06
0.00015,4.19999e-05,24.9505,622.528,6.39597e-06,298.797,300,-5.76605e-06
0.0002,5.69999e-05,24.9335,621.679,6.38581e-06,298.407,300,-5.76605e-06
0.00025,7.19999e-05,24.9169,620.85,6.37589e-06,298.029,300,-5.76605e-06
0.0003,8.69999e-05,24.9006,620.042,6.3662e-06,297.662,300,-5.76605e-06
0.00035,0.000102,24.8848,619.253,6.35671e-06,297.306,300,-5.76605e-06
0.0004,0.000117,24.8693,618.482,6.34743e-06,296.96,300,-5.76605e-06
0.00045,0.000132,24.8542,617.729,6.33834e-06,296.623,300,-5.76605e-06
0.0005,0.000147,24.8393,616.993,6.32944e-06,296.296,300,-5.76605e-06
0.00055,0.000162,24.8248,616.272,6.32071e-06,295.978,300,-5.76605e-06
0.0006,0.000177,24.8106,615.567,6.31214e-06,295.669,300,-5.76605e-06
0.00065,0.000192,24.7967,614.877,6.30374e-06,295.369,300,-5.76605e-06
0.0007,0.000207,24.7831,614.201,6.29549e-06,295.077,300,-5.76605e-06
0.00075,0.000222,24.7697,613.538,6.28739e-06,294.792,300,-5.76605e-06
0.0008,0.000237,24.7566,612.889,6.27943e-06,294.516,300,-5.76605e-06
0.00085,0.000252,24.7437,612.252,6.2716e-06,294.246,300,-5.76605e-06
0.0009,0.000267,24.7311,611.626,6.26391e-06,293.985,300,-5.76605e-06
0.00095,0.000282,24.7187,611.013,6.25634e-06,293.729,300,-5.76605e-06
0.001,0.000297,24.7065,610.41,6.24888e-06,293.481,300,-5.76605e-06
0.00105,0.000312,24.6945,609.818,6.24155e-06,293.239,300,-5.76605e-06
0.0011,0.000327,24.6827,609.237,6.23432e-06,293.004,300,-5.76605e-06
0.00115,0.000342,24.6711,608.665,6.2272e-06,292.775,300,-5.76605e-06
0.0012,0.000357,24.6597,608.102,6.22018e-06,292.551,300,-5.76605e-06
0.00125,0.000372,24.6485,607.549,6.21325e-06,292.334,300,-5.76605e-06
0.0013,0.000387,24.6375,607.005,6.20643e-06,292.122,300,-5.76605e-06
0.00135,0.000402,24.6266,606.469,6.19969e-06,291.915,300,-5.76605e-06
0.0014,0.000417,24.6159,605.942,6.19304e-06,291.714,300,-5.76605e-06
0.00145,0.000432,24.6053,605.422,6.18648e-06,291.517,300,-5.76605e-06
0.0015,0.000447,24.5949,604.91,6.17999e-06,291.326,300,-5.76605e-06
0.00155,0.000462,24.5847,604.406,6.17359e-06,291.14,300,-5.76605e-06
0.0016,0.000477,24.5745,603.908,6.16726e-06,290.958,300,-5.76605e-06
0.00165,0.000492,24.5646,603.418,6.161e-06,290.781,300,-5.76605e-06
0.0017,0.000507,24.5547,602.934,6.15482e-06,290.608,300,-5.76605e-06
0.00175,0.000522,24.545,602.457,6.1487e-06,290.439,300,-5.76605e-06
0.0018,0.000537,24.5354,601.986,6.14265e-06,290.275,300,-5.76605e-06
0.00185,0.000552,24.5259,601.521,6.13666e-06,290.115,300,-5.76605e-06
0.0019,0.000567,24.5166,601.062,6.13074e-06,289.958,300,-5.76605e-06
0.00195,0.000582,24.5073,600.608,6.12487e-06,289.806,300,-5.76605e-06
0.002,0.000597,24.4982,600.16,6.11906e-06,289.657,300,-5.76605e-06
0.00205,0.000612,24.4891,599.718,6.11331e-06,289.512,300,-5.76605e-06
