  Grid,   Temperature,   Uvec,  C2H5OH, O2, N2, AR,   CO,    CO2
   0.000e+00,   3.000e+02,   3.285e-01,   9.092e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.323e-16,  -2.284e-17
   2.676e-05,   3.000e+02,   3.285e-01,   9.093e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.041e-16,  -2.988e-17
   5.351e-05,   3.000e+02,   3.285e-01,   9.093e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.037e-16,  -2.992e-17
   8.027e-05,   3.000e+02,   3.285e-01,   9.093e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.037e-16,  -2.992e-17
   1.070e-04,   3.000e+02,   3.285e-01,   9.093e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.037e-16,  -2.992e-17
   1.338e-04,   3.000e+02,   3.285e-01,   9.093e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.037e-16,  -2.992e-17
   1.605e-04,   3.000e+02,   3.285e-01,   9.093e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.037e-16,  -2.992e-17
   1.873e-04,   3.000e+02,   3.285e-01,   9.093e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.037e-16,  -2.991e-17
   2.140e-04,   3.000e+02,   3.285e-01,   9.093e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.037e-16,  -2.991e-17
   2.408e-04,   3.000e+02,   3.285e-01,   9.094e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.037e-16,  -2.991e-17
   2.676e-04,   3.000e+02,   3.285e-01,   9.094e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.037e-16,  -2.990e-17
   2.943e-04,   3.000e+02,   3.285e-01,   9.094e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.037e-16,  -2.989e-17
   3.211e-04,   3.000e+02,   3.285e-01,   9.094e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.037e-16,  -2.989e-17
   3.478e-04,   3.000e+02,   3.285e-01,   9.094e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.037e-16,  -2.987e-17
   3.746e-04,   3.000e+02,   3.285e-01,   9.094e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.037e-16,  -2.986e-17
   4.013e-04,   3.000e+02,   3.285e-01,   9.094e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.037e-16,  -2.983e-17
   4.281e-04,   3.000e+02,   3.285e-01,   9.094e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.037e-16,  -2.980e-17
   4.548e-04,   3.000e+02,   3.285e-01,   9.094e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.037e-16,  -2.976e-17
   4.816e-04,   3.000e+02,   3.285e-01,   9.094e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.037e-16,  -2.970e-17
   5.084e-04,   3.000e+02,   3.285e-01,   9.095e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.037e-16,  -2.962e-17
   5.351e-04,   3.000e+02,   3.285e-01,   9.095e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.037e-16,  -2.952e-17
   5.619e-04,   3.000e+02,   3.285e-01,   9.095e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.037e-16,  -2.937e-17
   5.886e-04,   3.000e+02,   3.285e-01,   9.095e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.037e-16,  -2.917e-17
   6.154e-04,   3.000e+02,   3.285e-01,   9.095e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.037e-16,  -2.889e-17
   6.421e-04,   3.000e+02,   3.285e-01,   9.095e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.037e-16,  -2.851e-17
   6.689e-04,   3.000e+02,   3.285e-01,   9.095e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.037e-16,  -2.799e-17
   6.957e-04,   3.000e+02,   3.285e-01,   9.095e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.037e-16,  -2.728e-17
   7.224e-04,   3.000e+02,   3.285e-01,   9.095e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.038e-16,  -2.631e-17
   7.492e-04,   3.000e+02,   3.285e-01,   9.095e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.038e-16,  -2.498e-17
   7.759e-04,   3.000e+02,   3.285e-01,   9.096e-02,   2.109e-01,   6.856e-01,   1.254e-02,   1.038e-16,  -2.316e-17
   8.027e-04,   3.000e+02,   3.285e-01,   9.096e-02,   2.109e-01,   6.856e-01,   1.254e-02,   1.039e-16,  -2.066e-17
   8.294e-04,   3.000e+02,   3.285e-01,   9.096e-02,   2.109e-01,   6.856e-01,   1.254e-02,   1.040e-16,  -1.725e-17
   8.562e-04,   3.000e+02,   3.285e-01,   9.096e-02,   2.109e-01,   6.856e-01,   1.254e-02,   1.041e-16,  -1.259e-17
   8.829e-04,   3.000e+02,   3.285e-01,   9.096e-02,   2.109e-01,   6.856e-01,   1.254e-02,   1.043e-16,  -6.216e-18
   9.097e-04,   3.000e+02,   3.285e-01,   9.096e-02,   2.109e-01,   6.856e-01,   1.254e-02,   1.045e-16,   2.496e-18
   9.365e-04,   3.000e+02,   3.285e-01,   9.096e-02,   2.109e-01,   6.856e-01,   1.254e-02,   1.048e-16,   1.440e-17
   9.632e-04,   3.000e+02,   3.285e-01,   9.096e-02,   2.109e-01,   6.856e-01,   1.254e-02,   1.052e-16,   3.066e-17
   9.900e-04,   3.000e+02,   3.285e-01,   9.096e-02,   2.109e-01,   6.856e-01,   1.254e-02,   1.058e-16,   5.285e-17
   1.017e-03,   3.000e+02,   3.285e-01,   9.096e-02,   2.109e-01,   6.856e-01,   1.254e-02,   1.066e-16,   8.315e-17
   1.043e-03,   3.000e+02,   3.285e-01,   9.096e-02,   2.109e-01,   6.856e-01,   1.254e-02,   1.078e-16,   1.245e-16
   1.070e-03,   3.000e+02,   3.285e-01,   9.097e-02,   2.109e-01,   6.856e-01,   1.254e-02,   1.093e-16,   1.809e-16
   1.097e-03,   3.000e+02,   3.285e-01,   9.097e-02,   2.109e-01,   6.856e-01,   1.254e-02,   1.115e-16,   2.577e-16
   1.124e-03,   3.000e+02,   3.285e-01,   9.097e-02,   2.109e-01,   6.856e-01,   1.254e-02,   1.145e-16,   3.625e-16
   1.151e-03,   3.000e+02,   3.285e-01,   9.097e-02,   2.109e-01,   6.856e-01,   1.254e-02,   1.186e-16,   5.052e-16
   1.177e-03,   3.000e+02,   3.285e-01,   9.097e-02,   2.109e-01,   6.856e-01,   1.254e-02,   1.243e-16,   6.995e-16
   1.204e-03,   3.000e+02,   3.285e-01,   9.097e-02,   2.109e-01,   6.856e-01,   1.254e-02,   1.322e-16,   9.639e-16
   1.231e-03,   3.000e+02,   3.285e-01,   9.097e-02,   2.109e-01,   6.856e-01,   1.254e-02,   1.431e-16,   1.323e-15
   1.258e-03,   3.000e+02,   3.285e-01,   9.097e-02,   2.109e-01,   6.856e-01,   1.254e-02,   1.582e-16,   1.812e-15
   1.284e-03,   3.000e+02,   3.285e-01,   9.097e-02,   2.109e-01,   6.856e-01,   1.254e-02,   1.792e-16,   2.476e-15
   1.311e-03,   3.000e+02,   3.285e-01,   9.097e-02,   2.109e-01,   6.856e-01,   1.254e-02,   2.082e-16,   3.377e-15
   1.338e-03,   3.000e+02,   3.285e-01,   9.097e-02,   2.109e-01,   6.856e-01,   1.254e-02,   2.483e-16,   4.599e-15
   1.365e-03,   3.000e+02,   3.285e-01,   9.097e-02,   2.109e-01,   6.856e-01,   1.254e-02,   3.040e-16,   6.255e-15
   1.391e-03,   3.000e+02,   3.285e-01,   9.098e-02,   2.109e-01,   6.856e-01,   1.254e-02,   3.812e-16,   8.496e-15
   1.418e-03,   3.000e+02,   3.285e-01,   9.098e-02,   2.109e-01,   6.856e-01,   1.254e-02,   4.882e-16,   1.153e-14
   1.445e-03,   3.000e+02,   3.285e-01,   9.098e-02,   2.109e-01,   6.856e-01,   1.254e-02,   6.366e-16,   1.563e-14
   1.472e-03,   3.000e+02,   3.285e-01,   9.098e-02,   2.109e-01,   6.856e-01,   1.254e-02,   8.425e-16,   2.116e-14
   1.498e-03,   3.000e+02,   3.285e-01,   9.098e-02,   2.109e-01,   6.856e-01,   1.254e-02,   1.128e-15,   2.861e-14
   1.525e-03,   3.000e+02,   3.285e-01,   9.098e-02,   2.109e-01,   6.856e-01,   1.253e-02,   1.525e-15,   3.865e-14
   1.552e-03,   3.000e+02,   3.285e-01,   9.098e-02,   2.109e-01,   6.856e-01,   1.253e-02,   2.076e-15,   5.215e-14
   1.579e-03,   3.000e+02,   3.285e-01,   9.098e-02,   2.109e-01,   6.856e-01,   1.253e-02,   2.842e-15,   7.027e-14
   1.605e-03,   3.000e+02,   3.285e-01,   9.098e-02,   2.109e-01,   6.856e-01,   1.253e-02,   3.907e-15,   9.458e-14
   1.632e-03,   3.000e+02,   3.285e-01,   9.098e-02,   2.109e-01,   6.856e-01,   1.253e-02,   5.388e-15,   1.271e-13
   1.659e-03,   3.000e+02,   3.285e-01,   9.098e-02,   2.109e-01,   6.856e-01,   1.253e-02,   7.450e-15,   1.706e-13
   1.686e-03,   3.000e+02,   3.285e-01,   9.098e-02,   2.109e-01,   6.856e-01,   1.253e-02,   1.032e-14,   2.286e-13
   1.712e-03,   3.000e+02,   3.285e-01,   9.098e-02,   2.109e-01,   6.856e-01,   1.253e-02,   1.432e-14,   3.059e-13
   1.739e-03,   3.000e+02,   3.285e-01,   9.099e-02,   2.109e-01,   6.856e-01,   1.253e-02,   1.990e-14,   4.086e-13
   1.766e-03,   3.000e+02,   3.285e-01,   9.099e-02,   2.109e-01,   6.856e-01,   1.253e-02,   2.768e-14,   5.449e-13
   1.793e-03,   3.000e+02,   3.285e-01,   9.099e-02,   2.109e-01,   6.856e-01,   1.253e-02,   3.855e-14,   7.254e-13
   1.819e-03,   3.000e+02,   3.285e-01,   9.099e-02,   2.109e-01,   6.856e-01,   1.253e-02,   5.375e-14,   9.639e-13
   1.846e-03,   3.000e+02,   3.285e-01,   9.099e-02,   2.109e-01,   6.856e-01,   1.253e-02,   7.501e-14,   1.279e-12
   1.873e-03,   3.000e+02,   3.285e-01,   9.099e-02,   2.109e-01,   6.856e-01,   1.253e-02,   1.048e-13,   1.693e-12
   1.900e-03,   3.000e+02,   3.285e-01,   9.099e-02,   2.109e-01,   6.856e-01,   1.253e-02,   1.465e-13,   2.237e-12
   1.926e-03,   3.000e+02,   3.285e-01,   9.099e-02,   2.109e-01,   6.856e-01,   1.253e-02,   2.051e-13,   2.950e-12
   1.953e-03,   3.000e+02,   3.285e-01,   9.099e-02,   2.109e-01,   6.856e-01,   1.253e-02,   2.874e-13,   3.883e-12
   1.980e-03,   3.000e+02,   3.285e-01,   9.099e-02,   2.109e-01,   6.856e-01,   1.253e-02,   4.032e-13,   5.101e-12
   2.007e-03,   3.000e+02,   3.285e-01,   9.099e-02,   2.109e-01,   6.856e-01,   1.253e-02,   5.663e-13,   6.688e-12
   2.033e-03,   3.000e+02,   3.285e-01,   9.099e-02,   2.109e-01,   6.856e-01,   1.253e-02,   7.963e-13,   8.754e-12
   2.060e-03,   3.000e+02,   3.285e-01,   9.099e-02,   2.109e-01,   6.856e-01,   1.253e-02,   1.121e-12,   1.144e-11
   2.087e-03,   3.000e+02,   3.285e-01,   9.099e-02,   2.109e-01,   6.856e-01,   1.253e-02,   1.580e-12,   1.492e-11
   2.114e-03,   3.000e+02,   3.285e-01,   9.100e-02,   2.109e-01,   6.856e-01,   1.253e-02,   2.230e-12,   1.943e-11
