  Grid,   Temperature,   Uvec,  C2H5OH, O2, N2, AR,   CO,    CO2
   0.000e+00,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -1.298e-19,  -9.978e-20
   5.013e-05,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.235e-19,  -1.352e-19
   1.003e-04,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.253e-19,  -1.353e-19
   1.504e-04,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.254e-19,  -1.353e-19
   2.005e-04,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.254e-19,  -1.353e-19
   2.506e-04,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.254e-19,  -1.353e-19
   3.008e-04,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.255e-19,  -1.353e-19
   3.509e-04,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.255e-19,  -1.353e-19
   4.010e-04,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.255e-19,  -1.353e-19
   4.511e-04,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.256e-19,  -1.353e-19
   5.013e-04,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.256e-19,  -1.353e-19
   5.514e-04,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.256e-19,  -1.353e-19
   6.015e-04,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.256e-19,  -1.353e-19
   6.516e-04,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.257e-19,  -1.353e-19
   7.018e-04,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.257e-19,  -1.353e-19
   7.519e-04,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.257e-19,  -1.353e-19
   8.020e-04,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.257e-19,  -1.353e-19
   8.521e-04,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.258e-19,  -1.353e-19
   9.023e-04,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.258e-19,  -1.353e-19
   9.524e-04,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.258e-19,  -1.353e-19
   1.003e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.259e-19,  -1.353e-19
   1.053e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.259e-19,  -1.353e-19
   1.103e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.259e-19,  -1.353e-19
   1.153e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.259e-19,  -1.353e-19
   1.203e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.260e-19,  -1.353e-19
   1.253e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.260e-19,  -1.353e-19
   1.303e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.260e-19,  -1.353e-19
   1.353e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.261e-19,  -1.353e-19
   1.404e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.261e-19,  -1.353e-19
   1.454e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.261e-19,  -1.353e-19
   1.504e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.261e-19,  -1.353e-19
   1.554e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.262e-19,  -1.353e-19
   1.604e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.262e-19,  -1.353e-19
   1.654e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.262e-19,  -1.353e-19
   1.704e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.262e-19,  -1.353e-19
   1.754e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.263e-19,  -1.353e-19
   1.805e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.263e-19,  -1.353e-19
   1.855e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.263e-19,  -1.353e-19
   1.905e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.264e-19,  -1.353e-19
   1.955e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.264e-19,  -1.353e-19
   2.005e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.264e-19,  -1.353e-19
   2.055e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.264e-19,  -1.353e-19
   2.105e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.265e-19,  -1.353e-19
   2.155e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.265e-19,  -1.353e-19
   2.206e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.265e-19,  -1.353e-19
   2.256e-03,   3.000e+02,   2.926e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -2.266e-19,  -1.353e-19
