  Grid,   Temperature,   Uvec,  C2H5OH, O2, N2, AR,   CO,    CO2
   0.000e+00,   3.000e+02,   3.328e-01,   9.092e-02,   2.109e-01,   6.857e-01,   1.254e-02,   5.769e-16,   2.891e-16
   8.347e-05,   3.000e+02,   3.328e-01,   9.092e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.348e-15,   7.044e-16
   1.669e-04,   3.000e+02,   3.328e-01,   9.092e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.349e-15,   7.049e-16
   2.504e-04,   3.000e+02,   3.328e-01,   9.092e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.349e-15,   7.049e-16
   3.339e-04,   3.000e+02,   3.328e-01,   9.092e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.349e-15,   7.049e-16
   4.174e-04,   3.000e+02,   3.328e-01,   9.092e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.349e-15,   7.049e-16
   5.008e-04,   3.000e+02,   3.328e-01,   9.092e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.349e-15,   7.049e-16
   5.843e-04,   3.000e+02,   3.328e-01,   9.093e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.349e-15,   7.049e-16
   6.678e-04,   3.000e+02,   3.328e-01,   9.093e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.349e-15,   7.049e-16
   7.513e-04,   3.000e+02,   3.328e-01,   9.093e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.349e-15,   7.049e-16
   8.347e-04,   3.000e+02,   3.328e-01,   9.093e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.349e-15,   7.049e-16
   9.182e-04,   3.000e+02,   3.328e-01,   9.093e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.349e-15,   7.049e-16
   1.002e-03,   3.000e+02,   3.328e-01,   9.093e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.349e-15,   7.049e-16
   1.085e-03,   3.000e+02,   3.328e-01,   9.093e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.349e-15,   7.049e-16
   1.169e-03,   3.000e+02,   3.328e-01,   9.093e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.349e-15,   7.049e-16
   1.252e-03,   3.000e+02,   3.328e-01,   9.093e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.349e-15,   7.049e-16
   1.336e-03,   3.000e+02,   3.328e-01,   9.093e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.349e-15,   7.049e-16
   1.419e-03,   3.000e+02,   3.328e-01,   9.093e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.349e-15,   7.049e-16
   1.503e-03,   3.000e+02,   3.328e-01,   9.093e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.349e-15,   7.049e-16
   1.586e-03,   3.000e+02,   3.328e-01,   9.093e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.349e-15,   7.049e-16
   1.669e-03,   3.000e+02,   3.328e-01,   9.093e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.349e-15,   7.049e-16
   1.753e-03,   3.000e+02,   3.328e-01,   9.093e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.349e-15,   7.049e-16
   1.836e-03,   3.000e+02,   3.328e-01,   9.093e-02,   2.109e-01,   6.857e-01,   1.254e-02,   1.349e-15,   7.049e-16
