  Grid,   Temperature,   Uvec,  C2H5OH, O2, N2, AR,   CO,    CO2
   0.000e+00,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -1.739e-18,  -1.643e-17
   6.258e-05,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.710e-18,  -2.583e-17
   1.252e-04,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.729e-18,  -2.584e-17
   1.877e-04,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.728e-18,  -2.584e-17
   2.503e-04,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.728e-18,  -2.584e-17
   3.129e-04,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.727e-18,  -2.584e-17
   3.755e-04,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.727e-18,  -2.584e-17
   4.380e-04,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.727e-18,  -2.584e-17
   5.006e-04,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.726e-18,  -2.584e-17
   5.632e-04,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.726e-18,  -2.584e-17
   6.258e-04,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.725e-18,  -2.584e-17
   6.884e-04,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.725e-18,  -2.584e-17
   7.509e-04,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.725e-18,  -2.584e-17
   8.135e-04,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.724e-18,  -2.584e-17
   8.761e-04,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.724e-18,  -2.584e-17
   9.387e-04,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.723e-18,  -2.584e-17
   1.001e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.723e-18,  -2.584e-17
   1.064e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.723e-18,  -2.584e-17
   1.126e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.722e-18,  -2.584e-17
   1.189e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.722e-18,  -2.584e-17
   1.252e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.721e-18,  -2.584e-17
   1.314e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.721e-18,  -2.584e-17
   1.377e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.721e-18,  -2.584e-17
   1.439e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.720e-18,  -2.584e-17
   1.502e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.720e-18,  -2.584e-17
   1.564e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.719e-18,  -2.584e-17
   1.627e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.719e-18,  -2.584e-17
   1.690e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.719e-18,  -2.584e-17
   1.752e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.718e-18,  -2.584e-17
   1.815e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.718e-18,  -2.584e-17
   1.877e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.717e-18,  -2.584e-17
   1.940e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.717e-18,  -2.584e-17
   2.003e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.717e-18,  -2.584e-17
   2.065e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.716e-18,  -2.584e-17
   2.128e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.716e-18,  -2.584e-17
   2.190e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.715e-18,  -2.584e-17
   2.253e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.715e-18,  -2.584e-17
   2.315e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.715e-18,  -2.584e-17
   2.378e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.714e-18,  -2.584e-17
   2.441e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.714e-18,  -2.584e-17
   2.503e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.713e-18,  -2.584e-17
   2.566e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.713e-18,  -2.584e-17
   2.628e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.712e-18,  -2.584e-17
   2.691e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.712e-18,  -2.584e-17
   2.753e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.712e-18,  -2.584e-17
   2.816e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.711e-18,  -2.584e-17
   2.879e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.711e-18,  -2.584e-17
   2.941e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.710e-18,  -2.584e-17
   3.004e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.710e-18,  -2.584e-17
   3.066e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.710e-18,  -2.584e-17
   3.129e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.709e-18,  -2.584e-17
   3.191e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.709e-18,  -2.584e-17
   3.254e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.709e-18,  -2.584e-17
   3.317e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.708e-18,  -2.584e-17
   3.379e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.708e-18,  -2.584e-17
   3.442e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.707e-18,  -2.584e-17
   3.504e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.707e-18,  -2.584e-17
   3.567e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.707e-18,  -2.584e-17
   3.630e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.706e-18,  -2.584e-17
   3.692e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.706e-18,  -2.584e-17
   3.755e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.705e-18,  -2.584e-17
   3.817e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.705e-18,  -2.584e-17
   3.880e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.705e-18,  -2.584e-17
   3.942e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.704e-18,  -2.584e-17
   4.005e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.704e-18,  -2.584e-17
   4.068e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.703e-18,  -2.584e-17
   4.130e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.703e-18,  -2.584e-17
   4.193e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.703e-18,  -2.584e-17
   4.255e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.702e-18,  -2.584e-17
   4.318e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.702e-18,  -2.584e-17
   4.380e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.701e-18,  -2.584e-17
   4.443e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.701e-18,  -2.584e-17
   4.506e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.701e-18,  -2.584e-17
   4.568e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.700e-18,  -2.584e-17
   4.631e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.700e-18,  -2.584e-17
   4.693e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.699e-18,  -2.584e-17
   4.756e-03,   3.000e+02,   3.599e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.699e-18,  -2.584e-17
