  Grid,   Temperature,   Uvec,  C2H5OH, O2, N2, AR,   CO,    CO2
   0.000e+00,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   5.607e-18,   1.214e-17
   2.005e-05,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.002e-17,   1.436e-17
   4.010e-05,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.009e-17,   1.439e-17
   6.015e-05,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.010e-17,   1.439e-17
   8.020e-05,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.010e-17,   1.439e-17
   1.003e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.010e-17,   1.439e-17
   1.203e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.010e-17,   1.439e-17
   1.404e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.010e-17,   1.439e-17
   1.604e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.010e-17,   1.439e-17
   1.805e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.010e-17,   1.439e-17
   2.005e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.010e-17,   1.439e-17
   2.206e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.010e-17,   1.439e-17
   2.406e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.010e-17,   1.439e-17
   2.607e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.010e-17,   1.439e-17
   2.807e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.010e-17,   1.439e-17
   3.008e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.010e-17,   1.439e-17
   3.208e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.010e-17,   1.439e-17
   3.409e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.010e-17,   1.439e-17
   3.609e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.010e-17,   1.439e-17
   3.810e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.010e-17,   1.439e-17
   4.010e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.010e-17,   1.439e-17
   4.211e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.010e-17,   1.439e-17
   4.411e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.010e-17,   1.439e-17
   4.612e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.010e-17,   1.439e-17
   4.812e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.009e-17,   1.439e-17
   5.013e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.009e-17,   1.439e-17
   5.213e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.009e-17,   1.439e-17
   5.414e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.009e-17,   1.439e-17
   5.614e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.009e-17,   1.439e-17
   5.815e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.009e-17,   1.439e-17
   6.015e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.009e-17,   1.439e-17
   6.216e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.009e-17,   1.439e-17
   6.416e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.009e-17,   1.439e-17
   6.617e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.009e-17,   1.439e-17
   6.817e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.009e-17,   1.438e-17
   7.018e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.009e-17,   1.438e-17
   7.218e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.009e-17,   1.438e-17
   7.419e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.009e-17,   1.438e-17
   7.619e-04,   3.000e+02,   3.563e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.009e-17,   1.438e-17
