  Grid,   Temperature,   Uvec,  C2H5OH, O2, N2, AR,   CO,    CO2
   0.000e+00,   3.000e+02,   3.356e-01,   8.180e-02,   2.130e-01,   6.926e-01,   1.266e-02,  -5.250e-16,  -3.095e-16
   2.676e-05,   3.000e+02,   3.356e-01,   8.180e-02,   2.130e-01,   6.926e-01,   1.266e-02,   2.920e-16,   4.078e-16
   5.351e-05,   3.000e+02,   3.356e-01,   8.180e-02,   2.130e-01,   6.926e-01,   1.266e-02,  -1.721e-15,  -5.384e-16
   8.027e-05,   3.000e+02,   3.356e-01,   8.180e-02,   2.130e-01,   6.926e-01,   1.266e-02,  -1.692e-16,   1.929e-16
   1.070e-04,   3.000e+02,   3.356e-01,   8.180e-02,   2.130e-01,   6.926e-01,   1.266e-02,   2.391e-16,   4.353e-16
   1.338e-04,   3.000e+02,   3.356e-01,   8.180e-02,   2.130e-01,   6.926e-01,   1.266e-02,  -1.710e-15,  -4.469e-16
   1.605e-04,   3.000e+02,   3.356e-01,   8.180e-02,   2.130e-01,   6.926e-01,   1.266e-02,  -2.542e-15,  -8.573e-16
   1.873e-04,   3.000e+02,   3.356e-01,   8.180e-02,   2.130e-01,   6.926e-01,   1.266e-02,  -1.805e-15,  -5.444e-16
   2.140e-04,   3.000e+02,   3.356e-01,   8.180e-02,   2.130e-01,   6.926e-01,   1.266e-02,  -1.199e-15,  -2.783e-16
   2.408e-04,   3.000e+02,   3.356e-01,   8.180e-02,   2.130e-01,   6.926e-01,   1.266e-02,  -9.866e-16,  -1.856e-16
   2.676e-04,   3.000e+02,   3.356e-01,   8.180e-02,   2.130e-01,   6.926e-01,   1.266e-02,  -8.512e-16,  -1.234e-16
   2.943e-04,   3.000e+02,   3.356e-01,   8.180e-02,   2.130e-01,   6.926e-01,   1.266e-02,  -2.401e-16,   1.881e-16
   3.211e-04,   3.000e+02,   3.356e-01,   8.180e-02,   2.130e-01,   6.926e-01,   1.266e-02,  -2.438e-15,  -8.612e-16
   3.478e-04,   3.000e+02,   3.356e-01,   8.180e-02,   2.130e-01,   6.926e-01,   1.266e-02,  -1.699e-15,  -5.714e-16
   3.746e-04,   3.000e+02,   3.356e-01,   8.180e-02,   2.130e-01,   6.926e-01,   1.266e-02,  -4.776e-16,  -3.861e-17
   4.013e-04,   3.000e+02,   3.356e-01,   8.180e-02,   2.130e-01,   6.926e-01,   1.266e-02,   1.245e-15,   7.905e-16
