  Grid,   Temperature,   Uvec,  C2H5OH, O2, N2, AR,   CO,    CO2
   0.000e+00,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   5.226e-16,   5.380e-16
   2.676e-05,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   6.420e-17,   1.333e-16
   5.351e-05,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -5.465e-16,  -1.720e-16
   8.027e-05,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   1.206e-15,   6.507e-16
   1.070e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -7.200e-16,  -2.463e-16
   1.338e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   5.662e-16,   3.372e-16
   1.605e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   5.649e-16,   3.487e-16
   1.873e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   2.425e-16,   2.112e-16
   2.140e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -6.217e-16,  -2.110e-16
   2.408e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   8.644e-16,   4.693e-16
   2.676e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   2.509e-16,   1.873e-16
   2.943e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   7.982e-16,   4.534e-16
   3.211e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   2.430e-16,   2.120e-16
   3.478e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   3.426e-16,   2.760e-16
   3.746e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -3.789e-16,  -5.317e-17
   4.013e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -6.865e-16,  -2.211e-16
   4.281e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   4.329e-16,   2.846e-16
   4.548e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   9.084e-17,   1.228e-16
   4.816e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   3.451e-16,   2.379e-16
   5.084e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -2.960e-17,   4.947e-17
   5.351e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   9.274e-16,   4.937e-16
   5.619e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   6.231e-16,   3.702e-16
   5.886e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   2.730e-16,   2.205e-16
   6.154e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   4.011e-17,   1.143e-16
   6.421e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   2.512e-17,   9.992e-17
   6.689e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   7.083e-16,   4.312e-16
   6.957e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -5.842e-16,  -1.719e-16
   7.224e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   2.086e-16,   1.811e-16
   7.492e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   9.559e-19,   7.047e-17
   7.759e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   1.122e-15,   6.057e-16
   8.027e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -2.573e-16,  -2.618e-17
   8.294e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   2.985e-16,   2.271e-16
   8.562e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,   3.846e-16,   2.755e-16
   8.829e-04,   3.000e+02,   4.413e-01,   1.002e-01,   2.087e-01,   6.787e-01,   1.241e-02,  -1.341e-16,   3.508e-17
