  Grid,   Temperature,   Uvec,   CO,    CO2
   0.000e+00,   3.200e+02,   5.059e-01,  -6.213e-17,  -2.171e-16
   1.252e-04,   3.200e+02,   5.059e-01,   3.787e-16,   1.343e-16
   2.503e-04,   3.200e+02,   5.059e-01,  -2.610e-17,  -3.577e-17
   3.755e-04,   3.200e+02,   5.059e-01,   3.240e-16,   9.777e-17
   5.006e-04,   3.200e+02,   5.059e-01,   8.364e-16,   3.203e-16
   6.258e-04,   3.200e+02,   5.059e-01,   1.283e-17,  -4.412e-18
   7.509e-04,   3.200e+02,   5.059e-01,  -2.576e-16,  -1.135e-16
   8.761e-04,   3.200e+02,   5.059e-01,  -3.419e-16,  -1.618e-16
   1.001e-03,   3.200e+02,   5.059e-01,   4.754e-16,   1.730e-16
   1.126e-03,   3.200e+02,   5.059e-01,   1.192e-16,   3.545e-17
   1.252e-03,   3.200e+02,   5.059e-01,  -1.704e-16,  -8.649e-17
   1.377e-03,   3.200e+02,   5.059e-01,   1.066e-16,   2.242e-17
   1.502e-03,   3.200e+02,   5.059e-01,   1.610e-16,   3.960e-17
   1.627e-03,   3.200e+02,   5.059e-01,   4.492e-16,   1.596e-16
   1.752e-03,   3.200e+02,   5.059e-01,   2.276e-16,   7.272e-17
   1.877e-03,   3.200e+02,   5.059e-01,   2.245e-16,   7.985e-17
   2.003e-03,   3.200e+02,   5.059e-01,  -2.838e-16,  -1.314e-16
   2.128e-03,   3.200e+02,   5.059e-01,   1.448e-16,   4.159e-17
   2.253e-03,   3.200e+02,   5.059e-01,   3.978e-17,  -3.763e-18
   2.378e-03,   3.200e+02,   5.059e-01,   2.052e-16,   6.257e-17
   2.503e-03,   3.200e+02,   5.059e-01,   1.921e-16,   5.643e-17
   2.628e-03,   3.200e+02,   5.059e-01,   2.792e-16,   9.544e-17
   2.753e-03,   3.200e+02,   5.059e-01,   5.077e-17,   2.554e-18
   2.879e-03,   3.200e+02,   5.059e-01,   2.253e-16,   8.098e-17
   3.004e-03,   3.200e+02,   5.059e-01,  -3.160e-16,  -1.454e-16
   3.129e-03,   3.200e+02,   5.059e-01,   1.575e-16,   4.086e-17
   3.254e-03,   3.200e+02,   5.059e-01,   3.579e-16,   1.235e-16
