# grid [m], ug [m/s], rhog, Tg [K], Yf, YO2, YOH, YCO, YCO2, phi_g, Sm, Sh, Syf
0,0.312266,1.22036,300,1.26416e-17,3.44289e-16,4.83252e-17,4.62286e-18,9.88486e-18,1.557e-16,0,0,0
6.66667e-05,0.312266,1.22036,300,1.26291e-17,6.99583e-16,4.79216e-17,4.62288e-18,9.82117e-18,1.55545e-16,0,0,0
0.000133333,0.312266,1.22036,300,1.26165e-17,7.41586e-16,4.75092e-17,4.62289e-18,9.74358e-18,1.5539e-16,0,0,0
0.0002,0.312266,1.22036,300,1.2604e-17,7.57136e-16,4.70889e-17,4.62291e-18,9.65569e-18,1.55236e-16,0,0,0
0.000266667,0.312266,1.22036,300,1.25914e-17,7.63181e-16,4.66614e-17,4.62293e-18,9.56016e-18,1.55082e-16,0,0,0
0.000333333,0.312266,1.22036,300,1.2579e-17,7.65533e-16,4.62271e-17,4.62294e-18,9.45895e-18,1.54928e-16,0,0,0
0.0004,0.312266,1.22036,300,1.25665e-17,7.66449e-16,4.57866e-17,4.62296e-18,9.35352e-18,1.54775e-16,0,0,0
0.000466667,0.312266,1.22036,300,1.25541e-17,7.66805e-16,4.53402e-17,4.62298e-18,9.24495e-18,1.54621e-16,0,0,0
0.000533333,0.312266,1.22036,300,1.25416e-17,7.66944e-16,4.48882e-17,4.62299e-18,9.13403e-18,1.54468e-16,0,0,0
0.0006,0.312266,1.22036,300,1.25292e-17,7.66999e-16,4.44308e-17,4.62301e-18,9.02136e-18,1.54316e-16,0,0,0
0.000666667,0.312266,1.22036,300,1.25169e-17,7.6702e-16,4.3968e-17,4.62303e-18,8.90736e-18,1.54163e-16,0,0,0
0.000733333,0.312266,1.22036,300,1.25045e-17,7.67028e-16,4.35002e-17,4.62304e-18,8.79235e-18,1.54011e-16,0,0,0
0.0008,0.312266,1.22036,300,1.24922e-17,7.67031e-16,4.30273e-17,4.62306e-18,8.67658e-18,1.53859e-16,0,0,0
0.000866667,0.312266,1.22036,300,1.24799e-17,7.67033e-16,4.25494e-17,4.62307e-18,8.56023e-18,1.53708e-16,0,0,0
0.000933333,0.312266,1.22036,300,1.24676e-17,7.67034e-16,4.20665e-17,4.62309e-18,8.44341e-18,1.53557e-16,0,0,0
0.001,0.312266,1.22036,300,1.24554e-17,7.67034e-16,4.15788e-17,4.62311e-18,8.32624e-18,1.53406e-16,0,0,0
0.00106667,0.312266,1.22036,300,1.24431e-17,7.67034e-16,4.10862e-17,4.62312e-18,8.20877e-18,1.53255e-16,0,0,0
0.00113333,0.312266,1.22036,300,1.24309e-17,7.67034e-16,4.05887e-17,4.62314e-18,8.09107e-18,1.53105e-16,0,0,0
0.0012,0.312266,1.22036,300,1.24187e-17,7.67035e-16,4.00864e-17,4.62316e-18,7.97317e-18,1.52955e-16,0,0,0
0.00126667,0.312266,1.22036,300,1.24066e-17,7.67035e-16,3.95792e-17,4.62317e-18,7.8551e-18,1.52805e-16,0,0,0
0.00133333,0.312266,1.22036,300,1.23944e-17,7.67035e-16,3.90671e-17,4.62319e-18,7.73688e-18,1.52655e-16,0,0,0
0.0014,0.312266,1.22036,300,1.23823e-17,7.67035e-16,3.85501e-17,4.6232e-18,7.61853e-18,1.52506e-16,0,0,0
0.00146667,0.312266,1.22036,300,1.23702e-17,7.67036e-16,3.80283e-17,4.62322e-18,7.50006e-18,1.52357e-16,0,0,0
0.00153333,0.312266,1.22036,300,1.23581e-17,7.67036e-16,3.75016e-17,4.62324e-18,7.38147e-18,1.52208e-16,0,0,0
0.0016,0.312266,1.22036,300,1.23461e-17,7.67036e-16,3.69699e-17,4.62325e-18,7.26279e-18,1.5206e-16,0,0,0
0.00166667,0.312266,1.22036,300,1.2334e-17,7.67036e-16,3.64333e-17,4.62327e-18,7.144e-18,1.51912e-16,0,0,0
0.00173333,0.312266,1.22036,300,1.2322e-17,7.67036e-16,3.58917e-17,4.62329e-18,7.02511e-18,1.51764e-16,0,0,0
0.0018,0.312266,1.22036,300,1.231e-17,7.67036e-16,3.53452e-17,4.6233e-18,6.90614e-18,1.51616e-16,0,0,0
0.00186667,0.312266,1.22036,300,1.22981e-17,7.67037e-16,3.47936e-17,4.62332e-18,6.78707e-18,1.51469e-16,0,0,0
0.00193333,0.312266,1.22036,300,1.22861e-17,7.67037e-16,3.4237e-17,4.62334e-18,6.66791e-18,1.51322e-16,0,0,0
0.002,0.312266,1.22036,300,1.22742e-17,7.67037e-16,3.36754e-17,4.62335e-18,6.54866e-18,1.51175e-16,0,0,0
0.00206667,0.312266,1.22036,300,1.22623e-17,7.67037e-16,3.31088e-17,4.62337e-18,6.42932e-18,1.51028e-16,0,0,0
0.00213333,0.312266,1.22036,300,1.22505e-17,7.67037e-16,3.2537e-17,4.62338e-18,6.3099e-18,1.50882e-16,0,0,0
0.0022,0.312266,1.22036,300,1.22386e-17,7.67038e-16,3.19601e-17,4.6234e-18,6.19039e-18,1.50736e-16,0,0,0
0.00226667,0.312266,1.22036,300,1.22268e-17,7.67038e-16,3.13781e-17,4.62342e-18,6.07079e-18,1.5059e-16,0,0,0
0.00233333,0.312266,1.22036,300,1.2215e-17,7.67038e-16,3.07909e-17,4.62343e-18,5.95111e-18,1.50445e-16,0,0,0
0.0024,0.312266,1.22036,300,1.22032e-17,7.67038e-16,3.01986e-17,4.62345e-18,5.83135e-18,1.503e-16,0,0,0
0.00246667,0.312266,1.22036,300,1.21914e-17,7.67038e-16,2.9601e-17,4.62347e-18,5.71149e-18,1.50155e-16,0,0,0
0.00253333,0.312266,1.22036,300,1.21797e-17,7.67039e-16,2.89982e-17,4.62348e-18,5.59156e-18,1.5001e-16,0,0,0
0.0026,0.312266,1.22036,300,1.2168e-17,7.67039e-16,2.83902e-17,4.6235e-18,5.47154e-18,1.49866e-16,0,0,0
0.00266667,0.312266,1.22036,300,1.21563e-17,7.67039e-16,2.77769e-17,4.62351e-18,5.35143e-18,1.49722e-16,0,0,0
0.00273333,0.312266,1.22036,300,1.21446e-17,7.67039e-16,2.71583e-17,4.62353e-18,5.23124e-18,1.49578e-16,0,0,0
0.0028,0.312266,1.22036,300,1.21329e-17,7.67039e-16,2.65344e-17,4.62355e-18,5.11097e-18,1.49435e-16,0,0,0
0.00286667,0.312266,1.22036,300,1.21213e-17,7.67039e-16,2.59052e-17,4.62356e-18,4.99061e-18,1.49291e-16,0,0,0
0.00293333,0.312266,1.22036,300,1.21097e-17,7.6704e-16,2.52705e-17,4.62358e-18,4.87017e-18,1.49149e-16,0,0,0
0.003,0.312266,1.22036,300,1.20981e-17,7.6704e-16,2.46305e-17,4.6236e-18,4.74965e-18,1.49006e-16,0,0,0
0.00306667,0.312266,1.22036,300,1.20866e-17,7.6704e-16,2.39851e-17,4.62361e-18,4.62904e-18,1.48863e-16,0,0,0
0.00313333,0.312266,1.22036,300,1.2075e-17,7.6704e-16,2.33343e-17,4.62363e-18,4.50836e-18,1.48721e-16,0,0,0
0.0032,0.312266,1.22036,300,1.20635e-17,7.6704e-16,2.2678e-17,4.62365e-18,4.38758e-18,1.48579e-16,0,0,0
0.00326667,0.312266,1.22036,300,1.2052e-17,7.6704e-16,2.20162e-17,4.62366e-18,4.26673e-18,1.48438e-16,0,0,0
0.00333333,0.312266,1.22036,300,1.20405e-17,7.67041e-16,2.1349e-17,4.62368e-18,4.14579e-18,1.48296e-16,0,0,0
0.0034,0.312266,1.22036,300,1.2029e-17,7.67041e-16,2.06762e-17,4.62369e-18,4.02478e-18,1.48155e-16,0,0,0
0.00346667,0.312266,1.22036,300,1.20176e-17,7.67041e-16,1.99978e-17,4.62371e-18,3.90367e-18,1.48014e-16,0,0,0
0.00353333,0.312266,1.22036,300,1.20062e-17,7.67041e-16,1.93139e-17,4.62373e-18,3.78249e-18,1.47874e-16,0,0,0
0.0036,0.312266,1.22036,300,1.19948e-17,7.67041e-16,1.86244e-17,4.62374e-18,3.66123e-18,1.47733e-16,0,0,0
0.00366667,0.312266,1.22036,300,1.19834e-17,7.67042e-16,1.79293e-17,4.62376e-18,3.53988e-18,1.47593e-16,0,0,0
0.00373333,0.312266,1.22036,300,1.19721e-17,7.67042e-16,1.72286e-17,4.62378e-18,3.41846e-18,1.47453e-16,0,0,0
0.0038,0.312266,1.22036,300,1.19607e-17,7.67042e-16,1.65222e-17,4.62379e-18,3.29695e-18,1.47314e-16,0,0,0
