  Grid,   Temperature,   Uvec,  C7H16, O2, CO2
   0.000e+00,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -3.306e-19
   6.667e-05,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.715e-19
   1.333e-04,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   2.000e-04,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   2.667e-04,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   3.333e-04,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   4.000e-04,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   4.667e-04,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   5.333e-04,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   6.000e-04,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   6.667e-04,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   7.333e-04,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   8.000e-04,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   8.667e-04,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   9.333e-04,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   1.000e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   1.067e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   1.133e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   1.200e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   1.267e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   1.333e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   1.400e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   1.467e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   1.533e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   1.600e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   1.667e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   1.733e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   1.800e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   1.867e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   1.933e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   2.000e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   2.067e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   2.133e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   2.200e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   2.267e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   2.333e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   2.400e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   2.467e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   2.533e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   2.600e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   2.667e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   2.733e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   2.800e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   2.867e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   2.933e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   3.000e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   3.067e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   3.133e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   3.200e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   3.267e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   3.333e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   3.400e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   3.467e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   3.533e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   3.600e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   3.667e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   3.733e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   3.800e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   3.867e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   3.933e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   4.000e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   4.067e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.720e-19
   4.133e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.721e-19
   4.200e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.722e-19
   4.267e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.724e-19
   4.333e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.727e-19
   4.400e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.735e-19
   4.467e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.751e-19
   4.533e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.782e-19
   4.600e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.844e-19
   4.667e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.971e-19
   4.733e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -8.225e-19
   4.800e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -8.739e-19
   4.867e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -9.772e-19
   4.933e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.186e-18
   5.000e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.605e-18
   5.067e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -2.451e-18
   5.133e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -4.154e-18
   5.200e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.586e-18
   5.267e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.450e-17
   5.333e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -2.843e-17
   5.400e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -5.650e-17
   5.467e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.130e-16
   5.533e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -2.270e-16
   5.600e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -4.565e-16
   5.667e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -9.190e-16
   5.733e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.975e-15
   5.800e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -4.102e-15
   5.867e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -8.388e-15
   5.933e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.702e-14
   6.000e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -3.442e-14
   6.067e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -6.947e-14
   6.133e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.401e-13
   6.200e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -2.824e-13
   6.267e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -5.692e-13
   6.333e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.147e-12
   6.400e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -2.310e-12
   6.467e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -4.655e-12
   6.533e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -9.378e-12
