  Grid,   Temperature,   Uvec,  C2H5OH, O2, N2, AR,   CO,    CO2
   0.000e+00,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -3.660e-17,  -2.316e-17
   6.667e-05,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.326e-17,  -4.592e-17
   1.333e-04,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.331e-17,  -4.595e-17
   2.000e-04,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.331e-17,  -4.595e-17
   2.667e-04,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.331e-17,  -4.595e-17
   3.333e-04,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.331e-17,  -4.595e-17
   4.000e-04,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.331e-17,  -4.595e-17
   4.667e-04,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.331e-17,  -4.595e-17
   5.333e-04,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.331e-17,  -4.595e-17
   6.000e-04,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.331e-17,  -4.595e-17
   6.667e-04,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.331e-17,  -4.595e-17
   7.333e-04,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.331e-17,  -4.595e-17
   8.000e-04,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.331e-17,  -4.595e-17
   8.667e-04,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.331e-17,  -4.595e-17
   9.333e-04,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.331e-17,  -4.595e-17
   1.000e-03,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.331e-17,  -4.595e-17
   1.067e-03,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.331e-17,  -4.595e-17
   1.133e-03,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.331e-17,  -4.595e-17
   1.200e-03,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.331e-17,  -4.595e-17
   1.267e-03,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.331e-17,  -4.595e-17
   1.333e-03,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.331e-17,  -4.595e-17
   1.400e-03,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.331e-17,  -4.595e-17
   1.467e-03,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.331e-17,  -4.595e-17
   1.533e-03,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.331e-17,  -4.595e-17
   1.600e-03,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.332e-17,  -4.595e-17
   1.667e-03,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.332e-17,  -4.595e-17
   1.733e-03,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.332e-17,  -4.595e-17
   1.800e-03,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.332e-17,  -4.595e-17
   1.867e-03,   3.000e+02,   2.939e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,  -7.332e-17,  -4.595e-17
