  Grid,   Temperature,   Uvec,  C7H16, O2, CO2
   0.000e+00,   3.000e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -5.712e-16
   1.005e-04,   3.000e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.138e-15
   2.010e-04,   3.000e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.138e-15
   3.015e-04,   3.000e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.139e-15
   4.020e-04,   3.000e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.139e-15
   5.025e-04,   3.000e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.139e-15
   6.030e-04,   3.000e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.139e-15
   7.035e-04,   3.000e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.139e-15
   8.040e-04,   3.000e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.139e-15
   9.045e-04,   3.000e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.139e-15
   1.005e-03,   3.000e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.139e-15
   1.106e-03,   3.000e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.139e-15
   1.206e-03,   3.000e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.139e-15
   1.307e-03,   3.000e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.139e-15
   1.407e-03,   3.000e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.139e-15
   1.508e-03,   3.000e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.139e-15
   1.608e-03,   3.000e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.139e-15
   1.709e-03,   3.000e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.140e-15
   1.809e-03,   3.000e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.140e-15
   1.910e-03,   3.000e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.140e-15
   2.010e-03,   3.000e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.140e-15
   2.111e-03,   3.000e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.140e-15
   2.211e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.140e-15
   2.312e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.140e-15
   2.412e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.140e-15
   2.513e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.140e-15
   2.613e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.140e-15
   2.714e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.140e-15
   2.814e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.140e-15
   2.915e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.140e-15
   3.015e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.140e-15
   3.116e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.139e-15
   3.216e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.138e-15
   3.317e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.136e-15
   3.417e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.130e-15
   3.518e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.119e-15
   3.618e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.096e-15
   3.719e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -1.049e-15
   3.819e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -9.518e-16
   3.920e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -7.564e-16
   4.020e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,  -3.648e-16
   4.121e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   4.136e-16
   4.221e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   1.947e-15
   4.322e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   4.943e-15
   4.422e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   1.074e-14
   4.523e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   2.184e-14
   4.623e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   4.290e-14
   4.724e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   8.242e-14
   4.824e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   1.558e-13
   4.925e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   2.904e-13
   5.025e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   5.344e-13
   5.126e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   9.718e-13
   5.226e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   1.745e-12
   5.327e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   3.097e-12
   5.427e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   5.426e-12
   5.528e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   9.385e-12
   5.628e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   1.602e-11
   5.729e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   2.700e-11
   5.829e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   4.488e-11
   5.930e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   7.359e-11
   6.030e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   1.190e-10
   6.131e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   1.898e-10
   6.231e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   2.985e-10
   6.332e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   4.628e-10
   6.432e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   7.076e-10
   6.533e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   1.067e-09
   6.633e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   1.586e-09
   6.734e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   2.326e-09
   6.834e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   3.365e-09
   6.935e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   4.802e-09
   7.035e-03,   2.998e+02,   2.666e-01,   5.020e-02,   2.203e-01,   6.763e-09
