  Grid,   Temperature,   Uvec,  C7H16, O2, CO2
   0.000e+00,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -4.299e-16
   1.005e-04,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.381e-16
   2.010e-04,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.383e-16
   3.015e-04,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.382e-16
   4.020e-04,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.382e-16
   5.025e-04,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.382e-16
   6.030e-04,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.381e-16
   7.035e-04,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.381e-16
   8.040e-04,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.381e-16
   9.045e-04,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.380e-16
   1.005e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.380e-16
   1.106e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.380e-16
   1.206e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.380e-16
   1.307e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.379e-16
   1.407e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.379e-16
   1.508e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.379e-16
   1.608e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.378e-16
   1.709e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.378e-16
   1.809e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.378e-16
   1.910e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.377e-16
   2.010e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.377e-16
   2.111e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.377e-16
   2.211e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.376e-16
   2.312e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.376e-16
   2.412e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.376e-16
   2.513e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.375e-16
   2.613e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.375e-16
   2.714e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.375e-16
   2.814e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.374e-16
   2.915e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.374e-16
   3.015e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.374e-16
   3.116e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.373e-16
   3.216e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.373e-16
   3.317e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.372e-16
   3.417e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.370e-16
   3.518e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.367e-16
   3.618e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.363e-16
   3.719e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.354e-16
   3.819e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.337e-16
   3.920e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.306e-16
   4.020e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.248e-16
   4.121e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -9.141e-16
   4.221e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -8.944e-16
   4.322e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -8.586e-16
   4.422e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -7.941e-16
   4.523e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -6.788e-16
   4.623e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -4.747e-16
   4.724e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,  -1.171e-16
   4.824e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   5.027e-16
   4.925e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   1.566e-15
   5.025e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   3.368e-15
   5.126e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   6.389e-15
   5.226e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   1.139e-14
   5.327e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   1.959e-14
   5.427e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   3.283e-14
   5.528e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   5.399e-14
   5.628e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   8.736e-14
   5.729e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   1.393e-13
   5.829e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   2.193e-13
   5.930e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   3.409e-13
   6.030e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   5.236e-13
   6.131e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   7.952e-13
   6.231e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   1.195e-12
   6.332e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   1.778e-12
   6.432e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   2.625e-12
   6.533e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   3.851e-12
   6.633e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   5.631e-12
   6.734e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   8.242e-12
   6.834e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   1.215e-11
   6.935e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   1.817e-11
   7.035e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   2.789e-11
   7.136e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   4.444e-11
   7.236e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   7.434e-11
   7.337e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   1.316e-10
   7.437e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   2.470e-10
   7.538e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   4.889e-10
   7.638e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   1.011e-09
   7.739e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   2.163e-09
   7.839e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   4.737e-09
   7.940e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   1.055e-08
   8.040e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   2.374e-08
   8.141e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   5.384e-08
   8.241e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   1.227e-07
   8.342e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   2.805e-07
   8.442e-03,   3.000e+02,   2.669e-01,   5.020e-02,   2.203e-01,   6.425e-07
   8.543e-03,   3.000e+02,   2.669e-01,   5.019e-02,   2.203e-01,   1.474e-06
   8.643e-03,   3.000e+02,   2.669e-01,   5.019e-02,   2.203e-01,   3.384e-06
   8.744e-03,   3.001e+02,   2.670e-01,   5.019e-02,   2.203e-01,   7.773e-06
   8.844e-03,   3.002e+02,   2.671e-01,   5.018e-02,   2.203e-01,   1.786e-05
   8.945e-03,   3.005e+02,   2.674e-01,   5.016e-02,   2.202e-01,   4.103e-05
   9.045e-03,   3.012e+02,   2.680e-01,   5.012e-02,   2.202e-01,   9.418e-05
   9.146e-03,   3.029e+02,   2.695e-01,   5.003e-02,   2.199e-01,   2.157e-04
   9.246e-03,   3.065e+02,   2.728e-01,   4.982e-02,   2.195e-01,   4.917e-04
   9.347e-03,   3.148e+02,   2.803e-01,   4.934e-02,   2.184e-01,   1.108e-03
   9.447e-03,   3.330e+02,   2.969e-01,   4.831e-02,   2.161e-01,   2.441e-03
   9.548e-03,   3.712e+02,   3.318e-01,   4.622e-02,   2.115e-01,   5.146e-03
   9.648e-03,   4.449e+02,   3.996e-01,   4.240e-02,   2.030e-01,   1.011e-02
   9.749e-03,   5.717e+02,   5.173e-01,   3.619e-02,   1.893e-01,   1.815e-02
   9.849e-03,   7.642e+02,   6.989e-01,   2.719e-02,   1.692e-01,   2.986e-02
   9.950e-03,   1.026e+03,   9.514e-01,   1.538e-02,   1.425e-01,   4.565e-02
   1.000e-02,   1.182e+03,   1.106e+00,   8.522e-03,   1.255e-01,   5.588e-02
   1.005e-02,   1.347e+03,   1.272e+00,   2.794e-03,   1.072e-01,   6.728e-02
   1.015e-02,   1.629e+03,   1.553e+00,   4.411e-05,   7.410e-02,   9.095e-02
   1.025e-02,   1.736e+03,   1.652e+00,   2.220e-07,   6.118e-02,   1.081e-01
   1.035e-02,   1.794e+03,   1.701e+00,   6.077e-10,   5.604e-02,   1.190e-01
   1.045e-02,   1.834e+03,   1.735e+00,   1.082e-12,   5.331e-02,   1.258e-01
   1.055e-02,   1.865e+03,   1.760e+00,   1.393e-15,   5.158e-02,   1.304e-01
   1.065e-02,   1.889e+03,   1.779e+00,   1.394e-18,   5.037e-02,   1.336e-01
   1.075e-02,   1.908e+03,   1.795e+00,   1.143e-21,   4.947e-02,   1.361e-01
   1.085e-02,   1.924e+03,   1.807e+00,   7.986e-25,   4.878e-02,   1.380e-01
   1.095e-02,   1.937e+03,   1.818e+00,   4.895e-28,   4.822e-02,   1.395e-01
   1.106e-02,   1.948e+03,   1.826e+00,   2.690e-31,   4.777e-02,   1.408e-01
   1.116e-02,   1.957e+03,   1.834e+00,   1.349e-34,   4.739e-02,   1.419e-01
   1.126e-02,   1.965e+03,   1.840e+00,   6.251e-38,   4.706e-02,   1.428e-01
   1.136e-02,   1.972e+03,   1.846e+00,   2.708e-41,   4.678e-02,   1.436e-01
   1.146e-02,   1.978e+03,   1.850e+00,   1.106e-44,   4.654e-02,   1.443e-01
   1.156e-02,   1.983e+03,   1.855e+00,   4.289e-48,   4.633e-02,   1.450e-01
   1.166e-02,   1.988e+03,   1.858e+00,   1.589e-51,   4.614e-02,   1.456e-01
   1.176e-02,   1.992e+03,   1.862e+00,   5.653e-55,   4.597e-02,   1.461e-01
   1.186e-02,   1.995e+03,   1.865e+00,   1.940e-58,   4.583e-02,   1.465e-01
   1.196e-02,   1.999e+03,   1.867e+00,   6.441e-62,   4.569e-02,   1.469e-01
   1.206e-02,   2.002e+03,   1.870e+00,   2.076e-65,   4.557e-02,   1.473e-01
   1.216e-02,   2.005e+03,   1.872e+00,   6.518e-69,   4.546e-02,   1.476e-01
   1.226e-02,   2.007e+03,   1.874e+00,   1.997e-72,   4.537e-02,   1.480e-01
   1.236e-02,   2.010e+03,   1.876e+00,   5.982e-76,   4.528e-02,   1.482e-01
   1.246e-02,   2.012e+03,   1.878e+00,   1.756e-79,   4.520e-02,   1.485e-01
   1.256e-02,   2.014e+03,   1.879e+00,   5.059e-83,   4.512e-02,   1.487e-01
   1.266e-02,   2.016e+03,   1.881e+00,   1.433e-86,   4.505e-02,   1.490e-01
   1.276e-02,   2.017e+03,   1.882e+00,   3.992e-90,   4.499e-02,   1.492e-01
   1.286e-02,   2.019e+03,   1.883e+00,   1.096e-93,   4.493e-02,   1.494e-01
   1.296e-02,   2.020e+03,   1.885e+00,   2.969e-97,   4.488e-02,   1.495e-01
