  Grid,   Temperature,   Uvec,   CO,    CO2
   0.000e+00,   3.000e+02,   3.728e-01,   2.236e-16,  -4.139e-15
   2.222e-03,   3.000e+02,   3.728e-01,   1.028e-14,   4.996e-15
   4.444e-03,   3.000e+02,   3.728e-01,   4.758e-14,   6.377e-15
   5.556e-03,   3.000e+02,   3.728e-01,   6.552e-13,   4.231e-14
   6.667e-03,   3.000e+02,   3.728e-01,   1.331e-11,   3.990e-13
   7.222e-03,   3.000e+02,   3.728e-01,   1.180e-10,   4.245e-12
   7.778e-03,   3.000e+02,   3.728e-01,   1.308e-09,   6.087e-11
   8.333e-03,   3.000e+02,   3.728e-01,   1.483e-08,   8.945e-10
   8.611e-03,   3.000e+02,   3.729e-01,   7.418e-08,   5.601e-09
   8.889e-03,   3.000e+02,   3.729e-01,   4.411e-07,   4.260e-08
   9.028e-03,   3.000e+02,   3.730e-01,   1.338e-06,   1.563e-07
   9.167e-03,   3.002e+02,   3.732e-01,   4.558e-06,   6.598e-07
   9.306e-03,   3.005e+02,   3.738e-01,   1.612e-05,   2.889e-06
   9.375e-03,   3.011e+02,   3.745e-01,   3.310e-05,   6.862e-06
   9.444e-03,   3.024e+02,   3.763e-01,   7.195e-05,   1.760e-05
   9.514e-03,   3.054e+02,   3.801e-01,   1.605e-04,   4.649e-05
   9.583e-03,   3.120e+02,   3.886e-01,   3.602e-04,   1.233e-04
   9.618e-03,   3.183e+02,   3.966e-01,   5.521e-04,   2.081e-04
   9.653e-03,   3.283e+02,   4.093e-01,   8.578e-04,   3.592e-04
   9.670e-03,   3.355e+02,   4.184e-01,   1.076e-03,   4.773e-04
   9.687e-03,   3.445e+02,   4.298e-01,   1.356e-03,   6.382e-04
   9.705e-03,   3.559e+02,   4.442e-01,   1.710e-03,   8.550e-04
   9.722e-03,   3.702e+02,   4.622e-01,   2.154e-03,   1.143e-03
   9.740e-03,   3.877e+02,   4.843e-01,   2.705e-03,   1.522e-03
   9.748e-03,   3.979e+02,   4.973e-01,   3.028e-03,   1.753e-03
   9.757e-03,   4.092e+02,   5.116e-01,   3.387e-03,   2.018e-03
   9.766e-03,   4.217e+02,   5.274e-01,   3.784e-03,   2.318e-03
   9.774e-03,   4.354e+02,   5.447e-01,   4.223e-03,   2.658e-03
   9.783e-03,   4.503e+02,   5.636e-01,   4.704e-03,   3.040e-03
   9.792e-03,   4.666e+02,   5.842e-01,   5.231e-03,   3.468e-03
   9.800e-03,   4.842e+02,   6.066e-01,   5.806e-03,   3.946e-03
   9.809e-03,   5.033e+02,   6.308e-01,   6.432e-03,   4.475e-03
   9.818e-03,   5.237e+02,   6.568e-01,   7.109e-03,   5.059e-03
   9.822e-03,   5.345e+02,   6.706e-01,   7.468e-03,   5.374e-03
   9.826e-03,   5.457e+02,   6.848e-01,   7.842e-03,   5.703e-03
   9.831e-03,   5.572e+02,   6.996e-01,   8.230e-03,   6.049e-03
   9.835e-03,   5.691e+02,   7.148e-01,   8.632e-03,   6.410e-03
   9.839e-03,   5.814e+02,   7.305e-01,   9.049e-03,   6.788e-03
   9.844e-03,   5.940e+02,   7.468e-01,   9.482e-03,   7.182e-03
   9.848e-03,   6.070e+02,   7.635e-01,   9.929e-03,   7.594e-03
   9.852e-03,   6.204e+02,   7.808e-01,   1.039e-02,   8.023e-03
   9.855e-03,   6.273e+02,   7.896e-01,   1.063e-02,   8.245e-03
   9.857e-03,   6.342e+02,   7.986e-01,   1.087e-02,   8.471e-03
   9.859e-03,   6.412e+02,   8.076e-01,   1.112e-02,   8.701e-03
   9.861e-03,   6.483e+02,   8.169e-01,   1.137e-02,   8.936e-03
   9.865e-03,   6.628e+02,   8.357e-01,   1.188e-02,   9.421e-03
   9.870e-03,   6.777e+02,   8.550e-01,   1.241e-02,   9.924e-03
   9.872e-03,   6.852e+02,   8.648e-01,   1.268e-02,   1.018e-02
   9.874e-03,   6.929e+02,   8.748e-01,   1.295e-02,   1.045e-02
   9.876e-03,   7.006e+02,   8.849e-01,   1.323e-02,   1.072e-02
   9.878e-03,   7.084e+02,   8.952e-01,   1.351e-02,   1.099e-02
   9.881e-03,   7.163e+02,   9.055e-01,   1.380e-02,   1.127e-02
   9.883e-03,   7.243e+02,   9.160e-01,   1.409e-02,   1.155e-02
