  Grid,   Temperature,   Uvec,  C7H16, O2, CO2
   0.000e+00,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.432e-17
   5.013e-05,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.296e-17
   1.003e-04,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.296e-17
   1.504e-04,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.296e-17
   2.005e-04,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.296e-17
   2.506e-04,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.296e-17
   3.008e-04,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.296e-17
   3.509e-04,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.296e-17
   4.010e-04,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.296e-17
   4.511e-04,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.296e-17
   5.013e-04,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.296e-17
   5.514e-04,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.296e-17
   6.015e-04,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.296e-17
   6.516e-04,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.296e-17
   7.018e-04,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.296e-17
   7.519e-04,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.296e-17
   8.020e-04,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.296e-17
   8.521e-04,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.296e-17
   9.023e-04,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.296e-17
   9.524e-04,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.296e-17
   1.003e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   1.053e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   1.103e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   1.153e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   1.203e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   1.253e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   1.303e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   1.353e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   1.404e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   1.454e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   1.504e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   1.554e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   1.604e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   1.654e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   1.704e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   1.754e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   1.805e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   1.855e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   1.905e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
