  Grid,   Temperature,   Uvec,  C2H5OH, O2, N2, AR,   CO,    CO2
   0.000e+00,   3.000e+02,   2.906e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   4.129e-16,  -3.092e-17
   2.503e-05,   3.000e+02,   2.906e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   3.775e-16,   6.145e-17
   5.006e-05,   3.000e+02,   2.906e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   3.740e-16,   6.211e-17
   7.509e-05,   3.000e+02,   2.906e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   3.739e-16,   6.211e-17
   1.001e-04,   3.000e+02,   2.906e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   3.739e-16,   6.211e-17
   1.252e-04,   3.000e+02,   2.906e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   3.739e-16,   6.211e-17
   1.502e-04,   3.000e+02,   2.906e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   3.739e-16,   6.211e-17
   1.752e-04,   3.000e+02,   2.906e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   3.739e-16,   6.211e-17
   2.003e-04,   3.000e+02,   2.906e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   3.739e-16,   6.211e-17
   2.253e-04,   3.000e+02,   2.906e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   3.739e-16,   6.211e-17
   2.503e-04,   3.000e+02,   2.906e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   3.739e-16,   6.211e-17
   2.753e-04,   3.000e+02,   2.906e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   3.739e-16,   6.211e-17
   3.004e-04,   3.000e+02,   2.906e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   3.739e-16,   6.211e-17
   3.254e-04,   3.000e+02,   2.906e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   3.739e-16,   6.211e-17
   3.504e-04,   3.000e+02,   2.906e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   3.739e-16,   6.211e-17
   3.755e-04,   3.000e+02,   2.906e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   3.739e-16,   6.211e-17
   4.005e-04,   3.000e+02,   2.906e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   3.739e-16,   6.211e-17
   4.255e-04,   3.000e+02,   2.906e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   3.739e-16,   6.211e-17
   4.506e-04,   3.000e+02,   2.906e-01,   8.164e-02,   2.130e-01,   6.927e-01,   1.266e-02,   3.739e-16,   6.212e-17
