  Grid,   Temperature,   Uvec,  C2H5OH, O2, N2, AR,   CO,    CO2
   0.000e+00,   3.000e+02,   3.996e-01,   9.110e-02,   2.108e-01,   6.855e-01,   1.253e-02,   3.570e-16,   1.146e-15
   2.676e-05,   3.000e+02,   3.996e-01,   9.110e-02,   2.108e-01,   6.855e-01,   1.253e-02,   1.032e-15,   1.576e-15
   5.351e-05,   3.000e+02,   3.996e-01,   9.110e-02,   2.108e-01,   6.855e-01,   1.253e-02,  -1.123e-15,   6.016e-16
   8.027e-05,   3.000e+02,   3.996e-01,   9.110e-02,   2.108e-01,   6.855e-01,   1.253e-02,  -1.877e-15,   2.142e-16
   1.070e-04,   3.000e+02,   3.996e-01,   9.110e-02,   2.108e-01,   6.855e-01,   1.253e-02,  -8.925e-16,   6.167e-16
   1.338e-04,   3.000e+02,   3.996e-01,   9.110e-02,   2.108e-01,   6.855e-01,   1.253e-02,   8.933e-16,   1.441e-15
   1.605e-04,   3.000e+02,   3.996e-01,   9.110e-02,   2.108e-01,   6.855e-01,   1.253e-02,   1.173e-15,   1.624e-15
   1.873e-04,   3.000e+02,   3.996e-01,   9.110e-02,   2.108e-01,   6.855e-01,   1.253e-02,  -2.864e-16,   9.967e-16
   2.140e-04,   3.000e+02,   3.996e-01,   9.110e-02,   2.108e-01,   6.855e-01,   1.253e-02,  -2.016e-15,   1.778e-16
   2.408e-04,   3.000e+02,   3.996e-01,   9.110e-02,   2.108e-01,   6.855e-01,   1.253e-02,  -1.094e-15,   5.631e-16
   2.676e-04,   3.000e+02,   3.996e-01,   9.110e-02,   2.108e-01,   6.855e-01,   1.253e-02,  -1.509e-18,   1.059e-15
   2.943e-04,   3.000e+02,   3.996e-01,   9.110e-02,   2.108e-01,   6.855e-01,   1.253e-02,  -9.124e-16,   6.112e-16
   3.211e-04,   3.000e+02,   3.996e-01,   9.110e-02,   2.108e-01,   6.855e-01,   1.253e-02,   6.470e-16,   1.329e-15
   3.478e-04,   3.000e+02,   3.996e-01,   9.110e-02,   2.108e-01,   6.855e-01,   1.253e-02,   6.156e-16,   1.343e-15
   3.746e-04,   3.000e+02,   3.996e-01,   9.110e-02,   2.108e-01,   6.855e-01,   1.253e-02,  -2.068e-16,   9.820e-16
   4.013e-04,   3.000e+02,   3.996e-01,   9.110e-02,   2.108e-01,   6.855e-01,   1.253e-02,  -1.257e-15,   4.662e-16
   4.281e-04,   3.000e+02,   3.996e-01,   9.110e-02,   2.108e-01,   6.855e-01,   1.253e-02,   1.689e-15,   1.872e-15
