# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s], mtfd, htfd, Sm [kg/m3s], Sh [J/m3s], rho[kg/m3s]
0,0.009,40,1600,2.63249e-05,300,300.4,0.256123,0,0,0,0,785.576
3.86609e-06,0.00900099,40.0037,1600.3,2.63244e-05,299.995,300.405,0.256127,-1.27559e-10,-1190.21,-5.93149e-08,0.00125551,785.58
7.73218e-06,0.00900198,40.0034,1600.27,2.63239e-05,299.991,300.41,0.256131,-1.2747e-10,-1188.79,-5.92737e-08,0.00128493,785.585
1.15983e-05,0.00900297,40.0031,1600.25,2.63234e-05,299.986,300.415,0.256136,-1.27382e-10,-1187.37,-5.92324e-08,0.00131434,785.589
1.54644e-05,0.00900396,40.0028,1600.22,2.63229e-05,299.982,300.42,0.25614,-1.27293e-10,-1185.95,-5.91913e-08,0.00134373,785.593
1.93305e-05,0.00900494,40.0024,1600.2,2.63224e-05,299.977,300.425,0.256145,-1.27205e-10,-1184.53,-5.91502e-08,0.00137311,785.597
2.31965e-05,0.00900593,40.0021,1600.17,2.63219e-05,299.972,300.43,0.256149,-1.27117e-10,-1183.11,-5.91092e-08,0.00140248,785.602
2.70626e-05,0.00900692,40.0018,1600.14,2.63215e-05,299.968,300.435,0.256153,-1.27028e-10,-1181.69,-5.90682e-08,0.00143183,785.606
3.09287e-05,0.00900791,40.0015,1600.12,2.6321e-05,299.963,300.44,0.256158,-1.2694e-10,-1180.27,-5.90273e-08,0.00146116,785.61
3.47948e-05,0.0090089,40.0012,1600.09,2.63205e-05,299.959,300.445,0.256162,-1.26853e-10,-1178.86,-5.89864e-08,0.00149048,785.614
3.86609e-05,0.00900989,40.0008,1600.07,2.632e-05,299.954,300.45,0.256167,-1.26765e-10,-1177.45,-5.89456e-08,0.00151979,785.619
4.2527e-05,0.00901088,40.0005,1600.04,2.63195e-05,299.95,300.455,0.256171,-1.26677e-10,-1176.03,-5.89049e-08,0.00154908,785.623
4.63931e-05,0.00901187,40.0002,1600.02,2.6319e-05,299.945,300.46,0.256175,-1.2659e-10,-1174.62,-5.88642e-08,0.00157836,785.627
5.02592e-05,0.00901286,39.9999,1599.99,2.63185e-05,299.941,300.465,0.25618,-1.26502e-10,-1173.21,-5.88236e-08,0.00160762,785.631
5.41253e-05,0.00901384,39.9996,1599.96,2.6318e-05,299.936,300.47,0.256184,-1.26415e-10,-1171.81,-5.8783e-08,0.00163687,785.636
5.79914e-05,0.00901483,39.9992,1599.94,2.63175e-05,299.931,300.475,0.256189,-1.26328e-10,-1170.4,-5.87425e-08,0.0016661,785.64
6.18574e-05,0.00901582,39.9989,1599.91,2.6317e-05,299.927,300.48,0.256193,-1.26241e-10,-1168.99,-5.8702e-08,0.00169532,785.644
6.57235e-05,0.00901681,39.9986,1599.89,2.63166e-05,299.922,300.485,0.256198,-1.26154e-10,-1167.59,-5.86617e-08,0.00172452,785.648
6.95896e-05,0.0090178,39.9983,1599.86,2.63161e-05,299.918,300.49,0.256202,-1.26067e-10,-1166.19,-5.86213e-08,0.00175371,785.653
7.34557e-05,0.00901879,39.998,1599.84,2.63156e-05,299.913,300.495,0.256206,-1.25981e-10,-1164.79,-5.8581e-08,0.00178288,785.657
7.73218e-05,0.00901978,39.9976,1599.81,2.63151e-05,299.909,300.5,0.256211,-1.25894e-10,-1163.39,-5.85408e-08,0.00181204,785.661
8.11879e-05,0.00902077,39.9973,1599.79,2.63146e-05,299.904,300.505,0.256215,-1.25808e-10,-1161.99,-5.85006e-08,0.00184119,785.665
8.5054e-05,0.00902176,39.997,1599.76,2.63141e-05,299.9,300.51,0.25622,-1.25722e-10,-1160.59,-5.84605e-08,0.00187032,785.669
8.89201e-05,0.00902274,39.9967,1599.74,2.63136e-05,299.895,300.515,0.256224,-1.25635e-10,-1159.19,-5.84205e-08,0.00189944,785.673
9.27862e-05,0.00902373,39.9964,1599.71,2.63132e-05,299.891,300.52,0.256228,-1.25549e-10,-1157.8,-5.83805e-08,0.00192854,785.678
9.66523e-05,0.00902472,39.9961,1599.68,2.63127e-05,299.886,300.525,0.256233,-1.25464e-10,-1156.4,-5.83406e-08,0.00195762,785.682
0.000100518,0.00902571,39.9957,1599.66,2.63122e-05,299.882,300.53,0.256237,-1.25378e-10,-1155.01,-5.83007e-08,0.0019867,785.686
0.000104384,0.0090267,39.9954,1599.63,2.63117e-05,299.878,300.535,0.256242,-1.25292e-10,-1153.62,-5.82608e-08,0.00201575,785.69
0.000108251,0.00902769,39.9951,1599.61,2.63112e-05,299.873,300.54,0.256246,-1.25207e-10,-1152.23,-5.82211e-08,0.0020448,785.694
0.000112117,0.00902868,39.9948,1599.58,2.63107e-05,299.869,300.545,0.25625,-1.25121e-10,-1150.84,-5.81814e-08,0.00207382,785.698
0.000115983,0.00902967,39.9945,1599.56,2.63102e-05,299.864,300.55,0.256255,-1.25036e-10,-1149.45,-5.81417e-08,0.00210284,785.703
0.000119849,0.00903066,39.9942,1599.53,2.63098e-05,299.86,300.555,0.256259,-1.24951e-10,-1148.07,-5.81021e-08,0.00213184,785.707
