# grid [m], ug [m/s], rhog, Tg [K], Yf, YO2, YOH, YCO, YCO2, phi_g, Sm, Sh, Syf
0,0.295989,1.21358,300,0.0816443,0.213019,-4.109e-19,1.89652e-16,1.19342e-16,0.798766,0,0,0
6.66667e-05,0.295989,1.21358,300,0.0816443,0.213019,2.54585e-19,3.75121e-16,2.35695e-16,0.798766,0,0,0
0.000133333,0.295989,1.21358,300,0.0816443,0.213019,1.55734e-21,3.75397e-16,2.35867e-16,0.798766,0,0,0
0.0002,0.295989,1.21358,300,0.0816443,0.213019,4.69124e-22,3.75397e-16,2.35868e-16,0.798766,0,0,0
0.000266667,0.295989,1.21358,300,0.0816443,0.213019,3.59287e-22,3.75397e-16,2.35868e-16,0.798766,0,0,0
0.000333333,0.295989,1.21358,300,0.0816443,0.213019,2.76823e-22,3.75397e-16,2.35868e-16,0.798766,0,0,0
0.0004,0.295989,1.21358,300,0.0816443,0.213019,2.13403e-22,3.75397e-16,2.35868e-16,0.798766,0,0,0
0.000466667,0.295989,1.21358,300,0.0816443,0.213019,1.64667e-22,3.75397e-16,2.35868e-16,0.798766,0,0,0
0.000533333,0.295989,1.21358,300,0.0816443,0.213019,1.27257e-22,3.75397e-16,2.35868e-16,0.798766,0,0,0
0.0006,0.295989,1.21358,300,0.0816443,0.213019,9.85809e-23,3.75398e-16,2.35868e-16,0.798766,0,0,0
0.000666667,0.295989,1.21358,300,0.0816443,0.213019,7.6639e-23,3.75398e-16,2.35868e-16,0.798766,0,0,0
0.000733333,0.295989,1.21358,300,0.0816443,0.213019,5.98909e-23,3.75398e-16,2.35868e-16,0.798766,0,0,0
0.0008,0.295989,1.21358,300,0.0816443,0.213019,4.71492e-23,3.75398e-16,2.35868e-16,0.798766,0,0,0
0.000866667,0.295989,1.21358,300,0.0816443,0.213019,3.74994e-23,3.75398e-16,2.35868e-16,0.798766,0,0,0
0.000933333,0.295989,1.21358,300,0.0816443,0.213019,3.02374e-23,3.75398e-16,2.35868e-16,0.798766,0,0,0
0.001,0.295989,1.21358,300,0.0816443,0.213019,2.48214e-23,3.75398e-16,2.35868e-16,0.798766,0,0,0
0.00106667,0.295989,1.21358,300,0.0816443,0.213019,2.08345e-23,3.75398e-16,2.35868e-16,0.798766,0,0,0
0.00113333,0.295989,1.21358,300,0.0816443,0.213019,1.79562e-23,3.75398e-16,2.35868e-16,0.798766,0,0,0
0.0012,0.295989,1.21358,300,0.0816443,0.213019,1.59403e-23,3.75398e-16,2.35868e-16,0.798766,0,0,0
0.00126667,0.295989,1.21358,300,0.0816443,0.213019,1.45973e-23,3.75398e-16,2.35868e-16,0.798766,0,0,0
0.00133333,0.295989,1.21358,300,0.0816443,0.213019,1.37822e-23,3.75398e-16,2.35868e-16,0.798766,0,0,0
0.0014,0.295989,1.21358,300,0.0816443,0.213019,1.33833e-23,3.75398e-16,2.35868e-16,0.798766,0,0,0
0.00146667,0.295989,1.21358,300,0.0816443,0.213019,1.33151e-23,3.75399e-16,2.35868e-16,0.798766,0,0,0
0.00153333,0.295989,1.21358,300,0.0816443,0.213019,1.35122e-23,3.75399e-16,2.35868e-16,0.798766,0,0,0
0.0016,0.295989,1.21358,300,0.0816443,0.213019,1.39243e-23,3.75399e-16,2.35868e-16,0.798766,0,0,0
0.00166667,0.295989,1.21358,300,0.0816443,0.213019,1.4513e-23,3.75399e-16,2.35868e-16,0.798766,0,0,0
0.00173333,0.295989,1.21358,300,0.0816443,0.213019,1.52489e-23,3.75399e-16,2.35868e-16,0.798766,0,0,0
0.0018,0.295989,1.21358,300,0.0816443,0.213019,1.61095e-23,3.75399e-16,2.35868e-16,0.798766,0,0,0
0.00186667,0.295989,1.21358,300,0.0816443,0.213019,1.70778e-23,3.75399e-16,2.35868e-16,0.798766,0,0,0
0.00193333,0.295989,1.21358,300,0.0816443,0.213019,1.81406e-23,3.75399e-16,2.35868e-16,0.798766,0,0,0
0.002,0.295989,1.21358,300,0.0816443,0.213019,1.92881e-23,3.75399e-16,2.35868e-16,0.798766,0,0,0
0.00206667,0.295989,1.21358,300,0.0816443,0.213019,2.05126e-23,3.75399e-16,2.35868e-16,0.798766,0,0,0
0.00213333,0.295989,1.21358,300,0.0816443,0.213019,2.18083e-23,3.75399e-16,2.35868e-16,0.798766,0,0,0
0.0022,0.295989,1.21358,300,0.0816443,0.213019,2.3171e-23,3.75399e-16,2.35868e-16,0.798766,0,0,0
0.00226667,0.295989,1.21358,300,0.0816443,0.213019,2.45972e-23,3.75399e-16,2.35868e-16,0.798766,0,0,0
0.00233333,0.295989,1.21358,300,0.0816443,0.213019,2.60845e-23,3.75399e-16,2.35868e-16,0.798766,0,0,0
0.0024,0.295989,1.21358,300,0.0816443,0.213019,2.7631e-23,3.754e-16,2.35868e-16,0.798766,0,0,0
0.00246667,0.295989,1.21358,300,0.0816443,0.213019,2.92351e-23,3.754e-16,2.35868e-16,0.798766,0,0,0
