# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s], mtfd, htfd, Sm [kg/m3s], Sh [J/m3s], rho[kg/m3s], Mliquid
0,0.009,20,400,2.84829e-06,300,300.163,0.280803,0,0,0,0,679.979,3.76608e+09
2.90514e-06,0.00900082,20.0006,400.026,2.84775e-06,299.969,300.165,0.280805,-1.85714e-10,-10484,-2.0319e-06,0.00744164,680.005,3.76608e+09
5.81028e-06,0.00900163,19.9991,399.965,2.84721e-06,299.939,300.166,0.280807,-1.8533e-10,-10448.6,-2.0277e-06,0.00867325,680.031,3.76608e+09
8.71542e-06,0.00900245,19.9976,399.905,2.84667e-06,299.909,300.168,0.280809,-1.84949e-10,-10413.3,-2.02352e-06,0.00990066,680.057,3.76608e+09
1.16206e-05,0.00900326,19.9961,399.844,2.84613e-06,299.878,300.17,0.280811,-1.84569e-10,-10378.1,-2.01937e-06,0.0111239,680.083,3.76608e+09
1.45257e-05,0.00900408,19.9946,399.784,2.8456e-06,299.848,300.172,0.280813,-1.84191e-10,-10343.1,-2.01523e-06,0.012343,680.108,3.76608e+09
1.74308e-05,0.00900489,19.9931,399.724,2.84506e-06,299.818,300.174,0.280815,-1.83815e-10,-10308.2,-2.01112e-06,0.0135579,680.134,3.76608e+09
2.0336e-05,0.00900571,19.9916,399.664,2.84453e-06,299.788,300.176,0.280817,-1.8344e-10,-10273.4,-2.00702e-06,0.0147687,680.159,3.76608e+09
2.32411e-05,0.00900652,19.9901,399.604,2.844e-06,299.758,300.177,0.280819,-1.83068e-10,-10238.8,-2.00294e-06,0.0159754,680.184,3.76608e+09
2.61463e-05,0.00900734,19.9886,399.544,2.84346e-06,299.729,300.179,0.280821,-1.82697e-10,-10204.2,-1.99888e-06,0.017178,680.21,3.76608e+09
2.90514e-05,0.00900816,19.9871,399.485,2.84293e-06,299.699,300.181,0.280823,-1.82327e-10,-10169.8,-1.99484e-06,0.0183765,680.235,3.76608e+09
3.19565e-05,0.00900897,19.9856,399.425,2.8424e-06,299.669,300.183,0.280825,-1.8196e-10,-10135.6,-1.99082e-06,0.019571,680.26,3.76608e+09
3.48617e-05,0.00900979,19.9841,399.366,2.84188e-06,299.64,300.185,0.280827,-1.81594e-10,-10101.4,-1.98682e-06,0.0207615,680.285,3.76608e+09
3.77668e-05,0.0090106,19.9827,399.307,2.84135e-06,299.611,300.187,0.280829,-1.8123e-10,-10067.4,-1.98284e-06,0.0219479,680.31,3.76608e+09
4.0672e-05,0.00901142,19.9812,399.248,2.84082e-06,299.581,300.189,0.28083,-1.80868e-10,-10033.5,-1.97888e-06,0.0231303,680.335,3.76608e+09
4.35771e-05,0.00901223,19.9797,399.189,2.8403e-06,299.552,300.19,0.280832,-1.80507e-10,-9999.68,-1.97493e-06,0.0243087,680.359,3.76608e+09
4.64823e-05,0.00901305,19.9782,399.13,2.83977e-06,299.523,300.192,0.280834,-1.80148e-10,-9966.02,-1.971e-06,0.0254831,680.384,3.76608e+09
4.93874e-05,0.00901386,19.9768,399.071,2.83925e-06,299.494,300.194,0.280836,-1.79791e-10,-9932.48,-1.9671e-06,0.0266535,680.409,3.76608e+09
5.22925e-05,0.00901468,19.9753,399.013,2.83873e-06,299.465,300.196,0.280838,-1.79436e-10,-9899.06,-1.96321e-06,0.0278201,680.433,3.76608e+09
5.51977e-05,0.0090155,19.9738,398.955,2.8382e-06,299.437,300.198,0.28084,-1.79082e-10,-9865.76,-1.95933e-06,0.0289827,680.457,3.76608e+09
5.81028e-05,0.00901631,19.9724,398.896,2.83768e-06,299.408,300.2,0.280842,-1.78729e-10,-9832.58,-1.95548e-06,0.0301413,680.482,3.76608e+09
6.1008e-05,0.00901713,19.9709,398.838,2.83717e-06,299.379,300.202,0.280844,-1.78379e-10,-9799.52,-1.95164e-06,0.0312961,680.506,3.76608e+09
6.39131e-05,0.00901794,19.9695,398.78,2.83665e-06,299.351,300.203,0.280846,-1.7803e-10,-9766.58,-1.94782e-06,0.032447,680.53,3.76608e+09
