# grid [m], ug [m/s], rhog, Tg [K], Yf, YO2, YOH, YCO, YCO2, phi_g, Sm, Sh, Syf
0,0.321752,1.22036,300,2.68682e-16,-1.91031e-14,-5.50645e-16,1.35716e-16,9.62279e-16,3.30921e-15,0,0,0
6.66667e-05,0.321752,1.22036,300,2.688e-16,-3.8614e-14,-5.50639e-16,1.35716e-16,9.61848e-16,3.31067e-15,0,0,0
0.000133333,0.321752,1.22036,300,2.68908e-16,-4.30837e-14,-5.50634e-16,1.35716e-16,9.61268e-16,3.31198e-15,0,0,0
0.0002,0.321752,1.22036,300,2.69014e-16,-4.48288e-14,-5.50629e-16,1.35716e-16,9.60573e-16,3.31329e-15,0,0,0
0.000266667,0.321752,1.22036,300,2.6912e-16,-4.55147e-14,-5.50623e-16,1.35716e-16,9.59786e-16,3.3146e-15,0,0,0
0.000333333,0.321752,1.22036,300,2.69225e-16,-4.57843e-14,-5.50618e-16,1.35716e-16,9.58928e-16,3.3159e-15,0,0,0
0.0004,0.321752,1.22036,300,2.69331e-16,-4.58903e-14,-5.50613e-16,1.35716e-16,9.58015e-16,3.3172e-15,0,0,0
0.000466667,0.321752,1.22036,300,2.69436e-16,-4.5932e-14,-5.50608e-16,1.35716e-16,9.57059e-16,3.3185e-15,0,0,0
0.000533333,0.321752,1.22036,300,2.69542e-16,-4.59484e-14,-5.50603e-16,1.35716e-16,9.5607e-16,3.31979e-15,0,0,0
0.0006,0.321752,1.22036,300,2.69647e-16,-4.59548e-14,-5.50597e-16,1.35716e-16,9.55055e-16,3.32109e-15,0,0,0
0.000666667,0.321752,1.22036,300,2.69752e-16,-4.59574e-14,-5.50592e-16,1.35716e-16,9.5402e-16,3.32238e-15,0,0,0
0.000733333,0.321752,1.22036,300,2.69856e-16,-4.59584e-14,-5.50587e-16,1.35716e-16,9.52969e-16,3.32367e-15,0,0,0
0.0008,0.321752,1.22036,300,2.69961e-16,-4.59588e-14,-5.50582e-16,1.35716e-16,9.51907e-16,3.32496e-15,0,0,0
0.000866667,0.321752,1.22036,300,2.70065e-16,-4.59589e-14,-5.50577e-16,1.35716e-16,9.50836e-16,3.32624e-15,0,0,0
0.000933333,0.321752,1.22036,300,2.7017e-16,-4.5959e-14,-5.50572e-16,1.35716e-16,9.49758e-16,3.32753e-15,0,0,0
0.001,0.321752,1.22036,300,2.70274e-16,-4.5959e-14,-5.50566e-16,1.35716e-16,9.48674e-16,3.32881e-15,0,0,0
0.00106667,0.321752,1.22036,300,2.70377e-16,-4.5959e-14,-5.50561e-16,1.35716e-16,9.47586e-16,3.33009e-15,0,0,0
0.00113333,0.321752,1.22036,300,2.70481e-16,-4.5959e-14,-5.50556e-16,1.35716e-16,9.46495e-16,3.33137e-15,0,0,0
