  Grid,   Temperature,   Uvec,   CO,    CO2
   0.000e+00,   3.000e+02,   3.011e-01,  -1.341e-15,  -1.885e-15
   2.020e-04,   3.000e+02,   3.011e-01,  -5.029e-15,  -5.117e-15
   4.040e-04,   3.000e+02,   3.011e-01,  -1.998e-15,  -3.544e-15
   6.061e-04,   3.000e+02,   3.011e-01,  -1.049e-15,  -2.994e-15
   8.081e-04,   3.000e+02,   3.011e-01,  -1.840e-15,  -3.238e-15
   1.010e-03,   3.000e+02,   3.011e-01,  -1.404e-15,  -2.989e-15
   1.212e-03,   3.000e+02,   3.011e-01,  -2.085e-15,  -3.351e-15
   1.414e-03,   3.000e+02,   3.011e-01,  -3.770e-16,  -2.407e-15
   1.616e-03,   3.000e+02,   3.011e-01,  -2.033e-15,  -3.274e-15
   1.818e-03,   3.000e+02,   3.011e-01,  -2.033e-15,  -3.273e-15
   2.020e-03,   3.000e+02,   3.011e-01,  -2.341e-15,  -3.482e-15
   2.222e-03,   3.000e+02,   3.011e-01,   7.238e-17,  -2.140e-15
   2.424e-03,   3.000e+02,   3.011e-01,  -2.633e-15,  -3.541e-15
   2.626e-03,   3.000e+02,   3.011e-01,  -2.618e-15,  -3.553e-15
   2.828e-03,   3.000e+02,   3.011e-01,  -1.923e-15,  -3.198e-15
   3.030e-03,   3.000e+02,   3.011e-01,  -2.065e-15,  -3.327e-15
   3.232e-03,   3.000e+02,   3.011e-01,  -4.631e-16,  -2.537e-15
   3.434e-03,   3.000e+02,   3.011e-01,  -4.339e-16,  -2.470e-15
   3.636e-03,   3.000e+02,   3.011e-01,  -2.226e-15,  -3.395e-15
   3.838e-03,   3.000e+02,   3.011e-01,  -3.002e-15,  -3.845e-15
   4.040e-03,   3.000e+02,   3.011e-01,  -9.187e-16,  -2.701e-15
   4.242e-03,   3.000e+02,   3.011e-01,  -3.053e-15,  -3.846e-15
   4.444e-03,   3.000e+02,   3.011e-01,  -1.962e-15,  -3.236e-15
   4.646e-03,   3.000e+02,   3.011e-01,  -2.669e-16,  -1.727e-15
   4.848e-03,   3.000e+02,   3.011e-01,   7.101e-16,  -1.254e-15
   5.051e-03,   3.000e+02,   3.011e-01,  -1.305e-15,  -2.358e-15
   5.253e-03,   3.000e+02,   3.011e-01,   5.827e-16,  -1.347e-15
   5.455e-03,   3.000e+02,   3.011e-01,   1.468e-16,  -1.546e-15
   5.657e-03,   3.000e+02,   3.011e-01,  -5.428e-16,  -1.930e-15
   5.859e-03,   3.000e+02,   3.011e-01,   6.063e-16,  -1.576e-15
   6.061e-03,   3.000e+02,   3.011e-01,   3.083e-15,  -1.076e-15
   6.263e-03,   3.000e+02,   3.011e-01,   6.464e-15,  -2.490e-15
   6.465e-03,   3.000e+02,   3.011e-01,   3.405e-14,  -1.628e-15
   6.667e-03,   3.000e+02,   3.011e-01,   1.410e-13,  -6.570e-16
   6.869e-03,   3.000e+02,   3.011e-01,   5.733e-13,   1.346e-15
   7.071e-03,   3.000e+02,   3.011e-01,   2.344e-12,   1.352e-14
   7.273e-03,   3.000e+02,   3.011e-01,   9.578e-12,   7.164e-14
   7.475e-03,   3.000e+02,   3.011e-01,   3.917e-11,   3.774e-13
   7.677e-03,   3.000e+02,   3.011e-01,   1.602e-10,   1.935e-12
   7.879e-03,   3.000e+02,   3.011e-01,   6.550e-10,   9.875e-12
   8.081e-03,   3.000e+02,   3.011e-01,   2.678e-09,   5.037e-11
   8.283e-03,   3.000e+02,   3.012e-01,   1.095e-08,   2.569e-10
   8.485e-03,   3.000e+02,   3.012e-01,   4.478e-08,   1.310e-09
   8.687e-03,   3.000e+02,   3.012e-01,   1.831e-07,   6.684e-09
   8.788e-03,   3.000e+02,   3.013e-01,   4.125e-07,   1.763e-08
   8.889e-03,   3.000e+02,   3.013e-01,   9.963e-07,   5.104e-08
   8.990e-03,   3.001e+02,   3.014e-01,   2.482e-06,   1.529e-07
   9.091e-03,   3.001e+02,   3.016e-01,   6.262e-06,   4.637e-07
   9.192e-03,   3.004e+02,   3.020e-01,   1.588e-05,   1.411e-06
   9.242e-03,   3.006e+02,   3.023e-01,   2.625e-05,   2.612e-06
   9.293e-03,   3.010e+02,   3.028e-01,   4.461e-05,   5.041e-06
   9.343e-03,   3.017e+02,   3.037e-01,   7.708e-05,   9.945e-06
   9.394e-03,   3.031e+02,   3.052e-01,   1.344e-04,   1.983e-05
   9.444e-03,   3.054e+02,   3.077e-01,   2.353e-04,   3.967e-05
   9.495e-03,   3.095e+02,   3.121e-01,   4.120e-04,   7.923e-05
   9.545e-03,   3.166e+02,   3.196e-01,   7.186e-04,   1.572e-04
   9.571e-03,   3.221e+02,   3.253e-01,   9.544e-04,   2.238e-04
   9.596e-03,   3.294e+02,   3.330e-01,   1.272e-03,   3.210e-04
   9.621e-03,   3.393e+02,   3.432e-01,   1.697e-03,   4.612e-04
   9.646e-03,   3.522e+02,   3.567e-01,   2.259e-03,   6.605e-04
   9.672e-03,   3.691e+02,   3.741e-01,   2.994e-03,   9.392e-04
   9.684e-03,   3.794e+02,   3.847e-01,   3.441e-03,   1.118e-03
   9.697e-03,   3.910e+02,   3.968e-01,   3.951e-03,   1.330e-03
   9.710e-03,   4.042e+02,   4.104e-01,   4.530e-03,   1.577e-03
   9.722e-03,   4.189e+02,   4.256e-01,   5.183e-03,   1.866e-03
   9.735e-03,   4.354e+02,   4.427e-01,   5.916e-03,   2.200e-03
   9.747e-03,   4.537e+02,   4.618e-01,   6.736e-03,   2.584e-03
   9.760e-03,   4.740e+02,   4.828e-01,   7.647e-03,   3.023e-03
   9.773e-03,   4.961e+02,   5.059e-01,   8.654e-03,   3.519e-03
   9.779e-03,   5.080e+02,   5.183e-01,   9.196e-03,   3.792e-03
   9.785e-03,   5.204e+02,   5.312e-01,   9.766e-03,   4.081e-03
   9.792e-03,   5.333e+02,   5.447e-01,   1.036e-02,   4.387e-03
   9.798e-03,   5.468e+02,   5.588e-01,   1.099e-02,   4.712e-03
   9.804e-03,   5.607e+02,   5.735e-01,   1.164e-02,   5.055e-03
   9.811e-03,   5.752e+02,   5.888e-01,   1.232e-02,   5.417e-03
   9.817e-03,   5.903e+02,   6.047e-01,   1.304e-02,   5.798e-03
   9.820e-03,   5.980e+02,   6.129e-01,   1.341e-02,   5.996e-03
   9.823e-03,   6.058e+02,   6.212e-01,   1.378e-02,   6.200e-03
   9.826e-03,   6.138e+02,   6.297e-01,   1.416e-02,   6.408e-03
   9.830e-03,   6.219e+02,   6.383e-01,   1.456e-02,   6.622e-03
   9.833e-03,   6.302e+02,   6.471e-01,   1.496e-02,   6.841e-03
   9.836e-03,   6.386e+02,   6.561e-01,   1.536e-02,   7.066e-03
   9.839e-03,   6.471e+02,   6.652e-01,   1.578e-02,   7.296e-03
   9.842e-03,   6.557e+02,   6.744e-01,   1.620e-02,   7.532e-03
   9.845e-03,   6.645e+02,   6.838e-01,   1.664e-02,   7.773e-03
   9.848e-03,   6.734e+02,   6.934e-01,   1.708e-02,   8.021e-03
   9.852e-03,   6.824e+02,   7.031e-01,   1.753e-02,   8.273e-03
   9.855e-03,   6.916e+02,   7.130e-01,   1.799e-02,   8.532e-03
   9.858e-03,   7.008e+02,   7.230e-01,   1.845e-02,   8.797e-03
   9.860e-03,   7.055e+02,   7.281e-01,   1.869e-02,   8.931e-03
   9.861e-03,   7.102e+02,   7.332e-01,   1.893e-02,   9.067e-03
   9.863e-03,   7.150e+02,   7.384e-01,   1.917e-02,   9.205e-03
   9.864e-03,   7.197e+02,   7.436e-01,   1.941e-02,   9.344e-03
   9.866e-03,   7.245e+02,   7.488e-01,   1.966e-02,   9.484e-03
   9.867e-03,   7.294e+02,   7.541e-01,   1.991e-02,   9.627e-03
   9.869e-03,   7.342e+02,   7.594e-01,   2.016e-02,   9.770e-03
   9.871e-03,   7.391e+02,   7.647e-01,   2.041e-02,   9.916e-03
   9.872e-03,   7.440e+02,   7.701e-01,   2.066e-02,   1.006e-02
   9.874e-03,   7.490e+02,   7.755e-01,   2.092e-02,   1.021e-02
   9.875e-03,   7.540e+02,   7.810e-01,   2.118e-02,   1.036e-02
   9.877e-03,   7.590e+02,   7.865e-01,   2.144e-02,   1.051e-02
   9.878e-03,   7.640e+02,   7.921e-01,   2.171e-02,   1.067e-02
   9.880e-03,   7.691e+02,   7.977e-01,   2.197e-02,   1.082e-02
   9.882e-03,   7.742e+02,   8.033e-01,   2.224e-02,   1.098e-02
   9.883e-03,   7.793e+02,   8.089e-01,   2.251e-02,   1.114e-02
   9.885e-03,   7.844e+02,   8.146e-01,   2.279e-02,   1.130e-02
   9.886e-03,   7.896e+02,   8.204e-01,   2.306e-02,   1.146e-02
   9.888e-03,   7.948e+02,   8.262e-01,   2.334e-02,   1.162e-02
   9.890e-03,   8.000e+02,   8.320e-01,   2.362e-02,   1.179e-02
   9.891e-03,   8.053e+02,   8.378e-01,   2.390e-02,   1.195e-02
   9.893e-03,   8.105e+02,   8.437e-01,   2.419e-02,   1.212e-02
   9.894e-03,   8.158e+02,   8.497e-01,   2.448e-02,   1.229e-02
   9.896e-03,   8.212e+02,   8.556e-01,   2.477e-02,   1.246e-02
   9.897e-03,   8.265e+02,   8.616e-01,   2.506e-02,   1.264e-02
   9.899e-03,   8.319e+02,   8.677e-01,   2.536e-02,   1.281e-02
   9.901e-03,   8.373e+02,   8.738e-01,   2.566e-02,   1.299e-02
   9.902e-03,   8.427e+02,   8.799e-01,   2.596e-02,   1.317e-02
   9.905e-03,   8.536e+02,   8.923e-01,   2.657e-02,   1.353e-02
   9.907e-03,   8.591e+02,   8.985e-01,   2.687e-02,   1.371e-02
   9.908e-03,   8.647e+02,   9.048e-01,   2.718e-02,   1.390e-02
   9.910e-03,   8.702e+02,   9.111e-01,   2.750e-02,   1.409e-02
   9.912e-03,   8.758e+02,   9.174e-01,   2.781e-02,   1.428e-02
   9.913e-03,   8.813e+02,   9.238e-01,   2.813e-02,   1.447e-02
   9.915e-03,   8.869e+02,   9.303e-01,   2.845e-02,   1.466e-02
   9.916e-03,   8.926e+02,   9.367e-01,   2.878e-02,   1.485e-02
   9.918e-03,   8.982e+02,   9.432e-01,   2.910e-02,   1.505e-02
   9.920e-03,   9.039e+02,   9.498e-01,   2.943e-02,   1.525e-02
   9.921e-03,   9.096e+02,   9.563e-01,   2.977e-02,   1.545e-02
   9.923e-03,   9.153e+02,   9.630e-01,   3.010e-02,   1.565e-02
   9.924e-03,   9.211e+02,   9.696e-01,   3.044e-02,   1.586e-02
   9.926e-03,   9.268e+02,   9.763e-01,   3.078e-02,   1.606e-02
   9.927e-03,   9.326e+02,   9.830e-01,   3.112e-02,   1.627e-02
   9.929e-03,   9.384e+02,   9.898e-01,   3.147e-02,   1.648e-02
   9.931e-03,   9.442e+02,   9.966e-01,   3.181e-02,   1.669e-02
   9.932e-03,   9.501e+02,   1.003e+00,   3.217e-02,   1.691e-02
   9.934e-03,   9.559e+02,   1.010e+00,   3.252e-02,   1.712e-02
   9.935e-03,   9.618e+02,   1.017e+00,   3.288e-02,   1.734e-02
   9.937e-03,   9.677e+02,   1.024e+00,   3.324e-02,   1.756e-02
   9.938e-03,   9.737e+02,   1.031e+00,   3.360e-02,   1.778e-02
   9.940e-03,   9.796e+02,   1.038e+00,   3.396e-02,   1.801e-02
   9.943e-03,   9.916e+02,   1.053e+00,   3.470e-02,   1.846e-02
   9.946e-03,   1.004e+03,   1.067e+00,   3.545e-02,   1.892e-02
   9.949e-03,   1.016e+03,   1.081e+00,   3.622e-02,   1.939e-02
   9.953e-03,   1.028e+03,   1.096e+00,   3.699e-02,   1.987e-02
   9.956e-03,   1.040e+03,   1.111e+00,   3.777e-02,   2.035e-02
   9.959e-03,   1.053e+03,   1.126e+00,   3.857e-02,   2.085e-02
   9.962e-03,   1.065e+03,   1.141e+00,   3.938e-02,   2.135e-02
   9.965e-03,   1.078e+03,   1.157e+00,   4.020e-02,   2.186e-02
   9.968e-03,   1.090e+03,   1.172e+00,   4.103e-02,   2.238e-02
   9.972e-03,   1.103e+03,   1.188e+00,   4.188e-02,   2.291e-02
   9.975e-03,   1.115e+03,   1.203e+00,   4.273e-02,   2.345e-02
   9.978e-03,   1.128e+03,   1.219e+00,   4.360e-02,   2.399e-02
   9.981e-03,   1.141e+03,   1.235e+00,   4.448e-02,   2.455e-02
   9.984e-03,   1.154e+03,   1.252e+00,   4.537e-02,   2.511e-02
